GCA_000473245.1_crisprs_GCA_000473245.1_CRISPR_2_from_2119200__ml_	NODE_7190_length_14054_cov_7.026186	NODE_99159_length_1722_cov_9.431914	NODE_6002_length_18669_cov_9.882938	NODE_8240_length_12421_cov_7.428953	NODE_426865_length_633_cov_13.036332	NODE_95702_length_1767_cov_9.870327	NODE_5947_length_18669_cov_9.879553
GCA_000473245.1_crisprs_GCA_000473245.1_CRISPR_1_from_4678458__crt_	NODE_40055_length_3410_cov_10.051267	NODE_8963_length_12296_cov_9.604281	NODE_9009_length_12296_cov_9.603709	NODE_11321_length_9245_cov_7.030868	NODE_39995_length_3410_cov_10.055440
GCA_000473245.1_crisprs_GCA_000473245.1_CRISPR_3_from_2134210__ml_	NODE_10058_length_11022_cov_10.150451	NODE_31353_length_3768_cov_6.927933	NODE_15150_length_7467_cov_9.165947	NODE_10011_length_11022_cov_10.161484	NODE_15093_length_7467_cov_9.168106
GCA_000473245.1_crisprs_GCA_000473245.1_CRISPR_0_from_2720828__crt_	NODE_2982_length_31085_cov_7.005998	NODE_10558_length_10525_cov_9.409456	NODE_10514_length_10525_cov_9.406972
GCA_000332115.1_crisprs_GCA_000332115.1_CRISPR_1_from_1103020__ml_	NODE_3845_length_24988_cov_7.544980	NODE_885_length_94221_cov_11.209375	NODE_888_length_94221_cov_11.171410
GCA_000332115.1_crisprs_GCA_000332115.1_CRISPR_0_from_1101250__ml_	NODE_3845_length_24988_cov_7.544980	NODE_885_length_94221_cov_11.209375	NODE_888_length_94221_cov_11.171410
GCA_001430865.1_crisprs_GCA_001430865.1_CRISPR_0_from_1748110__ml_	NODE_267_length_191246_cov_16.655245	NODE_273_length_191246_cov_16.655648	NODE_1731_length_48829_cov_11.974114
GCA_000299995.1_crisprs_GCA_000299995.1_CRISPR_0_from_3959260__crt_	NODE_251379_length_902_cov_8.976387	NODE_251025_length_903_cov_9.142689	NODE_34686_length_3802_cov_25.386709
GCA_000015145.1_crisprs_GCA_000015145.1_CRISPR_0_from_632553__all_	NODE_5_length_1034640_cov_498.068892	NODE_1_length_1667163_cov_373.653629	NODE_3_length_1034640_cov_498.069107
GCA_000015145.1_crisprs_GCA_000015145.1_CRISPR_1_from_702374__all_	NODE_5_length_1034640_cov_498.068892	NODE_1_length_1667163_cov_373.653629	NODE_3_length_1034640_cov_498.069107
GCA_000590925.1_crisprs_GCA_000590925.1_CRISPR_0_from_1172920__ml_	NODE_1521_length_64144_cov_9.846760	NODE_3919_length_24628_cov_8.455582	NODE_1516_length_64144_cov_9.850739
GCA_000212355.1_crisprs_GCA_000212355.1_CRISPR_0_from_619130__ml_	NODE_4944_length_19820_cov_13.311098	NODE_674_length_113468_cov_19.346354	NODE_10949_length_10156_cov_21.523216
GCA_000725425.1_crisprs_GCA_000725425.1_CRISPR_0_from_735977__all_	NODE_9_length_762974_cov_99.039998	NODE_7_length_762974_cov_99.068779	NODE_14_length_762996_cov_74.408864
