RNODE_101_length_1372_cov_7.49556	32644	unknown
RNODE_102_length_8268_cov_3.53650	45202	plasmid
RNODE_103_length_2852_cov_4.11378	45202	plasmid
RNODE_104_length_5057_cov_12.80755	1214906	virus
RNODE_105_length_62790_cov_25.15822	1214906	virus
RNODE_106_length_1583_cov_3.49519	32644	unknown
RNODE_111_length_2230_cov_3.84239	32644	unknown
RNODE_112_length_5666_cov_6.47909	45202	plasmid
RNODE_113_length_2920_cov_5.66563	45202	plasmid
RNODE_115_length_1563_cov_5.85918	32644	unknown
RNODE_117_length_1506_cov_6.97170	32644	unknown
RNODE_118_length_1774_cov_2.07534	45202	plasmid
RNODE_119_length_2367_cov_7.70704	32644	unknown
RNODE_11_length_2136_cov_9.27578	32644	unknown
RNODE_120_length_2282_cov_6.07257	32644	unknown
RNODE_121_length_10870_cov_30.65219	45202	plasmid
RNODE_123_length_2054_cov_30.18504	32644	unknown
RNODE_124_length_1415_cov_2.71141	45202	plasmid
RNODE_128_length_2643_cov_8.66196	45202	plasmid
RNODE_129_length_1566_cov_26.20790	45202	plasmid
RNODE_12_length_1515_cov_4.22907	45202	plasmid
RNODE_130_length_2230_cov_8.22328	45202	plasmid
RNODE_131_length_3521_cov_17.22578	45202	plasmid
RNODE_132_length_8354_cov_2.98896	45202	plasmid
RNODE_135_length_2376_cov_3.88445	32644	unknown
RNODE_136_length_1758_cov_14.12385	45202	plasmid
RNODE_138_length_6510_cov_13.48012	32644	unknown
RNODE_13_length_1938_cov_15.43946	32644	unknown
RNODE_140_length_2497_cov_5.86303	45202	plasmid
RNODE_141_length_2345_cov_22.92639	45202	plasmid
RNODE_143_length_3260_cov_5.42156	45202	plasmid
RNODE_144_length_2325_cov_4.38472	32644	unknown
RNODE_145_length_1547_cov_6.91082	45202	plasmid
RNODE_148_length_1828_cov_3.97398	32644	unknown
RNODE_151_length_1644_cov_3.51048	45202	plasmid
RNODE_152_length_11535_cov_8.34205	45202	plasmid
RNODE_153_length_2931_cov_9.80406	32644	unknown
RNODE_155_length_2531_cov_7.75129	45202	plasmid
RNODE_157_length_9240_cov_11.70069	45202	plasmid
RNODE_15_length_2057_cov_7.49140	45202	plasmid
RNODE_160_length_1746_cov_3.90255	32644	unknown
RNODE_161_length_2494_cov_2.64806	32644	unknown
RNODE_162_length_1832_cov_1.88784	45202	plasmid
RNODE_163_length_2924_cov_26.52619	45202	plasmid
RNODE_164_length_3484_cov_4.58781	45202	plasmid
RNODE_165_length_1669_cov_2.37887	45202	plasmid
RNODE_167_length_15660_cov_7.41802	45202	plasmid
RNODE_168_length_1728_cov_6.59379	32644	unknown
RNODE_169_length_2014_cov_4.86797	32644	unknown
RNODE_16_length_2729_cov_73.58182	32644	unknown
RNODE_170_length_2572_cov_18.40510	45202	plasmid
RNODE_172_length_2223_cov_6.95729	32644	unknown
RNODE_174_length_2429_cov_2.88035	32644	unknown
RNODE_175_length_2761_cov_19.02118	32644	unknown
RNODE_176_length_1549_cov_36.55206	32644	unknown
RNODE_177_length_3051_cov_8.18455	45202	plasmid
RNODE_178_length_3618_cov_3.32119	45202	plasmid
RNODE_179_length_3165_cov_11.18263	45202	plasmid
RNODE_181_length_5163_cov_13.91578	45202	plasmid
RNODE_182_length_2608_cov_41.99343	32644	unknown
RNODE_183_length_2196_cov_14.40984	32644	unknown
RNODE_184_length_2456_cov_5.89523	32644	unknown
RNODE_185_length_1556_cov_2.93481	32644	unknown
RNODE_186_length_2504_cov_28.93916	45202	plasmid
RNODE_187_length_2669_cov_7.35323	45202	plasmid
RNODE_188_length_3578_cov_152.10292	45202	plasmid
RNODE_189_length_1548_cov_4.91153	45202	plasmid
RNODE_190_length_2372_cov_3.90340	45202	plasmid
RNODE_191_length_4523_cov_9.06065	1214906	virus
RNODE_192_length_7636_cov_18.62687	45202	plasmid
RNODE_194_length_1274_cov_1.74441	32644	unknown
RNODE_195_length_1761_cov_3.04140	32644	unknown
RNODE_196_length_1935_cov_38.48772	45202	plasmid
RNODE_197_length_5069_cov_3.76758	32644	unknown
RNODE_198_length_2135_cov_8.85376	32644	unknown
RNODE_199_length_3758_cov_10.79550	45202	plasmid
RNODE_19_length_30312_cov_10.20690	45202	plasmid
RNODE_1_length_6898_cov_7.60442	45202	plasmid
RNODE_201_length_2438_cov_4.66846	32644	unknown
RNODE_202_length_2300_cov_3.80773	32644	unknown
RNODE_203_length_1708_cov_4.32029	32644	unknown
RNODE_204_length_1584_cov_1.63444	32644	unknown
RNODE_206_length_1596_cov_53.17090	32644	unknown
RNODE_208_length_1614_cov_5.26633	45202	plasmid
RNODE_209_length_3433_cov_79.37027	32644	unknown
RNODE_20_length_3323_cov_4.22024	45202	plasmid
RNODE_210_length_2651_cov_13.95131	45202	plasmid
RNODE_211_length_1756_cov_5.39677	32644	unknown
RNODE_212_length_4097_cov_3.86528	32644	unknown
RNODE_213_length_2939_cov_7.79705	32644	unknown
RNODE_214_length_1765_cov_3.24842	32644	unknown
RNODE_215_length_3095_cov_6.61373	45202	plasmid
RNODE_216_length_15421_cov_6.49724	45202	plasmid
RNODE_217_length_2598_cov_4.83502	32644	unknown
RNODE_219_length_1344_cov_3.84720	32644	unknown
RNODE_21_length_1619_cov_4.64433	45202	plasmid
RNODE_221_length_2696_cov_7.95138	32644	unknown
RNODE_222_length_1915_cov_3.09562	32644	unknown
RNODE_223_length_2107_cov_5.74724	45202	plasmid
RNODE_226_length_3315_cov_75.69511	45202	plasmid
RNODE_22_length_7302_cov_3.23613	32644	unknown
RNODE_230_length_2858_cov_5.31312	45202	plasmid
RNODE_231_length_5311_cov_4.30176	45202	plasmid
RNODE_232_length_21840_cov_9.43432	45202	plasmid
RNODE_233_length_1740_cov_3.83120	32644	unknown
RNODE_236_length_2297_cov_5.75912	32644	unknown
RNODE_237_length_4009_cov_52.34788	45202	plasmid
RNODE_238_length_3219_cov_2.87332	45202	plasmid
RNODE_239_length_2392_cov_75.72363	32644	unknown
RNODE_23_length_1998_cov_572.28391	45202	plasmid
RNODE_240_length_12811_cov_7.14481	45202	plasmid
RNODE_241_length_10461_cov_3.82000	1214906	virus
RNODE_242_length_3657_cov_7.66465	45202	plasmid
RNODE_244_length_5333_cov_28.75937	45202	plasmid
RNODE_245_length_4357_cov_37.67935	45202	plasmid
RNODE_246_length_2482_cov_3.42358	32644	unknown
RNODE_247_length_8256_cov_14.85123	32644	unknown
RNODE_249_length_1595_cov_4.08837	32644	unknown
RNODE_250_length_5534_cov_8.34289	32644	unknown
