Assemblies               ABySS   A_STAR   Flye   HipMer   marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes 
GCA_000011185.1_crisprs  -       51284    -      3405     1584791     23831    21560       5682     46714             10244  
GCA_000012325.1_crisprs  -       120434   -      759934   5373173     653700   149883      56491    662585            8580   
GCA_000012885.1_crisprs  -       154710   -      87393    3665852     194470   208419      50405    44893             13545  
GCA_000012985.1_crisprs  -       149898   -      24577    7215228     142338   91586       179417   95253             8237   
GCA_000014865.1_crisprs  -       121549   -      906314   4719539     1319775  1189252     525960   465206            57040  
GCA_000014885.1_crisprs  -       176172   -      9616     5396452     64369    24824       15161    64738             3821   
GCA_000015145.1_crisprs  0       2436774  86436  779035   1667163     266645   3736443     7286997  -                 1667163
GCA_000016425.1_crisprs  -       317602   -      155178   5183322     362772   204955      144290   158136            47200  
GCA_000019185.1_crisprs  -       57529    -      161758   5226895     144448   396476      27129    45435             10441  
GCA_000020525.1_crisprs  -       218466   -      1716304  3293431     1790085  1536717     802163   595037            95177  
GCA_000148645.1_crisprs  -       675376   -      167029   4279149     273657   295252      66341    236292            838805 
GCA_000192865.1_crisprs  -       315960   -      807750   4684311     1021397  894208      396596   371708            83540  
GCA_000195335.1_crisprs  0       453904   -      820465   2269117     1025321  940149      596167   987916            147314 
GCA_000211475.1_crisprs  0       159024   -      1233921  1861292     894881   2085856     560810   475637            568045 
GCA_000212355.1_crisprs  -       9419     -      847780   3389983     225712   143444      327453   190198            5532   
GCA_000214665.1_crisprs  0       25830    -      1246491  5051673     1229681  1400939     13654    989129            2581202
GCA_000221185.1_crisprs  -       111613   -      64486    2011287     283625   176690      132269   156983            14548  
GCA_000227745.2_crisprs  -       104778   -      224951   5017042     373553   389813      141235   413836            31448  
GCA_000299395.1_crisprs  -       18870    -      390831   1690869     235761   820299      377329   235228            5548   
GCA_000299995.1_crisprs  -       23644    -      8432     4480493     11817    3802        -        1304              2305   
GCA_000307105.1_crisprs  1751    467122   -      1733750  5197896     2541353  2220491     407302   911169            907922 
GCA_000332115.1_crisprs  -       58217    -      96870    3914609     232110   213430      323167   72798             10039  
GCA_000348785.1_crisprs  8996    289134   -      657555   4830178     549260   1907490     240219   626167            1730957
GCA_000473245.1_crisprs  -       1083384  -      90584    4884705     619640   200840      422524   239113            9557   
GCA_000590925.1_crisprs  -       109800   -      111634   3555091     161307   152916      191257   106155            3556   
GCA_000591035.1_crisprs  -       270066   -      393210   1595975     436339   352463      142720   90829             4099   
GCA_000626635.1_crisprs  -       3720     -      191032   5132065     133016   235844      76823    65484             9063   
GCA_000725425.1_crisprs  500944  2178583  -      2731938  1859369     1991448  4558984     8381890  1513471           1854709
GCA_000830985.1_crisprs  -       28890    -      4566     3975877     43970    11925       7719     40410             1539   
GCA_001430865.1_crisprs  -       29909    -      1445497  2884284     1479597  431321      788333   341863            33699  
