tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	phylum	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	class	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	order	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	family	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	genus	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	species	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	strain	Bray-Curtis distance	rhimgCAMI2_sample_0	0.0
Gold standard	superkingdom	Shannon diversity	rhimgCAMI2_sample_0	0.5005591861833728
Gold standard	superkingdom	Shannon equitability	rhimgCAMI2_sample_0	0.45562860651251236
Gold standard	phylum	Shannon diversity	rhimgCAMI2_sample_0	0.5768370037410957
Gold standard	phylum	Shannon equitability	rhimgCAMI2_sample_0	0.27739996156617575
Gold standard	class	Shannon diversity	rhimgCAMI2_sample_0	0.9764786854096832
Gold standard	class	Shannon equitability	rhimgCAMI2_sample_0	0.3807009610420061
Gold standard	order	Shannon diversity	rhimgCAMI2_sample_0	1.0694165220687104
Gold standard	order	Shannon equitability	rhimgCAMI2_sample_0	0.30856838260665026
Gold standard	family	Shannon diversity	rhimgCAMI2_sample_0	1.2810702106782978
Gold standard	family	Shannon equitability	rhimgCAMI2_sample_0	0.3309231959458121
Gold standard	genus	Shannon diversity	rhimgCAMI2_sample_0	1.213851256801353
Gold standard	genus	Shannon equitability	rhimgCAMI2_sample_0	0.2794442059247101
Gold standard	species	Shannon diversity	rhimgCAMI2_sample_0	1.7139926935634346
Gold standard	species	Shannon equitability	rhimgCAMI2_sample_0	0.38185153627530705
Gold standard	strain	Shannon diversity	rhimgCAMI2_sample_0	3.789068056552218
Gold standard	strain	Shannon equitability	rhimgCAMI2_sample_0	0.6711723846227323
Gold standard	superkingdom	True positives	rhimgCAMI2_sample_0	3.0
Gold standard	superkingdom	False negatives	rhimgCAMI2_sample_0	0.0
Gold standard	superkingdom	False positives	rhimgCAMI2_sample_0	0.0
Gold standard	superkingdom	Completeness	rhimgCAMI2_sample_0	1.0
Gold standard	superkingdom	Purity	rhimgCAMI2_sample_0	1.0
Gold standard	superkingdom	F1 score	rhimgCAMI2_sample_0	1.0
Gold standard	superkingdom	Jaccard index	rhimgCAMI2_sample_0	1.0
Gold standard	superkingdom	Taxon counts	rhimgCAMI2_sample_0	3.0
Gold standard	phylum	True positives	rhimgCAMI2_sample_0	8.0
Gold standard	phylum	False negatives	rhimgCAMI2_sample_0	0.0
Gold standard	phylum	False positives	rhimgCAMI2_sample_0	0.0
Gold standard	phylum	Completeness	rhimgCAMI2_sample_0	1.0
Gold standard	phylum	Purity	rhimgCAMI2_sample_0	1.0
Gold standard	phylum	F1 score	rhimgCAMI2_sample_0	1.0
Gold standard	phylum	Jaccard index	rhimgCAMI2_sample_0	1.0
