Genome	taxID	taxLvl	seqLvl	ANI	Completeness	Contamination	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
S04_S1_contigs	1298608	species	genus	95.54	99.95	0.55	125	115608	42.8	82.86	2801	1298608	1298608	497	497	1298608	1298608	72274
Nodularia_spumigena_CCY9414_genomic	70799	species	species	100.00	99.76	0.72	76	184511	41.2	80.59	4754	70799	70799	70799	1	70799	70799	1117
S13_S3_contigs	1292	species	species	99.93	99.51	0.06	92	107457	32.6	86.29	2411	1292	1292	1292	2	1292	1292	1279
Prochlorococcus_marinus_str_NATL1A_genomic	1219	species	species	100.00	98.91	0.00	1	1864732	35.0	86.95	2155	1219	1219	1219	1117	1219	1219	1117
Colwellia_sp_PAMC_20917_genomic	1816218	species	species	100.00	99.14	1.52	1	4683315	37.9	84.84	3977	1816218	1816218	1816218	1	135622	267889	1236
Desulfotalea_psychrophila_LSv54_genomic	84980	species	species	100.00	97.29	0.60	3	3523383	46.6	84.07	3246	84980	84980	84980	109168	84980	84980	28221
Flammeovirga_sp_MY04_genomic	1191459	species	species	100.00	98.36	1.77	3	5056209	34.5	88.50	5618	1191459	1191459	1191459	59739	976	976	768507
Flexibacter_litoralis_DSM_6794_genomic	999	species	species	100.00	100.00	0.55	1	4919338	30.7	84.25	4060	999	999	999	1	999	999	2
Planococcus_maritimus_strain_DSM_17275_genomic	1	NA	NA	100.00	99.34	0.00	1	3294582	47.2	86.16	3237	1	192421	192421	40929	186818	1372	91061
Chromohalobacter_salexigens_DSM_3043_genomic	158080	species	species	100.00	99.14	0.43	1	3696650	63.9	89.35	3322	158080	158080	158080	42054	158080	158080	1236
MvHd14_S5_contigs	58050	genus	genus	99.99	100.00	1.38	280	160207	39.3	85.96	4811	58050	58050	80854	2	58051	58050	1236
Brucella_ceti_TE10759-12_genomic	234	genus	genus	100.00	99.53	0.44	2	2117718	57.2	86.31	3117	234	234	120577	234	235	234	356
Vibrio_sp_Ex25_genomic	662	genus	genus	100.00	100.00	0.26	2	3259580	44.9	86.34	4483	662	663	150340	662	663	663	662
Vw35_S3_contigs	80852	species	species	98.64	99.84	1.12	310	167756	38.2	86.67	4465	80852	80852	80852	2	511678	511678	641
A8_S8_contigs	40269	species	species	99.92	99.39	1.18	1362	22159	39.1	85.56	4755	40269	40269	40269	1236	40269	40269	641
Desulfurobacterium_thermolithotrophum_DSM_11699_genomic	64160	species	species	100.00	99.16	1.69	1	1541969	34.9	94.74	1556	64160	64160	64160	64159	64160	64160	2
Hyperthermus_butylicus_DSM_5456_genomic	54248	species	species	100.00	98.73	1.42	1	1667164	53.7	85.21	1828	54248	54248	54248	183924	54248	54248	183924
Aeromonas_salmonicida_subsp_salmonicida_A449_genomic	645	species	species	100.00	100.00	0.54	6	4702402	58.2	85.79	4784	645	645	645	1	645	645	1236
Nonlabens_dokdonensis_DSW-6_genomic	328515	species	species	100.00	98.54	0.19	1	3914633	35.3	90.60	3463	328515	328515	328515	363408	328515	328515	1
Altererythrobacter_atlanticus_strain_26DY36_genomic	204457	order	order	100.00	99.48	0.55	2	3386291	61.9	91.35	3274	204457	204457	1267766	361177	41297	41297	204457
Vibrio_parahaemolyticus_strain_CHN25_genomic	670	species	species	100.00	100.00	0.46	5	3416467	45.2	86.55	4915	670	670	670	1	670	670	662
MC8_S4_contigs	294	species	species	97.25	100.00	0.51	98	202899	58.8	87.67	5534	294	294	294	286	286	286	72274
Titti24_S4_contigs	168934	genus	genus	89.15	100.00	0.33	309	241901	53.6	87.94	5466	168934	168934	1	1	168934	168934	204441
Nanohaloarchaea_archaeon_SG9_genomic	1	NA	NA	70.40	87.77	0.00	1	1118575	46.4	90.80	1222	1	28890	1	2157	2	28890	2157
Synechococcus_sp_WH_8020_genomic	1129	genus	genus	100.00	99.73	0.27	11	462217	53.1	87.74	2918	1129	64471	32052	1	64471	64471	1117
GB02J24_S7_contigs	60136	genus	genus	89.77	99.36	1.17	103	393427	61.2	89.77	4834	60136	60136	1	60136	60136	60136	31989
GB04J27_S10_contigs	86185	species	species	98.64	100.00	0.60	1610	132321	56.4	80.78	5376	86185	86185	86185	1	286	286	72274
Dinoroseobacter_shibae_DFL_12_genomic	215813	species	species	100.00	99.09	0.56	6	3789584	65.5	89.96	4283	215813	215813	215813	309512	215813	215813	31989
Mycobacterium_chubuense_NBB4_genomic	1760	class	class	100.00	99.56	0.05	3	5583723	68.3	91.49	5991	1760	1800	1800	1763	1800	1800	2037
Methanococcus_vannielii_SB_genomic	2187	species	species	100.00	99.50	0.00	1	1720049	31.3	86.80	1746	2187	2187	2187	2184	2187	2187	28890
Methanocaldococcus_sp_FS406-22_genomic	644281	species	species	100.00	99.52	0.00	2	1760939	32.0	88.69	1875	644281	644281	644281	196118	644281	644281	28890
Vibrio_breoganii_strain_FF50_genomic	553239	species	species	100.00	95.70	2.14	3	2807405	45.2	86.11	4110	553239	553239	553239	1	553239	553239	641
Caldithrix_abyssi_DSM_13497_genomic	187145	species	species	100.00	98.84	1.10	1	4978542	45.1	87.08	3808	187145	187145	187145	187144	187145	187145	2
Rhodoferax_ferrireducens_T118_genomic	192843	species	species	100.00	99.80	1.88	2	4712337	59.6	89.94	4580	192843	192843	192843	1	192843	192843	80840
Piscirickettsia_salmonis_strain_PM25344B_genomic	1238	species	species	100.00	98.05	0.00	5	3187444	39.6	81.45	3913	1238	1238	1238	1	1238	1238	1236
uncultured_marine_group_II_euryarchaeote_genomic	1	NA	NA	70.40	83.20	0.00	202	17722	51.6	93.85	1721	1	28890	1	28890	1224	2	28890
A15_S15_contigs	511678	genus	genus	91.97	99.91	0.67	159	212377	39.0	88.01	4253	511678	511678	1	2	511678	511678	641
A6_S6_contigs	40269	species	species	99.94	98.96	1.23	908	14174	39.0	86.22	4460	40269	40269	40269	2	40269	40269	641
Candidatus_Nitrosopumilus_sp_AR2_genomic	1229909	species	species	100.00	97.09	0.00	1	1690906	33.6	89.97	2112	1229909	1229909	1229909	1	1229909	1229909	2157
Alteromonas_macleodii_str_Ionian_Sea_UM7_genomic	314275	species	species	100.00	100.00	1.72	2	4628378	44.7	87.57	4374	314275	314275	314275	1	314275	314275	1236
Hirschia_baltica_ATCC_49814_genomic	2724	species	species	100.00	99.57	0.00	2	3455622	45.2	89.71	3213	2724	2724	2724	2723	2724	2724	28211
Synechococcus_sp_WH_8109_genomic	166314	species	species	100.00	99.46	0.00	1	2111516	60.1	88.72	2407	166314	166314	166314	1117	166314	166314	1117
Titti32_S12_contigs	1224	phylum	phylum	94.35	100.00	61.24	3076	88326	47.2	85.15	9574	1224	135622	1	1236	875171	135622	2
Thermococcus_barophilus_MP_genomic	55802	species	species	100.00	99.50	0.00	2	2010078	41.7	92.31	2228	55802	55802	55802	2263	55802	55802	28890
Roseobacter_litoralis_Och_149_genomic	42443	species	species	100.00	99.25	0.32	4	4505211	57.2	89.63	4592	42443	42443	42443	1	42443	42443	31989
Pseudovibrio_sp_FO-BEG1_genomic	28211	class	class	100.00	100.00	0.11	3	2707037	52.4	86.97	5332	28211	911045	911045	1	911045	911045	356
Streptococcus_agalactiae_strain_GX026_genomic	1311	species	species	99.66	99.62	0.06	1	1840650	35.5	87.32	1860	1311	1311	1311	1301	1311	1311	186826
Cellulophaga_lytica_DSM_7489_genomic	979	species	species	100.00	99.67	0.00	1	3765937	32.1	91.30	3303	979	979	979	1	979	979	1
Archaeoglobus_fulgidus_DSM_8774_genomic	2234	species	species	100.00	100.00	0.65	1	2316288	48.1	91.93	2657	2234	2234	2234	1	2234	2234	28890
Pseudoalteromonas_sp_OCN003_genomic	1348114	species	species	100.00	100.00	0.61	2	3197498	40.0	89.82	4345	1348114	1348114	1348114	53246	1348114	1348114	1236
Shewanella_piezotolerans_WP3_genomic	404011	species	species	100.00	99.84	0.00	1	5396477	43.3	84.11	4593	404011	404011	404011	22	404011	404011	135622
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_22495_genomic	28901	species	species	99.95	98.91	0.48	3	4817416	52.2	86.94	4771	28901	28901	28901	590	28901	28901	543
Ignicoccus_islandicus_DSM_13165_genomic	54258	genus	genus	100.00	99.37	1.48	1	1394665	44.9	91.03	1544	54258	160233	54259	2157	160233	160233	183924
Nitrosococcus_halophilus_Nc_4_genomic	133539	species	species	100.00	99.47	1.18	2	4079427	51.6	87.68	3992	133539	133539	133539	1227	133539	133539	1236
Vibrio_coralliilyticus_strain_58_genomic	190893	species	species	100.00	99.40	0.76	3	3504421	45.6	87.69	4960	190893	190893	190893	662	190893	190893	662
A9-2_S2_contigs	511678	genus	genus	89.84	99.91	1.28	146	412042	38.7	87.69	3979	511678	511678	1	1	511678	511678	641
Nanoarchaeum_equitans_Kin4-M_genomic	160232	species	superkingdom	73.70	73.13	0.00	1	490886	31.6	94.30	583	160232	160232	1	193568	160232	160232	2157
Pseudomonas_xanthomarina_strain_LMG_23572_genomic	286	genus	genus	100.00	100.00	0.55	2	4332189	60.3	88.33	3987	286	316	271420	286	316	316	1236
Moorea_producens_JHB_genomic	1155739	species	species	100.00	99.00	0.93	261	61951	43.7	74.87	7461	1155739	1155739	1155739	1	1155739	1155739	1117
Donghicola_sp_JLT3646_genomic	1920883	species	species	100.00	99.39	0.40	2	2978145	56.0	91.69	3133	1920883	1920883	1920883	1	31989	31989	31989
Haloferax_gibbonsii_strain_ARA6_genomic	183963	class	class	100.00	99.44	0.00	5	2945391	66.2	86.80	3862	183963	2246	35746	2251	2246	2246	2236
Bacillus_safensis_strain_KCTC_12796BP_genomic	1	NA	NA	100.00	99.48	0.25	2	3935874	41.4	87.87	4013	1	55087	561879	55087	1408	1408	55087
Corynebacterium_phocae_strain_M408_89_1_genomic	1760	class	class	100.00	99.89	0.81	2	2779609	58.8	87.71	2499	1760	161895	161895	1	1716	1716	2037
Altererythrobacter_ishigakiensis_strain_NBRC_107699_genomic	335929	family	family	100.00	98.86	0.73	1	2673979	56.9	92.72	2565	335929	476157	476157	361177	204457	1041	204457
Titti23_S3_contigs	246432	species	species	99.23	99.45	1.10	260	46546	33.2	83.58	2971	246432	246432	246432	1	246432	246432	91061
Titti30_S10_contigs	22	genus	genus	82.56	99.53	3.62	2024	33111	43.9	80.24	6691	22	22	1	1236	22	22	135622
Shewanella_denitrificans_OS217_genomic	192073	species	species	100.00	96.01	1.17	1	4545907	45.1	85.11	3904	192073	192073	192073	22	192073	192073	135622
Piscirickettsia_salmonis_strain_PM31429B_genomic	1238	species	species	100.00	98.81	0.00	5	3192856	39.6	82.79	3579	1238	1238	1238	1	1238	1238	1236
Alteromonas_australica_H_17_genomic	589873	species	species	100.00	99.59	0.17	1	4308834	44.9	89.35	3735	589873	589873	589873	1	589873	589873	1236
Pseudoalteromonas_luteoviolacea_strain_S4054_genomic	43657	species	species	100.00	100.00	0.84	2	4900223	41.7	86.70	5127	43657	43657	43657	53246	43657	43657	1236
Pyrococcus_sp_NA2_genomic	342949	species	species	100.00	100.00	0.50	1	1861321	42.7	91.90	2005	342949	342949	342949	2260	342949	342949	28890
Alteromonas_macleodii_str_Balearic_Sea_AD45_genomic	28108	species	species	100.00	98.65	0.17	2	4629479	44.7	87.75	3999	28108	28108	28108	1	28108	28108	1236
Alteromonas_sp_RW2A1_genomic	226	genus	genus	100.00	99.95	0.51	1	4143825	44.0	87.10	3594	226	226	1917158	1	226	1537994	1236
Prochlorococcus_marinus_str_MIT_9301_genomic	1219	species	species	100.00	99.46	0.00	1	1641880	31.3	90.74	1875	1219	1219	1219	1117	1219	1219	1117
Synechococcus_sp_CC9902_genomic	316279	species	species	100.00	99.46	0.00	1	2234829	54.2	90.36	2461	316279	316279	316279	1117	316279	316279	1117
Vibrio_harveyi_strain_QT520_genomic	669	species	species	100.00	100.00	1.35	5	3571617	45.0	85.62	5561	669	669	669	1	662	662	662
Haloarcula_sp_CBA1115_genomic	2235	order	order	100.00	99.93	0.10	6	3423144	61.9	87.00	4266	2235	51589	1592728	1	51589	51589	2236
Marinobacter_psychrophilus_strain_20041_genomic	2742	genus	genus	100.00	99.77	0.43	1	3998598	53.8	89.06	3655	2742	490759	330734	2742	490759	490759	1236
V-H1309-2-4_S4_contigs	212663	species	species	95.51	100.00	81.45	2638	120334	42.2	87.06	8814	212663	212663	641	2	212663	662	2
Marinobacter_salarius_R9SW1_genomic	2742	genus	genus	100.00	95.48	0.07	1	4616533	57.1	89.43	5438	2742	1415754	1420917	1	1415754	1415754	1236
VwK7F1_S12_contigs	80852	species	species	99.18	99.57	0.85	504	26956	38.7	87.45	4058	80852	80852	80852	2	511678	511678	641
Alteromonas_stellipolaris_LMG_21856_genomic	226	genus	genus	100.00	99.84	0.28	1	4686201	43.6	88.43	3952	226	715451	233316	226	715451	715451	1236
Oscillibacter_valericigenes_Sjm18-20_genomic	351091	species	species	100.00	98.99	1.01	2	4410036	53.2	83.82	4379	351091	351091	351091	459786	351091	351091	186802
Flavobacterium_psychrophilum_v4-33_genomic	96345	species	species	100.00	99.29	0.44	1	2699387	32.4	88.11	2399	96345	96345	96345	1	96345	96345	49546
Parvularcula_bermudensis_HTCC2503_genomic	208216	species	species	100.00	97.23	0.40	1	2902644	60.7	91.05	2683	208216	208216	208216	1	208216	208216	28211
Kangiella_koreensis_DSM_16069_genomic	261964	species	species	100.00	100.00	0.54	1	2852074	43.7	89.96	2638	261964	261964	261964	261963	261964	261964	1236
MR17-77_S9_contigs	511678	genus	genus	98.71	99.86	0.67	233	200497	39.1	87.64	4265	511678	40269	688	2	40269	40269	641
