Genome	taxID	taxName	taxLvl	seqLvl	ANI	Completeness	Contamination	Strain_heterogeneity	Genome_size	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
LjRoot78	1663	Arthrobacter	genus	genus	97.65	99.71	6.81	0.00	4982994	252	909923	65.3	89.74	4774	1663	1449044	1736342	2	1449044	1449044	1268
Chlamy83	2	Bacteria	superkingdom	superkingdom	97.10	100.00	100.00	0.00	11524699	279	79866	49.2	88.78	10460	2	286	2	59732	286	286	1
3823_Q	379	Rhizobium	genus	genus	89.47	99.23	1.17	0.00	5558974	69	224945	60.4	86.48	5389	379	379	1	379	379	379	82115
Chlamy32	758826	Acidovorax radicis	species	species	98.82	99.94	0.90	0.00	5624317	17	756031	64.8	89.09	5084	758826	758826	12916	12916	758826	758826	80840
Chlamy162	1760	Actinobacteria	class	class	83.53	99.49	0.67	0.00	3994963	36	489975	69.1	92.58	3718	1760	33882	1	33882	1760	33882	2037
3823_I	13687	Sphingomonas	genus	genus	90.74	99.57	3.43	0.00	4618281	11	788212	64.7	90.31	4301	13687	13687	1	13687	1	13687	204457
Chlamy31	758826	Acidovorax radicis	species	species	98.82	99.75	0.90	0.00	5624910	16	756031	64.8	89.11	5085	758826	758826	12916	1	758826	758826	80840
LjRoot126	34073	Variovorax paradoxus	species	species	98.73	100.00	0.47	0.00	6692853	36	340631	67.6	91.83	6247	34073	34073	34073	34072	34073	34073	80840
Chlamy118	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086049	21	435385	36.3	88.14	4516	59732	59732	59732	1	1	59732	200644
LjRoot175	1882774	Variovorax sp. CF079	species	species	98.31	100.00	1.71	22.22	8509316	76	342761	66.5	90.50	8372	1882774	1882774	1882774	34072	1224	80864	80840
Chlamy58	758826	Acidovorax radicis	species	species	98.82	99.75	0.90	0.00	5624830	17	1352474	64.8	89.10	5086	758826	758826	12916	1	758826	758826	80840
3934_BU	1224	Proteobacteria	phylum	phylum	93.25	100.00	179.78	4.85	15290494	2377	33787	64.6	89.23	15771	1224	1224	1	1224	1224	1224	1
Chlamy193	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5085552	22	431933	36.3	88.17	4519	59732	59732	59732	59732	1	59732	200644
Chlamy200	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5619243	19	444290	67.1	92.15	5254	80864	80864	1	1	80840	80864	80840
Chlamy186	59732	Chryseobacterium	genus	genus	97.27	100.00	19.83	0.00	8529004	207	79881	49.0	88.08	8183	59732	59732	59732	1	2	49546	200644
Chlamy189	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086256	22	435385	36.3	88.14	4515	59732	59732	59732	1	1	59732	200644
3934_BA	1881042	Pseudoxanthomonas sp. CF385	species	species	98.37	99.95	1.24	0.00	4016304	14	1000733	67.7	90.90	3651	1881042	1881042	1881042	1	32033	32033	32033
3823_D	46913	Devosia	genus	genus	88.01	99.03	0.82	0.00	4715201	29	339169	65.0	89.70	4703	46913	46913	1	46913	1	356	356
LjRoot44	1760	Actinobacteria	class	class	98.92	99.49	0.00	0.00	3886200	11	844981	67.9	92.18	3774	1760	33882	33882	33882	85023	33882	2037
LjRoot93	358220	Acidovorax sp. KKS102	species	species	97.56	99.56	0.02	0.00	5284088	21	580003	64.5	89.54	4792	358220	358220	12916	1	358220	358220	80840
LjRoot200	358220	Acidovorax sp. KKS102	species	species	97.65	99.56	0.02	0.00	5187307	28	394328	64.9	89.74	4774	358220	358220	12916	1	358220	358220	80840
LjRoot52	1510531	Bosea sp. UNC402CLCol	species	species	92.01	99.58	1.10	0.00	5586496	39	573426	66.1	88.83	5337	1510531	1510531	1	2	356	1510531	356
Chlamy133	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3469101	16	622684	67.5	89.90	3204	41275	41275	1	1	41275	41275	28211
LjRoot102	12916	Acidovorax	genus	genus	99.51	99.62	0.38	0.00	6763775	59	220143	66.8	90.07	6195	12916	12916	12916	12916	80864	12916	80840
Chlamy130	40324	Stenotrophomonas maltophilia	species	species	98.82	100.00	0.04	0.00	4326009	33	197966	67.5	90.29	3877	40324	40324	40324	40323	40324	40324	32033
LjRoot125	83618	Pseudoxanthomonas	genus	genus	95.30	99.95	0.78	0.00	3979115	17	521632	66.7	91.58	3668	83618	83618	83618	1	1236	32033	32033
LjRoot134	358220	Acidovorax sp. KKS102	species	species	95.71	99.56	0.24	0.00	5054415	22	388045	65.0	89.45	4595	358220	358220	12916	1	358220	358220	80840
Chlamy188	106589	Cupriavidus	genus	genus	97.71	98.98	99.09	83.50	14107290	1396	35640	66.2	88.47	13837	106589	106589	106589	1224	106589	106589	2
3823_C	358	Agrobacterium tumefaciens	species	species	98.02	100.00	0.42	66.67	5542512	53	193859	59.7	88.12	5215	358	358	357	1	358	358	82115
3934_AP	1760	Actinobacteria	class	class	93.55	98.70	0.78	0.00	6486507	10	944414	68.9	91.77	6155	1760	408672	1	1839	408672	408672	2037
3934_AR	1224	Proteobacteria	phylum	phylum	95.68	100.00	85.42	2.80	8898341	1378	107336	65.6	89.59	8999	1224	1690268	1690268	40323	1224	80864	2
3934_CF	1881042	Pseudoxanthomonas sp. CF385	species	species	95.46	98.28	140.67	26.79	10571243	1864	11470	68.0	91.64	11388	1881042	1881042	1881042	83618	2	1236	2
3823_AH	294	Pseudomonas fluorescens	species	species	99.44	100.00	0.11	0.00	6642739	63	172789	60.9	88.38	5863	294	294	286	286	294	294	72274
Chlamy102	286	Pseudomonas	genus	genus	97.10	100.00	100.00	1.79	10823325	90	245608	62.5	89.15	9640	286	286	1236	286	286	286	1
Chlamy69	1760	Actinobacteria	class	class	89.40	98.99	12.33	0.00	4659060	702	251071	68.6	89.28	4423	1760	33882	1	2	85006	33882	2037
Chlamy211	40324	Stenotrophomonas maltophilia	species	species	97.11	100.00	0.11	0.00	4578731	25	434665	66.2	89.25	4083	40324	40324	32033	1	40324	40324	32033
3934_BH	1690268	Acidovorax sp. SD340	species	species	96.88	99.62	1.28	20.00	5317110	37	350879	64.7	89.49	4862	1690268	1690268	1690268	12916	12916	12916	80840
Chlamy6	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5623870	15	614543	67.1	92.12	5250	80864	80864	1	1	80840	80864	80840
