tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	family	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	genus	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	species	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	strain	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	Shannon diversity	marmgCAMI2_short_read_sample_0	0.5444767315276788
Gold standard	superkingdom	Shannon equitability	marmgCAMI2_short_read_sample_0	0.4956040790220625
Gold standard	phylum	Shannon diversity	marmgCAMI2_short_read_sample_0	0.7503962242665615
Gold standard	phylum	Shannon equitability	marmgCAMI2_short_read_sample_0	0.2648569426798776
Gold standard	class	Shannon diversity	marmgCAMI2_short_read_sample_0	0.8798318838459555
Gold standard	class	Shannon equitability	marmgCAMI2_short_read_sample_0	0.27333514298644335
Gold standard	order	Shannon diversity	marmgCAMI2_short_read_sample_0	1.2077771430371274
Gold standard	order	Shannon equitability	marmgCAMI2_short_read_sample_0	0.28724505032000874
Gold standard	family	Shannon diversity	marmgCAMI2_short_read_sample_0	1.3235347491134808
Gold standard	family	Shannon equitability	marmgCAMI2_short_read_sample_0	0.2821224906656441
Gold standard	genus	Shannon diversity	marmgCAMI2_short_read_sample_0	1.4812061827908407
Gold standard	genus	Shannon equitability	marmgCAMI2_short_read_sample_0	0.2849296967724091
Gold standard	species	Shannon diversity	marmgCAMI2_short_read_sample_0	2.24698129618451
Gold standard	species	Shannon equitability	marmgCAMI2_short_read_sample_0	0.4043640132887751
Gold standard	strain	Shannon diversity	marmgCAMI2_short_read_sample_0	5.010107547575294
Gold standard	strain	Shannon equitability	marmgCAMI2_short_read_sample_0	0.7854770758994747
Gold standard	superkingdom	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	Taxon counts	marmgCAMI2_short_read_sample_0	3.0
Gold standard	superkingdom	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	True positives	marmgCAMI2_short_read_sample_0	3.0
Gold standard	phylum	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	Taxon counts	marmgCAMI2_short_read_sample_0	17.0
Gold standard	phylum	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	True positives	marmgCAMI2_short_read_sample_0	17.0
Gold standard	class	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	Taxon counts	marmgCAMI2_short_read_sample_0	25.0
Gold standard	class	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	True positives	marmgCAMI2_short_read_sample_0	25.0
Gold standard	order	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	Taxon counts	marmgCAMI2_short_read_sample_0	67.0
Gold standard	order	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	True positives	marmgCAMI2_short_read_sample_0	67.0
Gold standard	family	F1 score	marmgCAMI2_short_read_sample_0	1.0
