tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	strmgCAMI2_short_read_average	0.0
Gold standard	phylum	Bray-Curtis distance	strmgCAMI2_short_read_average	0.0
Gold standard	class	Bray-Curtis distance	strmgCAMI2_short_read_average	0.0
Gold standard	order	Bray-Curtis distance	strmgCAMI2_short_read_average	0.0
Gold standard	family	Bray-Curtis distance	strmgCAMI2_short_read_average	0.0
Gold standard	genus	Bray-Curtis distance	strmgCAMI2_short_read_average	0.0
Gold standard	species	Bray-Curtis distance	strmgCAMI2_short_read_average	0.0
Gold standard	strain	Bray-Curtis distance	strmgCAMI2_short_read_average	0.0
Gold standard	superkingdom	Shannon diversity	strmgCAMI2_short_read_average	0.0
Gold standard	superkingdom	Shannon equitability	strmgCAMI2_short_read_average	0.0
Gold standard	phylum	Shannon diversity	strmgCAMI2_short_read_average	0.7725211637849418
Gold standard	phylum	Shannon equitability	strmgCAMI2_short_read_average	0.5572562259871532
Gold standard	class	Shannon diversity	strmgCAMI2_short_read_average	0.7860907044249663
Gold standard	class	Shannon equitability	strmgCAMI2_short_read_average	0.48842561639180565
Gold standard	order	Shannon diversity	strmgCAMI2_short_read_average	0.9775030194910559
Gold standard	order	Shannon equitability	strmgCAMI2_short_read_average	0.5455548226638893
Gold standard	family	Shannon diversity	strmgCAMI2_short_read_average	1.1994745846962687
Gold standard	family	Shannon equitability	strmgCAMI2_short_read_average	0.5459044091662393
Gold standard	genus	Shannon diversity	strmgCAMI2_short_read_average	1.491879783079488
Gold standard	genus	Shannon equitability	strmgCAMI2_short_read_average	0.6003765908899507
Gold standard	species	Shannon diversity	strmgCAMI2_short_read_average	1.5719872022676393
Gold standard	species	Shannon equitability	strmgCAMI2_short_read_average	0.5247422195050528
Gold standard	strain	Shannon diversity	strmgCAMI2_short_read_average	5.959619071030266
Gold standard	strain	Shannon equitability	strmgCAMI2_short_read_average	0.9914081171447824
Gold standard	superkingdom	F1 score	strmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	False negatives	strmgCAMI2_short_read_average	0.0
Gold standard	superkingdom	False positives	strmgCAMI2_short_read_average	0.0
Gold standard	superkingdom	Jaccard index	strmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	Taxon counts	strmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	Purity	strmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	Completeness	strmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	True positives	strmgCAMI2_short_read_average	1.0
Gold standard	phylum	F1 score	strmgCAMI2_short_read_average	1.0
Gold standard	phylum	False negatives	strmgCAMI2_short_read_average	0.0
Gold standard	phylum	False positives	strmgCAMI2_short_read_average	0.0
Gold standard	phylum	Jaccard index	strmgCAMI2_short_read_average	1.0
Gold standard	phylum	Taxon counts	strmgCAMI2_short_read_average	4.0
Gold standard	phylum	Purity	strmgCAMI2_short_read_average	1.0
Gold standard	phylum	Completeness	strmgCAMI2_short_read_average	1.0
Gold standard	phylum	True positives	strmgCAMI2_short_read_average	4.0
Gold standard	class	F1 score	strmgCAMI2_short_read_average	1.0
Gold standard	class	False negatives	strmgCAMI2_short_read_average	0.0
Gold standard	class	False positives	strmgCAMI2_short_read_average	0.0
