Completeness	Purity	F1 score	L1 norm error	Bray-Curtis distance	Shannon equitability	Weighted UniFrac error	sum
TIPP cami1 (33)	DUDes (24)	Centrifuge (30)	MetaPhlAn (30)	MetaPhlAn (27)	Bracken (63)	MetaPhlAn (1)	MetaPhlAn (329)
TIPP (37)	MetaPhlAn cami1 (28)	Bracken (49)	mOTUs 2.0.1 (58)	mOTUs 2.0.1 (57)	Centrifuge (65)	mOTUs 2.0.1 (8)	Centrifuge (381)
mOTUs (39)	mOTUs cami1 (30)	MetaPhlAn (54)	mOTUs (59)	mOTUs (59)	DUDes (78)	Centrifuge (9)	mOTUs (397)
Centrifuge (47)	Metalign (36)	mOTUs (55)	Centrifuge (75)	Centrifuge (71)	mOTUs (87)	Bracken (12)	mOTUs 2.0.1 (440)
Bracken (50)	MetaPhlAn (36)	mOTUs cami1 (65)	DUDes cami1 (79)	TIPP cami1 (77)	Metalign (89)	LSHVec (14)	Bracken (462)
FOCUS cami1 (88)	mOTUs 2.0.1 (49)	DUDes cami1 (72)	TIPP cami1 (80)	DUDes cami1 (77)	MetaPhlAn cami1 (89)	MetaPhyler (14)	MetaPhlAn cami1 (481)
MetaPhlAn (89)	DUDes cami1 (52)	mOTUs 2.0.1 (72)	MetaPhlAn cami1 (82)	MetaPhlAn cami1 (77)	TIPP (91)	DUDes (14)	mOTUs cami1 (516)
mOTUs cami1 (102)	LSHVec (69)	MetaPhlAn cami1 (75)	mOTUs cami1 (86)	mOTUs cami1 (87)	MetaPhlAn (92)	DUDes cami1 (15)	DUDes cami1 (523)
mOTUs 2.0.1 (103)	MetaPhyler (70)	DUDes (109)	Metalign (99)	Bracken (94)	mOTUs 2.0.1 (93)	MetaPhlAn cami1 (15)	Metalign (590)
DUDes cami1 (104)	mOTUs (82)	Metalign (110)	Bracken (101)	Metalign (97)	TIPP cami1 (102)	mOTUs (16)	DUDes (599)
FOCUS (106)	Centrifuge (84)	MetaPhyler (111)	DUDes (111)	DUDes (113)	MetaPhyler (116)	mOTUs cami1 (16)	TIPP cami1 (600)
MetaPhlAn cami1 (115)	Bracken (93)	TIPP cami1 (123)	MetaPhyler (125)	MetaPhyler (126)	CCMetagen (118)	Metalign (17)	MetaPhyler (703)
MetaPhyler (141)	TIPP cami1 (167)	LSHVec (134)	LSHVec (134)	LSHVec (135)	DUDes cami1 (124)	TIPP cami1 (18)	TIPP (785)
Metalign (142)	CCMetagen (172)	TIPP (144)	TIPP (148)	TIPP (146)	FOCUS cami1 (129)	CCMetagen (21)	LSHVec (823)
DUDes (150)	TIPP (186)	FOCUS cami1 (176)	CCMetagen (168)	CCMetagen (165)	mOTUs cami1 (130)	FOCUS cami1 (28)	FOCUS cami1 (965)
LSHVec (162)	FOCUS (193)	CCMetagen (178)	FOCUS cami1 (177)	FOCUS cami1 (174)	FOCUS (140)	FOCUS (30)	CCMetagen (993)
CCMetagen (171)	FOCUS cami1 (193)	FOCUS (186)	FOCUS (192)	FOCUS (192)	LSHVec (175)	TIPP (33)	FOCUS (1039)
