tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	marmgCAMI2_short_read_average	0.0
Gold standard	phylum	Bray-Curtis distance	marmgCAMI2_short_read_average	0.0
Gold standard	class	Bray-Curtis distance	marmgCAMI2_short_read_average	0.0
Gold standard	order	Bray-Curtis distance	marmgCAMI2_short_read_average	0.0
Gold standard	family	Bray-Curtis distance	marmgCAMI2_short_read_average	0.0
Gold standard	genus	Bray-Curtis distance	marmgCAMI2_short_read_average	0.0
Gold standard	species	Bray-Curtis distance	marmgCAMI2_short_read_average	0.0
Gold standard	strain	Bray-Curtis distance	marmgCAMI2_short_read_average	0.0
Gold standard	superkingdom	Shannon diversity	marmgCAMI2_short_read_average	0.5649457849528443
Gold standard	superkingdom	Shannon equitability	marmgCAMI2_short_read_average	0.5142358143815685
Gold standard	phylum	Shannon diversity	marmgCAMI2_short_read_average	0.8599778102976228
Gold standard	phylum	Shannon equitability	marmgCAMI2_short_read_average	0.26716712824199584
Gold standard	class	Shannon diversity	marmgCAMI2_short_read_average	1.054445707430739
Gold standard	class	Shannon equitability	marmgCAMI2_short_read_average	0.2990181236632104
Gold standard	order	Shannon diversity	marmgCAMI2_short_read_average	1.4932388866240809
Gold standard	order	Shannon equitability	marmgCAMI2_short_read_average	0.3398011523324557
Gold standard	family	Shannon diversity	marmgCAMI2_short_read_average	1.6473193122322285
Gold standard	family	Shannon equitability	marmgCAMI2_short_read_average	0.3353216031957055
Gold standard	genus	Shannon diversity	marmgCAMI2_short_read_average	1.8965484522837055
Gold standard	genus	Shannon equitability	marmgCAMI2_short_read_average	0.3385412757071601
Gold standard	species	Shannon diversity	marmgCAMI2_short_read_average	2.6243781773593673
Gold standard	species	Shannon equitability	marmgCAMI2_short_read_average	0.4253717602535958
Gold standard	strain	Shannon diversity	marmgCAMI2_short_read_average	5.2114234354947335
Gold standard	strain	Shannon equitability	marmgCAMI2_short_read_average	0.7570933044339183
Gold standard	superkingdom	F1 score	marmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	False negatives	marmgCAMI2_short_read_average	0.0
Gold standard	superkingdom	False positives	marmgCAMI2_short_read_average	0.0
Gold standard	superkingdom	Jaccard index	marmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	Taxon counts	marmgCAMI2_short_read_average	3.0
Gold standard	superkingdom	Purity	marmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	Completeness	marmgCAMI2_short_read_average	1.0
Gold standard	superkingdom	True positives	marmgCAMI2_short_read_average	3.0
Gold standard	phylum	F1 score	marmgCAMI2_short_read_average	1.0
Gold standard	phylum	False negatives	marmgCAMI2_short_read_average	0.0
Gold standard	phylum	False positives	marmgCAMI2_short_read_average	0.0
Gold standard	phylum	Jaccard index	marmgCAMI2_short_read_average	1.0
Gold standard	phylum	Taxon counts	marmgCAMI2_short_read_average	25.0
Gold standard	phylum	Purity	marmgCAMI2_short_read_average	1.0
Gold standard	phylum	Completeness	marmgCAMI2_short_read_average	1.0
Gold standard	phylum	True positives	marmgCAMI2_short_read_average	25.0
Gold standard	class	F1 score	marmgCAMI2_short_read_average	1.0
Gold standard	class	False negatives	marmgCAMI2_short_read_average	0.0
Gold standard	class	False positives	marmgCAMI2_short_read_average	0.0
Gold standard	class	Jaccard index	marmgCAMI2_short_read_average	1.0
Gold standard	class	Taxon counts	marmgCAMI2_short_read_average	34.0
Gold standard	class	Purity	marmgCAMI2_short_read_average	1.0
Gold standard	class	Completeness	marmgCAMI2_short_read_average	1.0
Gold standard	class	True positives	marmgCAMI2_short_read_average	34.0
Gold standard	order	F1 score	marmgCAMI2_short_read_average	1.0
Gold standard	order	False negatives	marmgCAMI2_short_read_average	0.0
Gold standard	order	False positives	marmgCAMI2_short_read_average	0.0
Gold standard	order	Jaccard index	marmgCAMI2_short_read_average	1.0
Gold standard	order	Taxon counts	marmgCAMI2_short_read_average	81.0
Gold standard	order	Purity	marmgCAMI2_short_read_average	1.0
Gold standard	order	Completeness	marmgCAMI2_short_read_average	1.0
Gold standard	order	True positives	marmgCAMI2_short_read_average	81.0
Gold standard	family	F1 score	marmgCAMI2_short_read_average	1.0
Gold standard	family	False negatives	marmgCAMI2_short_read_average	0.0
Gold standard	family	False positives	marmgCAMI2_short_read_average	0.0
Gold standard	family	Jaccard index	marmgCAMI2_short_read_average	1.0
Gold standard	family	Taxon counts	marmgCAMI2_short_read_average	136.0
Gold standard	family	Purity	marmgCAMI2_short_read_average	1.0
Gold standard	family	Completeness	marmgCAMI2_short_read_average	1.0
Gold standard	family	True positives	marmgCAMI2_short_read_average	136.0
Gold standard	genus	F1 score	marmgCAMI2_short_read_average	1.0
Gold standard	genus	False negatives	marmgCAMI2_short_read_average	0.0
Gold standard	genus	False positives	marmgCAMI2_short_read_average	0.0
Gold standard	genus	Jaccard index	marmgCAMI2_short_read_average	1.0
Gold standard	genus	Taxon counts	marmgCAMI2_short_read_average	271.0
Gold standard	genus	Purity	marmgCAMI2_short_read_average	1.0
Gold standard	genus	Completeness	marmgCAMI2_short_read_average	1.0
Gold standard	genus	True positives	marmgCAMI2_short_read_average	271.0
Gold standard	species	F1 score	marmgCAMI2_short_read_average	1.0
Gold standard	species	False negatives	marmgCAMI2_short_read_average	0.0
Gold standard	species	False positives	marmgCAMI2_short_read_average	0.0
Gold standard	species	Jaccard index	marmgCAMI2_short_read_average	1.0
Gold standard	species	Taxon counts	marmgCAMI2_short_read_average	478.0
Gold standard	species	Purity	marmgCAMI2_short_read_average	1.0
Gold standard	species	Completeness	marmgCAMI2_short_read_average	1.0
Gold standard	species	True positives	marmgCAMI2_short_read_average	478.0
Gold standard	strain	F1 score	marmgCAMI2_short_read_average	1.0
Gold standard	strain	False negatives	marmgCAMI2_short_read_average	0.0
Gold standard	strain	False positives	marmgCAMI2_short_read_average	0.0
Gold standard	strain	Jaccard index	marmgCAMI2_short_read_average	1.0
Gold standard	strain	Taxon counts	marmgCAMI2_short_read_average	976.0
Gold standard	strain	Purity	marmgCAMI2_short_read_average	1.0
Gold standard	strain	Completeness	marmgCAMI2_short_read_average	1.0
Gold standard	strain	True positives	marmgCAMI2_short_read_average	976.0
Gold standard	superkingdom	L1 norm error	marmgCAMI2_short_read_average	0.0
Gold standard	phylum	L1 norm error	marmgCAMI2_short_read_average	0.0
Gold standard	class	L1 norm error	marmgCAMI2_short_read_average	0.0
Gold standard	order	L1 norm error	marmgCAMI2_short_read_average	0.0
Gold standard	family	L1 norm error	marmgCAMI2_short_read_average	0.0
Gold standard	genus	L1 norm error	marmgCAMI2_short_read_average	0.0
Gold standard	species	L1 norm error	marmgCAMI2_short_read_average	0.0
