	CAMI 1 average completeness (bp)	Average purity (bp)	CAMI 1 F1 score (bp)	Adjusted Rand index (bp)	Percentage of binned bp
MetaBAT 2.15-5 (A1)	14.3	89.0	24.6	49.5	39.0
MetaBAT 2.15-5 (A2)	14.2	96.9	24.7	86.6	19.3
MetaBAT 2.15-5 (A3)	14.4	96.9	25.0	85.7	19.7
MetaBAT 2.15-5 (A4)	12.2	86.7	21.4	53.8	37.7
MetaBinner 1.0 (B1)	15.8	66.8	25.6	45.1	58.1
MetaBinner 1.2 (B2)	13.0	57.3	21.2	42.7	55.1
MetaBinner 1.3 (B3)	15.9	62.0	25.3	55.6	50.7
MetaBinner 1.3 (B4)	13.7	60.0	22.3	46.3	51.3
MaxBin 2.2.7 (F1)	20.5	81.3	32.8	51.0	56.3
CONCOCT 1.1.0 (G1)	16.2	69.3	26.3	61.3	58.1
CONCOCT 0.4.1 (G2)	16.3	72.8	26.6	60.3	58.1
VAMB 3.0.1 (J1)	0.1	100.0	0.2	46.3	47.2
Average	13.9	78.2	23.0	57.0	45.9
Standard error of the mean	1.4	4.5	2.2	4.3	4.1
Variance	23.3	240.1	60.5	218.6	200.1
Standard deviation	4.8	15.5	7.8	14.8	14.1
