All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     A_STAR      HipMer       marmgCAMI2  Megahit      metaSPAdes   Miniasm     OPERA_MS_inhouse  SPAdes    
# contigs (>= 1000 bp)       8           12           1           19           19           5           5                 4         
# contigs (>= 5000 bp)       6           9            1           13           14           5           4                 0         
# contigs (>= 10000 bp)      6           3            1           11           11           5           4                 0         
# contigs (>= 25000 bp)      6           0            1           5            1            4           3                 0         
# contigs (>= 50000 bp)      6           0            1           3            0            3           1                 0         
Total length (>= 1000 bp)    1083384     90584        4884705     619640       200840       422524      239113            9557      
Total length (>= 5000 bp)    1080880     82098        4884705     604170       186763       422524      235138            0         
Total length (>= 10000 bp)   1080880     40108        4884705     588332       162584       422524      235138            0         
Total length (>= 25000 bp)   1080880     0            4884705     500651       31085        409276      211189            0         
Total length (>= 50000 bp)   1080880     0            4884705     409801       0            381527      152387            0         
# contigs                    12          12           1           22           20           5           6                 6         
Largest contig               236311      17986        4884705     189776       31085        156872      152387            4952      
Total length                 1086044     90584        4884705     621539       201473       422524      239617            11236     
Reference length             5083        5083         5083        5083         5083         5083        5083              5083      
GC (%)                       45.89       46.04        46.03       45.35        45.41        46.21       45.54             46.37     
Reference GC (%)             59.49       59.49        59.49       59.49        59.49        59.49       59.49             59.49     
N50                          226018      8561         4884705     161522       12296        143938      152387            1784      
NG50                         236311      17986        4884705     189776       31085        156872      152387            4952      
N75                          226018      5493         4884705     42104        10525        80717       29729             1133      
NG75                         236311      17986        4884705     189776       31085        156872      152387            4952      
L50                          3           4            1           2            6            2           1                 2         
LG50                         1           1            1           1            1            1           1                 1         
L75                          4           7            1           5            10           3           2                 4         
LG75                         1           1            1           1            1            1           1                 1         
# misassemblies              0           0            0           2            0            0           0                 0         
# misassembled contigs       0           0            0           2            0            0           0                 0         
Misassembled contigs length  0           0            0           1048         0            0           0                 0         
# local misassemblies        2           0            0           1            0            0           0                 0         
# scaffold gap ext. mis.     0           0            0           0            0            0           0                 0         
# scaffold gap loc. mis.     0           0            0           0            0            0           0                 0         
# unaligned mis. contigs     2           1            1           3            0            1           0                 0         
# unaligned contigs          0 + 8 part  0 + 12 part  0 + 1 part  0 + 19 part  0 + 19 part  0 + 5 part  0 + 5 part        0 + 6 part
Unaligned length             1077474     84149        4879622     611497       193325       418867      236583            9148      
Genome fraction (%)          73.028      62.620       100.000     80.327       72.280       70.195      59.433            41.078    
Duplication ratio            2.309       2.022        1.000       2.459        2.218        1.025       1.004             1.000     
# N's per 100 kbp            0.55        0.00         0.00        0.00         0.00         0.00        0.00              0.00      
# mismatches per 100 kbp     2047.41     377.00       0.00        2253.25      816.55       0.00        529.63            766.28    
# indels per 100 kbp         53.88       0.00         0.00        24.49        0.00         0.00        33.10             0.00      
Largest alignment            637         944          3110        955          663          1003        693               554       
Total aligned length         8320        6435         5083        10087        8148         3657        3034              2088      
NGA50                        571         759          3110        581          593          765         347               -         
NGA75                        543         594          816         552          516          -           -                 -         
LGA50                        5           3            1           4            5            3           5                 -         
LGA75                        7           5            2           6            7            -           -                 -         
