All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     ABySS          A_STAR             Flye          HipMer            marmgCAMI2    Megahit           metaSPAdes        Miniasm          OPERA_MS_inhouse  SPAdes         
# contigs (>= 0 bp)          9812           114145             95            34616             60            40251             45360             10247            5512              43524          
# contigs (>= 1000 bp)       1924           51827              89            27220             51            33442             37765             9395             4183              28032          
# contigs (>= 5000 bp)       765            12879              87            9370              50            15692             16159             7272             3134              5321           
# contigs (>= 10000 bp)      421            6961               87            5174              50            9665              9398              5233             2527              1896           
# contigs (>= 25000 bp)      148            2876               28            2262              50            4555              4018              2508             1533              474            
# contigs (>= 50000 bp)      53             1363               15            1165              50            2230              1868              1299             826               193            
Total length (>= 0 bp)       23173213       427745115          2582492       334616321         171145864     514455649         501144934         277269920        164865904         161475633      
Total length (>= 1000 bp)    18024727       384730960          2578602       329209239         171140007     509527572         495598671         276663036        163976134         150696822      
Total length (>= 5000 bp)    15146910       305228038          2576177       287089759         171138620     465692801         442444940         271260733        161391217         100181788      
Total length (>= 10000 bp)   12728825       263859272          2576177       257767155         171138620     423156730         394546553         255806096        156986459         76916464       
Total length (>= 25000 bp)   8566104        200893088          1567210       213020733         171138620     343131391         310512693         212838046        140807343         56192170       
Total length (>= 50000 bp)   5174466        148685790          1172418       174614106         171138620     260797717         235173771         170488532        115453387         46445052       
# contigs                    9897           114338             189           34639             60            40310             45374             10488            5514              43527          
Largest contig               311947         1928926            124885        1524395           7215228       1396623           1667163           2428999          1165491           1902115        
Total length                 25081674       429042430          5148066       336527542         171145864     523745684         501240066         305654709        164912279         161490540      
Reference length             141115         141115             141115        141115            141115        141115            141115            141115           141115            141115         
N50                          15463          20878              32688         57833             4134217       53087             43277             85015            103185            8743           
N75                          2252           3780               18886         11692             3052329       16360             12609             30050            41436             2873           
L50                          272            3455               37            1020              18            2115              2199              737              364               2308           
L75                          1326           16481              90            4514              29            6604              7736              2267             1006              10900          
# misassemblies              0              4                  0             0                 0             5                 0                 0                0                 0              
# misassembled contigs       0              4                  0             0                 0             5                 0                 0                0                 0              
Misassembled contigs length  0              5770               0             0                 0             6292              0                 0                0                 0              
# local misassemblies        0              5                  0             0                 0             8                 2                 0                2                 2              
# scaffold gap ext. mis.     0              0                  0             0                 0             0                 0                 0                0                 0              
# scaffold gap loc. mis.     0              1                  0             0                 0             0                 0                 0                0                 0              
# unaligned mis. contigs     0              53                 0             22                20            38                26                18               19                14             
# unaligned contigs          9875 + 7 part  114098 + 196 part  185 + 4 part  34431 + 177 part  30 + 30 part  39952 + 283 part  45135 + 223 part  10407 + 79 part  5440 + 68 part    43435 + 79 part
Unaligned length             25024933       420705340          5136898       336196278         171004225     523391433         500819588         305515569        164782801         161263897      
Genome fraction (%)          11.757         55.947             3.955         95.209            99.228        98.223            97.075            76.046           89.523            92.454         
Duplication ratio            3.420          105.600            2.001         2.466             1.012         2.556             3.069             1.297            1.025             1.737          
# N's per 100 kbp            124.19         1897.89            0.00          18.23             0.00          0.00              2.04              2.42             0.34              56.58          
# mismatches per 100 kbp     0.00           668.78             0.00          61.78             48.56         1347.69           173.74            123.94           338.80            229.18         
# indels per 100 kbp         6.03           43.07              107.51        13.40             0.71          44.73             5.11              233.90           154.36            29.13          
Largest alignment            3437           3303               3184          6290              10622         6797              10622             9260             6734              9938           
Total aligned length         24009          187378             11168         266978            143533        349491            408250            131717           131217            134153         
