tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	family	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	genus	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	species	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	strain	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	Shannon diversity	marmgCAMI2_short_read_sample_0	0.5696870538618448
Gold standard	superkingdom	Shannon equitability	marmgCAMI2_short_read_sample_0	0.518551503326527
Gold standard	phylum	Shannon diversity	marmgCAMI2_short_read_sample_0	1.2819531256532835
Gold standard	phylum	Shannon equitability	marmgCAMI2_short_read_sample_0	0.452473206206898
Gold standard	class	Shannon diversity	marmgCAMI2_short_read_sample_0	1.7894138730849174
Gold standard	class	Shannon equitability	marmgCAMI2_short_read_sample_0	0.5559126758666394
Gold standard	order	Shannon diversity	marmgCAMI2_short_read_sample_0	2.930644565936798
Gold standard	order	Shannon equitability	marmgCAMI2_short_read_sample_0	0.6969937712976724
Gold standard	family	Shannon diversity	marmgCAMI2_short_read_sample_0	3.3571293811368634
Gold standard	family	Shannon equitability	marmgCAMI2_short_read_sample_0	0.715600178331198
Gold standard	genus	Shannon diversity	marmgCAMI2_short_read_sample_0	3.767613670750514
Gold standard	genus	Shannon equitability	marmgCAMI2_short_read_sample_0	0.7247505669601404
Gold standard	species	Shannon diversity	marmgCAMI2_short_read_sample_0	2.2891372060903286
Gold standard	species	Shannon equitability	marmgCAMI2_short_read_sample_0	0.41195033941543324
Gold standard	strain	Shannon diversity	marmgCAMI2_short_read_sample_0	5.010151659304066
Gold standard	strain	Shannon equitability	marmgCAMI2_short_read_sample_0	0.7854839916695255
Gold standard	superkingdom	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	Taxon counts	marmgCAMI2_short_read_sample_0	3.0
Gold standard	superkingdom	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	True positives	marmgCAMI2_short_read_sample_0	3.0
Gold standard	phylum	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	Taxon counts	marmgCAMI2_short_read_sample_0	17.0
Gold standard	phylum	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	True positives	marmgCAMI2_short_read_sample_0	17.0
Gold standard	class	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	Taxon counts	marmgCAMI2_short_read_sample_0	25.0
Gold standard	class	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	True positives	marmgCAMI2_short_read_sample_0	25.0
Gold standard	order	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	Taxon counts	marmgCAMI2_short_read_sample_0	67.0
Gold standard	order	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	True positives	marmgCAMI2_short_read_sample_0	67.0
Gold standard	family	F1 score	marmgCAMI2_short_read_sample_0	1.0
