	CAMI 1 average completeness (bp)rank	Average purity (bp)rank	Adjusted Rand index (bp)rank	Percentage of binned bprank	sum
0	MetaWRAP 1.2.3 (D1) (0)	Vamb fa045c0 (J1) (0)	MetaBAT 0.25.4 (A3) (0)	MetaBinner 1.0 (B3) (0)	CONCOCT 0.4.1 (G2) (18)
1	MetaBinner 1.0 (B3) (1)	Autometa cami2-146383e (C2) (1)	UltraBinner 1.0 (E2) (1)	MetaBinner 1.0 (B2) (1)	CONCOCT 1.1.0 (G1) (19)
2	MetaBinner 1.0 (B2) (2)	MetaBAT 0.25.4 (A3) (2)	UltraBinner 1.0 (E1) (2)	Autometa cami2-146383e (C2) (2)	Vamb fa045c0 (J1) (23)
3	CONCOCT 0.4.1 (G2) (3)	CONCOCT 1.1.0 (G1) (3)	Vamb fa045c0 (J1) (3)	MetaWRAP 1.2.3 (D1) (3)	MetaBinner 1.0 (B4) (25)
4	CONCOCT 1.1.0 (G1) (4)	CONCOCT 0.4.1 (G2) (4)	CONCOCT 0.4.1 (G2) (4)	Vamb fa045c0 (J1) (4)	MetaWRAP 1.2.3 (D1) (28)
5	MetaBinner 1.0 (B4) (5)	MetaBinner 1.0 (B4) (5)	CONCOCT 1.1.0 (G1) (5)	MaxBin 2.2.7 (F1) (5)	MaxBin 2.2.7 (F1) (29)
6	MaxBin 2.2.7 (F1) (6)	UltraBinner 1.0 (E1) (6)	MaxBin 2.2.7 (F1) (6)	MaxBin 2.0.2 (F2) (6)	MetaBAT 0.25.4 (A3) (30)
7	MetaBinner 1.0 (B7) (7)	MetaBinner 1.0 (B8) (7)	MaxBin 2.0.2 (F2) (7)	MetaBinner 1.0 (B6) (7)	MetaBinner 1.0 (B3) (30)
8	MetaBinner 1.0 (B5) (8)	MetaBinner 1.0 (B5) (8)	MetaBinner 1.0 (B4) (8)	MetaBinner 1.0 (B7) (7)	MetaBinner 1.0 (B2) (32)
9	MetaBinner 1.0 (B6) (8)	MetaBinner 1.0 (B6) (8)	MetaWRAP 1.2.3 (D1) (9)	MetaBinner 1.0 (B8) (7)	MetaBinner 1.0 (B6) (33)
10	MaxBin 2.0.2 (F2) (10)	MetaBinner 1.0 (B7) (10)	MetaBinner 1.0 (B5) (10)	CONCOCT 0.4.1 (G2) (7)	MetaBinner 1.0 (B5) (33)
11	MetaBinner 1.0 (B8) (11)	MaxBin 2.0.2 (F2) (11)	MetaBinner 1.0 (B6) (10)	MetaBinner 1.0 (B4) (7)	MaxBin 2.0.2 (F2) (34)
12	UltraBinner 1.0 (E2) (12)	MaxBin 2.2.7 (F1) (12)	MetaBinner 1.0 (B8) (12)	CONCOCT 1.1.0 (G1) (7)	Autometa cami2-146383e (C2) (34)
13	MetaBAT 0.25.4 (A3) (13)	UltraBinner 1.0 (E2) (13)	MetaBinner 1.0 (B7) (13)	MetaBinner 1.0 (B5) (7)	MetaBinner 1.0 (B8) (37)
14	UltraBinner 1.0 (E1) (14)	MetaBinner 1.0 (B3) (14)	MetaBinner 1.0 (B2) (14)	UltraBinner 1.0 (E2) (14)	MetaBinner 1.0 (B7) (37)
15	Autometa cami2-146383e (C2) (15)	MetaBinner 1.0 (B2) (15)	MetaBinner 1.0 (B3) (15)	MetaBAT 0.25.4 (A3) (15)	UltraBinner 1.0 (E1) (38)
16	Vamb fa045c0 (J1) (16)	MetaWRAP 1.2.3 (D1) (16)	Autometa cami2-146383e (C2) (16)	UltraBinner 1.0 (E1) (16)	UltraBinner 1.0 (E2) (40)
