tool	Strain recall	# mismatches per 100 kbp	Duplication ratio	# misassemblies	Genome fraction (%)	Strain precision	NGA50	Sum of scores
short_read_pooled_gsa	0	0	17	0	0	0	0	17
HipMer_Metagenome_short	1	1	2	2	12	0	12	30
HipMer_cgraph_short	1	4	1	8	11	5	4	34
HipMer_cgraph-ono_short	1	6	3	11	9	4	2	36
metaSPAdes_v3.13.1_short	1	9	5	4	6	8	8	41
metaSPAdes_v3.13.0_short	1	10	6	5	7	8	5	42
ABySS_short	11	2	0	3	16	0	16	48
metaSPAdes_v3.13.1-short	7	8	7	6	8	10	6	52
SPAdes_v3.14-dev_hybrid	7	14	4	9	14	6	1	55
Megahit_v1.1.2_short	6	11	10	13	3	11	7	61
Ray-Meta_short	7	3	14	7	15	0	15	61
Miniasm_GATB_hybrid	11	7	11	12	13	7	9	70
Megahit_V1.2.7-short	10	12	8	14	4	12	14	74
OPERA-MS-hybrid	14	16	9	10	10	14	3	76
Flye_long	14	5	12	1	17	14	17	80
A-STAR_contig_hybrid	14	13	15	16	1	14	13	86
Megahit_v1.1.4-2_short	13	17	13	15	5	13	11	87
A-STAR_scaffold_hybrid	14	15	16	17	2	14	10	88
