	Completenesssuperkingdom	Completenessphylum	Completenessclass	Completenessorder	Completenessfamily	Completenessgenus	Completenessspecies	Completenessavg	Completenessstrain	Puritysuperkingdom	Purityphylum	Purityclass	Purityorder	Purityfamily	Puritygenus	Purityspecies	Purityavg	Puritystrain	F1 scoresuperkingdom	F1 scorephylum	F1 scoreclass	F1 scoreorder	F1 scorefamily	F1 scoregenus	F1 scorespecies	F1 scoreavg	F1 scorestrain	L1 norm errorsuperkingdom	L1 norm errorphylum	L1 norm errorclass	L1 norm errororder	L1 norm errorfamily	L1 norm errorgenus	L1 norm errorspecies	L1 norm erroravg	L1 norm errorstrain	Bray-Curtis distancesuperkingdom	Bray-Curtis distancephylum	Bray-Curtis distanceclass	Bray-Curtis distanceorder	Bray-Curtis distancefamily	Bray-Curtis distancegenus	Bray-Curtis distancespecies	Bray-Curtis distanceavg	Bray-Curtis distancestrain	Shannon equitabilitysuperkingdom	Shannon equitabilityphylum	Shannon equitabilityclass	Shannon equitabilityorder	Shannon equitabilityfamily	Shannon equitabilitygenus	Shannon equitabilityspecies	Shannon equitabilityavg	Shannon equitabilitystrain	Weighted UniFrac error
Bracken 2.6	100.0	63.3	67.9	65.3	59.6	57.4	32.0	63.7	0.0	92.5	48.7	50.8	37.0	25.3	11.6	2.3	38.3	0.0	95.5	54.6	57.6	47.0	35.3	19.3	4.2	47.8		0.09	0.21	0.23	0.26	0.3	0.34	1.06	0.36		0.05	0.11	0.12	0.14	0.16	0.19	0.65	0.2		0.03	0.05	0.1	0.11	0.14	0.12	0.09	0.09		3.85
MetaPhlAn 2.9.21	52.4	59.0	57.0	47.2	44.7	38.0	32.5	47.2	0.0	100.0	100.0	99.5	99.8	98.8	95.7	51.5	92.2	0.0	68.1	74.0	72.2	63.9	61.4	54.2	39.8	62.5		0.02	0.63	0.74	0.79	0.85	0.87	1.17	0.72		0.01	0.32	0.37	0.4	0.42	0.45	0.68	0.38		0.07	0.23	0.04	0.05	0.05	0.09	0.16	0.1		6.41
MetaPhlAn 3.0.7	47.6	52.3	47.8	35.7	32.3	26.0	24.0	38.0	0.0	100.0	100.0	99.0	99.7	99.2	95.5	68.8	94.6	0.0	63.8	68.2	64.2	52.3	48.5	40.8	35.4	54.2		0.02	0.69	0.83	0.89	0.99	1.02	1.18	0.8		0.01	0.34	0.41	0.45	0.5	0.53	0.68	0.42		0.07	0.26	0.05	0.07	0.04	0.07	0.12	0.1		6.96
mOTUs 2.5.1	50.8	55.5	59.5	53.3	49.3	43.7	34.5	49.5	0.0	100.0	100.0	100.0	100.0	98.9	86.9	34.1	88.6	0.0	66.7	71.2	74.4	69.4	65.7	58.0	34.2	63.5		0.02	0.19	0.32	0.33	0.34	0.36	1.23	0.4		0.01	0.09	0.16	0.17	0.17	0.19	0.71	0.21		0.07	0.14	0.07	0.05	0.02	0.05	0.18	0.08		4.14
mOTUs cami1	49.2	54.2	50.1	51.6	44.7	34.0	18.6	43.2	0.0	100.0	98.0	92.6	69.5	55.8	36.1	11.4	66.2	0.0	65.2	69.5	64.9	59.1	49.5	34.9	14.1	52.3		0.02	0.29	0.37	0.4	0.47	0.52	1.48	0.51	1.74	0.01	0.14	0.18	0.2	0.23	0.27	0.85	0.27	1.0	0.07	0.09	0.06	0.03	0.07	0.04	0.23	0.08	0.05	5.62
sourmash gather 3.3.2 k21 (nano)	57.1	61.4	66.7	64.3	58.8	56.5	37.2	57.5	0.0	71.4	37.9	35.9	30.8	21.7	10.9	2.4	30.1	0.0	62.9	46.5	46.2	41.5	31.6	18.3	4.5	39.5		0.9	0.9	0.9	0.92	0.93	0.89	0.75	0.88	1.03	0.81	0.82	0.82	0.83	0.85	0.86	0.91	0.84	1.0	0.27	0.2	0.41	0.35	0.4	0.36	0.31	0.33	0.54	5.5
sourmash gather 3.3.2 k21 (pb)	57.1	61.4	60.2	60.4	54.3	52.8	35.5	54.5	0.0	71.4	37.8	31.7	29.0	20.7	8.9	1.5	28.7	0.0	62.9	46.4	41.2	39.0	29.9	15.3	2.8	37.6		0.93	0.93	0.93	0.97	0.98	0.92	0.79	0.92	1.02	0.86	0.87	0.87	0.91	0.92	0.92	0.98	0.9	1.0	0.21	0.22	0.43	0.37	0.41	0.37	0.32	0.33	0.55	7.89
sourmash gather 3.3.2 k21 (sr)	57.1	63.3	68.6	65.8	62.5	61.9	53.8	61.9	0.0	71.4	41.5	38.8	32.7	23.4	11.3	2.8	31.7	0.0	62.9	49.6	49.3	43.6	33.9	19.1	5.4	41.9		0.49	0.49	0.5	0.55	0.56	0.53	0.59	0.53	1.24	0.33	0.33	0.33	0.36	0.38	0.37	0.48	0.37	1.0	0.43	0.05	0.21	0.16	0.21	0.2	0.11	0.2	0.44	3.83
sourmash gather 3.3.2 k31 (nano)	42.9	39.7	37.7	31.3	29.9	25.8	18.6	32.3	0.0	100.0	100.0	100.0	100.0	100.0	94.6	30.0	89.2	0.0	59.5	55.4	53.8	47.1	45.6	40.3	22.8	47.4		0.98	0.98	0.98	0.98	0.98	0.91	0.72	0.93	1.01	0.96	0.96	0.96	0.96	0.97	0.96	0.97	0.96	1.0	0.07	0.24	0.46	0.42	0.46	0.42	0.38	0.35	0.55	4.36
sourmash gather 3.3.2 k31 (pb)	42.9	28.8	29.0	14.5	13.0	9.3	7.9	20.8	0.0	100.0	100.0	100.0	100.0	100.0	98.5	64.4	94.7	0.0	59.5	44.3	44.5	25.1	22.7	16.9	14.0	34.0		1.0	1.0	1.0	1.0	1.0	0.93	0.73	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07	0.3	0.51	0.45	0.49	0.45	0.41	0.38	0.57	4.79
