	Genome	sum	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
1	1_S1_contigs.fasta	2.7663778417	0	0	0	0.941256223	0	0.5472836098	0.3373367663	0.4204172948	0.5200839478	0
2	10_S10_contigs.fasta	0.9260691701	0.4060791564	0	0	0	0	0	0	0	0.5199900137	0
3	10_S9_contigs.fasta	7.7272038965	0	0	0.5928219474	0.9470675774	0.7119955128	1.085156554	2.354239666	1.2558070517	0.7801155872	0
4	11_S11_contigs.fasta	298.7586486065	38.4480903319	16.9436575661	41.9536283353	35.123674402	47.1605431943	19.34419135	12.0957285562	27.6325183155	31.336004645	28.7206119102
5	12_S1_contigs.fasta	14.3588095844	0.4063933885	1.9330877928	0.5928456067	0.3802053873	0.7108948409	1.8982469964	1.3345011552	2.9127151352	2.5824437712	1.6074755102
6	12_S12_contigs.fasta	8.4756499357	5.5651147071	0.4859025477	0.5923958194	0	0	0	0	0	0.2599976483	1.5722392132
7	13_S13_contigs.fasta	3.4265528328	0.8122628206	0.486097473	0.5933468566	0.1906374742	0	0.2736361108	0	0	0.25950994	0.8110621576
8	14_S2_contigs.fasta	5.2116846728	0.4062167579	0	1.7765135561	1.5230443216	0	0	0	0.8407993688	0.2600297935	0.4050808749
9	15_S3_contigs.fasta	0.6660044441	0	0	0	0	0	0	0	0	0.260060266	0.4059441781
10	18_S4_contigs.fasta	1.9842396625	0	0	0.5933473196	0.1903955089	0	0	0	0.4203966694	0.7801001646	0
11	19_S5_contigs.fasta	11.5739422112	1.216868657	1.4547778107	1.1827202084	0.9511012342	1.7769735597	1.0908902877	1.3452705475	1.2593385078	1.2960013982	0
12	2_S2_contigs.fasta	3.0429268427	0	0	0.5933642838	0.1890185835	1.0604728136	0	0	0.4204239005	0.7796472613	0
13	2_S8_contigs.fasta	3.4416140822	0.3344710062	0.1717107925	0.2095802771	0.2913777594	0.3767008158	0.1281651335	0.3176581778	0.3448587493	0.5503441048	0.7167472658
14	20_S10_contigs.fasta	2.3208365059	0	1.4543348568	0.5933469383	0	0	0.2731547108	0	0	0	0
15	26_S2_contigs.fasta	8.7511112094	0	0	0.5926580908	0.5710021504	1.4090354702	0.8201520874	0.9989534693	3.3336548627	1.0256550786	0
16	3_S3_contigs.fasta	2.7554665848	0	0	0	0.1904252861	0	0.8204129753	0.6731243772	0	0.2596386377	0.8118653085
17	33_S3_contigs.fasta	0.2992053096	0	0	0	0	0	0	0.0462806928	0	0.1424828615	0.1104417553
18	35_S4_contigs.fasta	1.2841827701	0	0	0.5921793413	0	0.3551778011	0	0.3368256277	0	0	0
19	38_S5_contigs.fasta	2.1653498085	0	0	0	0	0	0.8202971301	1.3450526784	0	0	0
20	4_S4_contigs.fasta	4.4184827561	0	0	0	0.5718047929	0.7116680883	0.2736304234	0.9878205927	0.4200674718	0.2593084669	1.1941829201
21	5_S5_contigs.fasta	0.9502852238	0	0.4860955922	0	0.1905535715	0	0.2736360601	0	0	0	0
22	6_S6_contigs.fasta	6.091919831	0.4056512143	0.956314244	0	1.1257553755	1.4020578126	0.2737318818	0.3374242303	0	0.7801298033	0.8108552692
23	8_S8_contigs.fasta	29.0310817911	11.3273080598	5.3171574964	1.7722332215	2.0886138449	1.7727342868	0.2727030257	0.3371566539	4.1870102142	1.5503945335	0.4057704544
24	9_S9_contigs.fasta	35.4431407976	0.8128391654	4.3593758572	0	2.4694623466	3.1921551788	12.8105357536	6.0472777112	2.5156251848	0	3.2358696
25	A-2013-70-F524-1_S1_contigs.fasta	1.2441249815	0	0	0	0.1906428645	0	0.2736083249	0	0	0.7798737921	0
26	A-2013-70-F524-2_S2_contigs.fasta	5.3619965678	0	0	3.5299309101	0.3811603026	0.3561739355	0	0.6746668102	0.4200646094	0	0
27	A-2014-70-F537_S3_contigs.fasta	1.7032842951	0	1.4433927219	0	0	0	0	0	0	0.2598915732	0
28	A-H-1309-4-4_S6_contigs.fasta	10.2632402278	0.406365379	0	1.7705128991	1.5137025344	0.712186461	2.7268995582	1.0002098568	0.8404739534	1.2928895859	0
29	A-H-1309-5-2_S7_contigs.fasta	3.9448631419	0	0	1.717395179	0.3799865885	1.0075089806	0	0	0.8399723938	0	0
30	A-H130426-2_S6_contigs.fasta	2.4414603251	0	1.4425343723	0.5930511295	0	0	0	0	0	0	0.4058748233
31	A-H1309-1-3_S8_contigs.fasta	1.3503013077	0	0	0.5931663381	0	0	0	0.336742519	0.4203924506	0	0
32	A-H1309-4-1_S7_contigs.fasta	4.4134060381	0.4064028034	0.9616835887	0.593127499	0.1903385148	0.356100903	0	0.6744651602	0.4197576261	0	0.8115299429
33	A-H1309-4-3_S10_contigs.fasta	1.4886294807	0.8120848395	0.4858733751	0	0.1906712661	0	0	0	0	0	0
34	A-H1309-5II_S9_contigs.fasta	5.5253406817	0	1.9304089927	0	0.3809323848	0	0.273694728	0	0.8408277719	1.2872488837	0.8122279206
35	A-Hdes-10_S9_contigs.fasta	0.7875717461	0.4063873794	0	0	0.3811843667	0	0	0	0	0	0
36	A-Hdes-11_S10_contigs.fasta	5.454495862	0	0.9629401499	0	1.8981395658	1.7724815561	0.8209345902	0	0	0	0
37	A-Hdes-12_S11_contigs.fasta	4.3516368293	0.8126785286	0.9444328084	0	0.1906702954	0.3560079801	0.5472630147	0.6742790168	0.4202085598	0	0.4060966255
38	A-Hdes-19_S12_contigs.fasta	5.3067671897	0	0	0.5925838971	0.5700442744	1.4033814566	0	0.9884870707	0.4204330707	0.519932252	0.8119051682
39	A-Hdes-20-1_S13_contigs.fasta	9.4021548931	2.4083052379	0.9458899155	0.5924832789	0.1899965141	1.0370388474	0.2730846954	0.3363639131	0.8402458251	0.7798889216	1.9988577441
40	A-Hdes-3_S8_contigs.fasta	3.4117667612	0.406045582	0.4861027498	1.7569623425	0.7626560869	0	0	0	0	0	0
41	A1_S1_contigs.fasta	1.1639460786	0	0	0	0	0	0	0.3373776199	0.4203975752	0	0.4061708835
42	A15_S15_contigs.fasta	1.3084655633	0	0	0	0	0.355589419	0.2734225056	0	0.419735189	0.2597184497	0
43	A16_S16_contigs.fasta	0.7623342661	0	0	0	0.7623342661	0	0	0	0	0	0
44	A2_S2_contigs.fasta	1.3581422044	0	0	0	0	0	0	0.3372266399	0	0	1.0209155645
