AE017199.1	GCA_000008085.1
AP009179.1	GCA_000010345.1
AP012057.1	GCA_000348785.1
AP012489.1	GCA_000591035.1
AP014648.1	GCA_000828475.1
BA000011.4	GCA_000011185.1
CP000083.1	GCA_000012325.1
CP000097.1	GCA_000012505.1
CP000142.2	GCA_000012885.1
CP000155.1	GCA_000012985.1
CP000157.1	GCA_000013005.1
CP000158.1	GCA_000013025.1
CP000471.1	GCA_000014865.1
CP000472.1	GCA_000014885.1
CP000493.1	GCA_000015145.1
CP000552.1	GCA_000015665.1
CP000576.1	GCA_000015965.1
CP000667.1	GCA_000016425.1
CP000931.1	GCA_000019185.1
CP001100.1	GCA_000020525.1
CP001397.1	GCA_000332115.1
CP001842.1	GCA_000025125.1
CP002209.1	GCA_000148645.1
CP002528.1	GCA_000212355.1
CP002583.1	GCA_000192865.1
CP002630.1	GCA_000195335.1
CP002670.1	GCA_000211475.1
CP002738.1	GCA_000214665.1
CP002771.1	GCA_000214215.1
CP002825.1	GCA_000211855.2
CP002920.1	GCA_000221185.1
CP003060.1	GCA_000226565.1
CP003154.1	GCA_000227745.2
CP003156.1	GCA_000236705.1
CP003221.1	GCA_000212675.2
CP003539.1	GCA_000319385.1
CP003843.1	GCA_000299395.1
CP003845.1	GCA_000299995.1
CP004372.1	GCA_000590925.1
CP005963.1	GCA_000319575.2
CP005990.1	GCA_000485905.1
CP006019.1	GCA_000725425.1
CP006643.1	GCA_000473245.1
CP006745.1	GCA_000510265.1
CP007151.1	GCA_000830985.1
CP007152.1	GCA_000831005.1
CP007451.1	GCA_000626635.1
CP011373.1	GCA_001430865.1
CT971583.1	GCA_000063505.1
FO203503.1	GCA_000307105.1
LT629776.1	GCA_900105445.1
NZ_BDEL01000001.1	GCA_001685485.1
NZ_CP010797.1	GCA_000954115.1
NZ_CP010975.1	GCA_000981765.1
NZ_CP012898.1	GCA_001310225.1
NZ_CP013145.1	GCA_001444365.1
NZ_CP014224.1	GCA_001697185.1
NZ_CP015381.1	GCA_001854245.1
NZ_CP015518.1	GCA_001887715.1
NZ_CP016268.1	GCA_001677435.1
NZ_CP016795.1	GCA_001767375.1
NZ_CP017057.1	GCA_001719165.1
NZ_CP018031.1	GCA_001886475.1
NZ_CP018139.1	GCA_001886615.1
