AP009179.1 Otu9 GCA_000010345.1
AP012057.1 Otu24.0 GCA_000348785.1
AP012489.1 Otu470 GCA_000591035.1
BA000011.4 Otu854 GCA_000011185.1
CP000083.1 Otu185.0 GCA_000012325.1
CP000097.1 Otu252 GCA_000012505.1
CP000142.2 Otu3.0 GCA_000012885.1
CP000155.1 Otu365.0 GCA_000012985.1
CP000157.1 Otu523 GCA_000013005.1
CP000158.1 Otu90.0 GCA_000013025.1
CP000471.1 Otu69.0 GCA_000014865.1
CP000472.1 Otu301 GCA_000014885.1
CP000493.1 Otu11 GCA_000015145.1
CP000552.1 Otu583 GCA_000015665.1
CP000576.1 Otu492 GCA_000015965.1
CP000667.1 Otu222.1 GCA_000016425.1
CP000931.1 Otu179 GCA_000019185.1
CP001100.1 Otu256 GCA_000020525.1
CP001397.1 Otu105.0 GCA_000332115.1
CP001842.1 Otu465 GCA_000025125.1
CP002209.1 Otu75.0 GCA_000148645.1
CP002528.1 Otu133.0 GCA_000212355.1
CP002583.1 Otu80.0 GCA_000192865.1
CP002630.1 Otu274.0 GCA_000195335.1
CP002670.1 Otu89 GCA_000211475.1
CP002738.1 Otu35.0 GCA_000214665.1
CP002771.1 Otu26.0 GCA_000214215.1
CP002825.1 Otu99.0 GCA_000211855.2
CP002920.1 Otu327 GCA_000221185.1
CP003060.1 Otu229.0 GCA_000226565.1
CP003154.1 Otu219.0 GCA_000227745.2
CP003156.1 Otu199.0 GCA_000236705.1
CP003221.1 Otu283.0 GCA_000212675.2
CP003539.1 Otu40.0 GCA_000319385.1
CP003843.1 Otu833 GCA_000299395.1
CP003845.1 Otu119.1 GCA_000299995.1
CP004372.1 Otu122.0 GCA_000590925.1
CP005963.1 Otu48.0 GCA_000319575.2
CP005990.1 Otu4.0 GCA_000485905.1
CP006019.1 Otu160 GCA_000725425.1
CP006643.1 Otu1000 GCA_000473245.1
CP006745.1 Otu47.0 GCA_000510265.1
CP007151.1 Otu331.0 GCA_000830985.1
CP007152.1 Otu235.0 GCA_000831005.1
CP007451.1 Otu214.0 GCA_000626635.1
CP011373.1 Otu110.0 GCA_001430865.1
CT971583.1 Otu503 GCA_000063505.1
FO203503.1 Otu60.0 GCA_000307105.1
LT629776.1 Otu450.0 GCA_900105445.1
