AP009179.1	Otu9
AP012057.1	Otu24.0
AP012489.1	Otu470
BA000011.4	Otu854
CP000083.1	Otu185.0
CP000097.1	Otu252
CP000142.2	Otu3.0
CP000155.1	Otu365.0
CP000157.1	Otu523
CP000158.1	Otu90.0
CP000471.1	Otu69.0
CP000472.1	Otu301
CP000493.1	Otu11
CP000552.1	Otu583
CP000576.1	Otu492
CP000667.1	Otu222.1
CP000931.1	Otu179
CP001100.1	Otu256
CP001101.1	Otu870
CP001397.1	Otu105.0
CP001842.1	Otu465
CP002209.1	Otu75.0
CP002528.1	Otu133.0
CP002583.1	Otu80.0
CP002630.1	Otu274.0
CP002670.1	Otu89
CP002738.1	Otu35.0
CP002771.1	Otu26.0
CP002825.1	Otu99.0
CP002920.1	Otu327
CP003060.1	Otu229.0
CP003154.1	Otu219.0
CP003156.1	Otu199.0
CP003221.1	Otu283.0
CP003539.1	Otu40.0
CP003843.1	Otu833
CP003845.1	Otu119.1
CP004372.1	Otu122.0
CP005963.1	Otu48.0
CP005990.1	Otu4.0
CP006019.1	Otu160
CP006643.1	Otu1000
CP006745.1	Otu47.0
CP007151.1	Otu331.0
CP007152.1	Otu235.0
CP007451.1	Otu214.0
CP011373.1	Otu110.0
CT971583.1	Otu503
FO203503.1	Otu60.0
LT629776.1	Otu450.0
