3934_BI_pooled.tsv
assembler	Strain recall	# mismatches per 100 kbp	Duplication ratio	# misassemblies	Genome fraction (%)	Strain precision	NGA50
pooled_short_gsa	1.0	0.0	1.0	0.0	0.9993899999999999	1.0	124605.0
pooled_nanopore_gsa	1.0	0.0	1.0	0.0	0.9909	1.0	291838.0
pooled_pacbio_gsa	1.0	0.0	1.0	0.0	0.99688	1.0	672736.0
pooled_hybrid_pb_gsa	1.0	0.0	1.0	0.0	0.9997499999999999	1.0	673467.0
pooled_hybrid_nano_gsa	0.0	0	0	0	0.0	0.0	0.0
MetaHipMer_short	0.0	73.97	1.002	1.0	0.88286	0.0	2341.0
metaFlye_long	0.0	617.59	1.004	0.0	0.78181	0.0	102864.0
metaFlye_hybrid	0.0	623.56	1.002	1.0	0.85584	0.0	112897.0
metaFlye_strain_long	0.0	617.71	1.004	0.0	0.78181	0.0	102864.0
metaFlye_strain_hybrid	0.0	623.56	1.002	1.0	0.85584	0.0	112897.0
MetaHipMer2_short	1.0	41.35	1.001	1.0	0.9104099999999999	1.0	2800.0
metaSPAdes_short	0.0	507.79	1.041	6.0	0.9503100000000001	0.0	2188.0
Megahit_short	0.0	376.28	1.021	7.0	0.98639	0.0	5971.0
OPERA-MS_hybrid	0.0	685.9	1.025	3.0	0.30343	0.0	0.0
metaFlye-inhouse_hybrid	0.0	640.26	1.006	0.0	0.75285	0.0	99041.0
LjRoot109_pooled.tsv
assembler	Strain recall	# mismatches per 100 kbp	Duplication ratio	# misassemblies	Genome fraction (%)	Strain precision	NGA50
pooled_short_gsa	1.0	0.0	1.002	0.0	0.99926	1.0	412099.0
pooled_nanopore_gsa	1.0	0.0	1.018	0.0	0.9997400000000001	1.0	412085.0
pooled_pacbio_gsa	1.0	0.0	1.047	0.0	0.99771	1.0	412051.0
pooled_hybrid_pb_gsa	1.0	0.0	1.041	0.0	0.99845	1.0	412099.0
pooled_hybrid_nano_gsa	1.0	0.0	1.0	0.0	0.99846	1.0	412099.0
MetaHipMer_short	0.0	29.59	1.011	1.0	0.65452	0.0	3199.0
metaFlye_long	0.0	71.15	1.142	40.0	0.8547100000000001	0.0	76575.0
metaFlye_hybrid	0.0	88.34	1.133	35.0	0.8591599999999999	0.0	77778.0
metaFlye_strain_long	0.0	66.82	1.082	7.0	0.80369	0.0	32076.0
metaFlye_strain_hybrid	0.0	73.3	1.073	7.0	0.80573	0.0	32076.0
MetaHipMer2_short	0.0	34.69	1.012	1.0	0.59175	0.0	1723.0
metaSPAdes_short	0.0	371.39	1.025	0.0	0.60475	0.0	1500.0
Megahit_short	0.0	313.07	1.016	2.0	0.6367499999999999	0.0	2908.0
OPERA-MS_hybrid	0.0	430.53	1.116	29.0	0.88997	0.0	78769.0
metaFlye-inhouse_hybrid	0.0	100.82	1.115	16.0	0.83918	0.0	77037.0
LjRoot170_pooled.tsv
assembler	Strain recall	# mismatches per 100 kbp	Duplication ratio	# misassemblies	Genome fraction (%)	Strain precision	NGA50
pooled_short_gsa	1.0	0.0	1.098	0.0	0.99824	1.0	345796.0
pooled_nanopore_gsa	1.0	0.0	1.038	0.0	0.99488	1.0	345784.0
pooled_pacbio_gsa	1.0	0.0	1.027	0.0	0.99476	1.0	345676.0
pooled_hybrid_pb_gsa	1.0	0.0	1.028	0.0	0.99971	1.0	345796.0
pooled_hybrid_nano_gsa	0.0	0	0	0	0.0	0.0	0.0
MetaHipMer_short	0.0	37.32	1.013	2.0	0.61404	0.0	1919.0
metaFlye_long	0.0	327.47	1.015	7.0	0.49274	0.0	524.0
metaFlye_hybrid	0.0	322.16	1.017	7.0	0.48667	0.0	0.0
metaFlye_strain_long	0.0	284.15	1.006	0.0	0.42497	0.0	0.0
metaFlye_strain_hybrid	0.0	266.48	1.005	0.0	0.42258	0.0	0.0
MetaHipMer2_short	0.0	35.16	1.016	4.0	0.60049	0.0	1847.0
metaSPAdes_short	0.0	243.83	1.022	3.0	0.64063	0.0	2855.0
Megahit_short	0.0	279.16	1.013	8.0	0.66598	0.0	5315.0
OPERA-MS_hybrid	0.0	347.81	1.046	30.0	0.80786	0.0	250676.0
metaFlye-inhouse_hybrid	0.0	342.52	1.03	8.0	0.5483899999999999	0.0	51705.0
LjRoot28_pooled.tsv
assembler	Strain recall	# mismatches per 100 kbp	Duplication ratio	# misassemblies	Genome fraction (%)	Strain precision	NGA50
pooled_short_gsa	1.0	0.0	1.001	0.0	0.99661	1.0	201458.0
pooled_nanopore_gsa	1.0	0.0	1.0	0.0	0.98234	1.0	429944.0
pooled_pacbio_gsa	1.0	0.0	1.001	0.0	0.9913	1.0	438857.0
pooled_hybrid_pb_gsa	1.0	0.0	1.002	0.0	0.9978	1.0	441019.0
pooled_hybrid_nano_gsa	1.0	0.0	1.0	0.0	0.99551	1.0	201458.0
MetaHipMer_short	1.0	52.4	1.002	4.0	0.9283100000000001	1.0	3325.0
metaFlye_long	0.0	338.05	1.004	0.0	0.8822	0.0	130628.0
metaFlye_hybrid	0.0	153.54	1.001	0.0	0.89991	0.0	130222.0
metaFlye_strain_long	0.0	354.45	1.004	0.0	0.88251	0.0	130630.0
metaFlye_strain_hybrid	0.0	163.3	1.001	0.0	0.8962600000000001	0.0	130222.0
MetaHipMer2_short	1.0	34.26	1.001	4.0	0.94341	1.0	4253.0
metaSPAdes_short	0.0	1194.43	1.004	0.0	0.062279999999999995	0.0	0.0
Megahit_short	0.0	1208.86	1.005	2.0	0.17922000000000002	0.0	0.0
OPERA-MS_hybrid	0.0	949.81	1.014	1.0	0.11878	0.0	0.0
metaFlye-inhouse_hybrid	0.0	337.94	1.003	0.0	0.88101	0.0	130632.0
LjRoot84_pooled.tsv
assembler	Strain recall	# mismatches per 100 kbp	Duplication ratio	# misassemblies	Genome fraction (%)	Strain precision	NGA50
pooled_short_gsa	1.0	0.0	1.004	0.0	0.99992	1.0	162883.0
pooled_nanopore_gsa	1.0	0.0	1.0	0.0	0.99779	1.0	162747.0
pooled_pacbio_gsa	1.0	0.0	1.001	0.0	0.9989100000000001	1.0	162843.0
pooled_hybrid_pb_gsa	1.0	0.0	1.001	0.0	0.99993	1.0	162883.0
