	CAMI 1 average completeness (bp)rank	Average purity (bp)rank	Adjusted Rand index (bp)rank	Percentage of binned bprank	sum
0	CONCOCT 0.4.1 (G2) (0)	VAMB 3.0.1 (J1) (0)	MetaBAT 2.15-5 (A2) (0)	MetaBinner 1.0 (B1) (0)	CONCOCT 0.4.1 (G2) (8)
1	CONCOCT 1.1.0 (G1) (1)	MetaBAT 2.15-5 (A2) (1)	MetaBAT 2.15-5 (A3) (1)	CONCOCT 1.1.0 (G1) (1)	CONCOCT 1.1.0 (G1) (13)
2	MetaBinner 1.0 (B1) (2)	MetaBAT 2.15-5 (A3) (2)	CONCOCT 0.4.1 (G2) (2)	CONCOCT 0.4.1 (G2) (1)	MetaBAT 2.15-5 (A3) (16)
3	MaxBin 2.2.7 (F1) (3)	MetaBAT 2.15-5 (A1) (3)	MetaBAT 2.15-5 (A4) (3)	MaxBin 2.2.7 (F1) (3)	MetaBinner 1.0 (B1) (16)
4	MetaBAT 2.15-5 (A1) (4)	MaxBin 2.2.7 (F1) (4)	VAMB 3.0.1 (J1) (4)	MetaBinner 1.2 (B2) (4)	MetaBAT 2.15-5 (A2) (17)
5	MetaBAT 2.15-5 (A3) (5)	CONCOCT 0.4.1 (G2) (5)	CONCOCT 1.1.0 (G1) (5)	VAMB 3.0.1 (J1) (5)	MaxBin 2.2.7 (F1) (18)
6	MetaBAT 2.15-5 (A4) (6)	CONCOCT 1.1.0 (G1) (6)	MetaBinner 1.2 (B2) (6)	MetaBAT 2.15-5 (A1) (6)	VAMB 3.0.1 (J1) (18)
7	MetaBAT 2.15-5 (A2) (7)	MetaBinner 1.0 (B1) (7)	MetaBinner 1.0 (B1) (7)	MetaBAT 2.15-5 (A4) (7)	MetaBAT 2.15-5 (A1) (22)
8	MetaBinner 1.2 (B2) (8)	MetaBAT 2.15-5 (A4) (8)	MaxBin 2.2.7 (F1) (8)	MetaBAT 2.15-5 (A3) (8)	MetaBAT 2.15-5 (A4) (24)
9	VAMB 3.0.1 (J1) (9)	MetaBinner 1.2 (B2) (9)	MetaBAT 2.15-5 (A1) (9)	MetaBAT 2.15-5 (A2) (9)	MetaBinner 1.2 (B2) (27)
