GCA_000015145.1_crisprs_GCA_000015145.1_CRISPR_1	NODE_1_length_1667163_cov_373.653629	NODE_5_length_1034640_cov_498.068892	NODE_3_length_1034640_cov_498.069107
GCA_000015145.1_crisprs_GCA_000015145.1_CRISPR_2	NODE_1_length_1667163_cov_373.653629	NODE_5_length_1034640_cov_498.068892	NODE_3_length_1034640_cov_498.069107
GCA_000725425.1_crisprs_GCA_000725425.1_CRISPR_1	NODE_7_length_762974_cov_99.068779	NODE_14_length_762996_cov_74.408864	NODE_9_length_762974_cov_99.039998
GCA_000725425.1_crisprs_GCA_000725425.1_CRISPR_2	NODE_23_length_504155_cov_74.417342	NODE_36_length_504133_cov_99.090222	NODE_40_length_504133_cov_99.160922
GCA_000725425.1_crisprs_GCA_000725425.1_CRISPR_3	NODE_148_length_252525_cov_99.138175	NODE_108_length_252569_cov_74.407977	NODE_157_length_252525_cov_99.124645
GCA_000626635.1_crisprs_GCA_000626635.1_CRISPR_1	NODE_1074_length_82233_cov_11.918750	NODE_1075_length_82233_cov_11.940020	NODE_1048_length_71378_cov_8.907196
GCA_000016425.1_crisprs_GCA_000016425.1_CRISPR_2	NODE_4886_length_22718_cov_9.904646	NODE_4945_length_22718_cov_9.904602	NODE_12347_length_8510_cov_6.295506
GCA_000016425.1_crisprs_GCA_000016425.1_CRISPR_1	NODE_7218_length_13991_cov_6.609458	NODE_5080_length_21857_cov_9.456426	NODE_5145_length_21857_cov_9.445097
GCA_000020525.1_crisprs_GCA_000020525.1_CRISPR_1	NODE_43_length_430579_cov_19.337080	NODE_298_length_162196_cov_14.083975	NODE_48_length_430579_cov_19.333891
GCA_000020525.1_crisprs_GCA_000020525.1_CRISPR_2	NODE_435_length_149729_cov_19.394264	NODE_156_length_213905_cov_13.962601	NODE_431_length_149729_cov_19.397130
GCA_000195335.1_crisprs_GCA_000195335.1_CRISPR_3	NODE_10034_length_10356_cov_11.051756	NODE_772_length_104406_cov_13.551207	NODE_760_length_104406_cov_13.559065
GCA_000195335.1_crisprs_GCA_000195335.1_CRISPR_4	NODE_3444_length_27396_cov_9.241517	NODE_1356_length_69690_cov_13.029267	NODE_1353_length_69690_cov_13.042938
GCA_000195335.1_crisprs_GCA_000195335.1_CRISPR_2	NODE_4499_length_21609_cov_10.202722	NODE_1763_length_57105_cov_13.949097	NODE_1762_length_57105_cov_13.973427
GCA_000195335.1_crisprs_GCA_000195335.1_CRISPR_1	NODE_2188_length_47723_cov_12.440065	NODE_2176_length_47723_cov_12.423303	NODE_4774_length_20487_cov_8.498285
GCA_000014885.1_crisprs_GCA_000014885.1_CRISPR_1	NODE_10161_length_10914_cov_7.742886	NODE_10109_length_10914_cov_7.736164	NODE_42135_length_2996_cov_5.990750
GCA_000012885.1_crisprs_GCA_000012885.1_CRISPR_1	NODE_3748_length_25527_cov_11.025540	NODE_923_length_91446_cov_15.297611	NODE_924_length_91446_cov_15.287085
