tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	family	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	genus	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	species	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	strain	Bray-Curtis distance	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	Shannon diversity	marmgCAMI2_short_read_sample_0	0.4135998548754722
Gold standard	superkingdom	Shannon equitability	marmgCAMI2_short_read_sample_0	0.5966984595412387
Gold standard	phylum	Shannon diversity	marmgCAMI2_short_read_sample_0	1.2817066021412153
Gold standard	phylum	Shannon equitability	marmgCAMI2_short_read_sample_0	0.45238619422363696
Gold standard	class	Shannon diversity	marmgCAMI2_short_read_sample_0	1.756331224636351
Gold standard	class	Shannon equitability	marmgCAMI2_short_read_sample_0	0.545634973262215
Gold standard	order	Shannon diversity	marmgCAMI2_short_read_sample_0	2.841889615979529
Gold standard	order	Shannon equitability	marmgCAMI2_short_read_sample_0	0.6758852247304503
Gold standard	family	Shannon diversity	marmgCAMI2_short_read_sample_0	3.231671913247059
Gold standard	family	Shannon equitability	marmgCAMI2_short_read_sample_0	0.6888578707813704
Gold standard	genus	Shannon diversity	marmgCAMI2_short_read_sample_0	3.7119191795230777
Gold standard	genus	Shannon equitability	marmgCAMI2_short_read_sample_0	0.7140369913069338
Gold standard	species	Shannon diversity	marmgCAMI2_short_read_sample_0	3.8132784538877855
Gold standard	species	Shannon equitability	marmgCAMI2_short_read_sample_0	0.6876747393690803
Gold standard	strain	Shannon diversity	marmgCAMI2_short_read_sample_0	4.588593292644185
Gold standard	strain	Shannon equitability	marmgCAMI2_short_read_sample_0	0.7694361101365044
Gold standard	superkingdom	True positives	marmgCAMI2_short_read_sample_0	2.0
Gold standard	superkingdom	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	superkingdom	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	superkingdom	Taxon counts	marmgCAMI2_short_read_sample_0	2.0
Gold standard	phylum	True positives	marmgCAMI2_short_read_sample_0	17.0
Gold standard	phylum	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	phylum	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	phylum	Taxon counts	marmgCAMI2_short_read_sample_0	17.0
Gold standard	class	True positives	marmgCAMI2_short_read_sample_0	25.0
Gold standard	class	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	class	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	class	Taxon counts	marmgCAMI2_short_read_sample_0	25.0
Gold standard	order	True positives	marmgCAMI2_short_read_sample_0	67.0
Gold standard	order	False negatives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	False positives	marmgCAMI2_short_read_sample_0	0.0
Gold standard	order	Completeness	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	Purity	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	F1 score	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	Jaccard index	marmgCAMI2_short_read_sample_0	1.0
Gold standard	order	Taxon counts	marmgCAMI2_short_read_sample_0	67.0
Gold standard	family	True positives	marmgCAMI2_short_read_sample_0	109.0
