	Completeness	Purity	F1 score	L1 norm error	Bray-Curtis distance	Shannon equitability	Weighted UniFrac error	sum
0	mOTUs 2.5.1_2 (4)	DUDes 0.08 (8)	mOTUs 2.5.1_2 (0)	mOTUs 2.5.1_2 (0)	mOTUs 2.5.1_2 (0)	mOTUs 2.5.1_2 (13)	mOTUs 2.5.1_2 (0)	mOTUs 2.5.1_2 (34)
1	Bracken 2.2 (6)	MetaPalette 1.0.0 (9)	MetaPhlAn 2.9.22 (11)	MetaPhlAn 2.9.22 (9)	MetaPhlAn 2.9.22 (10)	DUDes 0.08 (22)	MetaPhlAn 2.9.22 (1)	MetaPhlAn 2.9.22 (103)
2	Centrifuge 1.0.4 beta (10)	MetaPhlAn cami1 (14)	MetaPhlAn cami1 (20)	DUDes 0.08 (23)	DUDes 0.08 (22)	MetaPhlAn 2.9.22 (27)	DUDes 0.08 (2)	MetaPhlAn cami1 (208)
3	MetaPhlAn 2.9.22 (19)	mOTUs 2.5.1_2 (17)	mOTUs cami1 (29)	Centrifuge 1.0.4 beta (25)	Centrifuge 1.0.4 beta (25)	DUDes cami1 (28)	Bracken 2.2 (3)	DUDes 0.08 (215)
4	Metalign 0.6.2 avg (31)	MetaPhlAn 2.9.22 (26)	DUDes cami1 (34)	mOTUs 2.0.1_1 (33)	Metalign 0.6.2 avg (32)	MetaPhlAn cami1 (43)	Centrifuge 1.0.4 beta (4)	mOTUs 2.0.1_1 (226)
5	MetaPhlAn cami1 (37)	mOTUs 2.0.1_1 (27)	mOTUs 2.0.1_1 (35)	Metalign 0.6.2 avg (34)	mOTUs 2.0.1_1 (33)	mOTUs 2.0.1_1 (43)	mOTUs 2.0.1_1 (5)	Centrifuge 1.0.4 beta (246)
6	DUDes cami1 (44)	mOTUs cami1 (38)	Centrifuge 1.0.4 beta (35)	Bracken 2.2 (38)	Bracken 2.2 (34)	FOCUS cami1 (46)	MetaPhlAn cami1 (6)	DUDes cami1 (252)
7	TIPP cami1 (47)	LSHVec gsa (43)	Metalign 0.6.2 avg (43)	DUDes cami1 (43)	MetaPhlAn cami1 (43)	CCMetagen 1.1.3 (50)	Metalign 0.6.2 avg (7)	Metalign 0.6.2 avg (261)
8	mOTUs cami1 (48)	DUDes cami1 (52)	DUDes 0.08 (55)	MetaPhlAn cami1 (45)	DUDes cami1 (43)	Metalign 0.6.2 avg (50)	DUDes cami1 (8)	Bracken 2.2 (331)
9	mOTUs 2.0.1_1 (50)	Metalign 0.6.2 avg (64)	LSHVec gsa (67)	TIPP cami1 (57)	TIPP cami1 (52)	TIPP cami1 (62)	TIPP cami1 (9)	mOTUs cami1 (355)
10	NBC++ (59)	MetaPhyler 1.25 (70)	MetaPhyler 1.25 (67)	FOCUS cami1 (81)	FOCUS cami1 (78)	mOTUs cami1 (62)	NBC++ (10)	TIPP cami1 (409)
11	TIPP 4.3.10 (61)	CCMetagen 1.1.3 (70)	Bracken 2.2 (71)	MetaPhyler 1.25 (82)	mOTUs cami1 (80)	TIPP 4.3.10 (68)	MetaPhyler 1.25 (11)	FOCUS cami1 (466)
12	FOCUS cami1 (80)	Centrifuge 1.0.4 beta (73)	FOCUS cami1 (80)	mOTUs cami1 (84)	NBC++ (86)	MetaPalette 1.0.0 (68)	CCMetagen 1.1.3 (12)	CCMetagen 1.1.3 (498)
13	DUDes 0.08 (83)	FOCUS 1.5 (78)	FOCUS 1.5 (83)	FOCUS 1.5 (93)	FOCUS 1.5 (88)	FOCUS 1.5 (72)	MetaPalette 1.0.0 (13)	LSHVec gsa (512)
14	LSHVec gsa (89)	FOCUS cami1 (84)	CCMetagen 1.1.3 (83)	NBC++ (95)	CCMetagen 1.1.3 (92)	Centrifuge 1.0.4 beta (74)	mOTUs cami1 (14)	TIPP 4.3.10 (522)
15	MetaPhyler 1.25 (90)	TIPP 4.3.10 (96)	TIPP cami1 (84)	TIPP 4.3.10 (97)	TIPP 4.3.10 (94)	Bracken 2.2 (80)	LSHVec gsa (15)	MetaPhyler 1.25 (525)
16	CCMetagen 1.1.3 (94)	TIPP cami1 (98)	TIPP 4.3.10 (90)	CCMetagen 1.1.3 (97)	MetaPhyler 1.25 (99)	LSHVec gsa (82)	TIPP 4.3.10 (16)	FOCUS 1.5 (527)
17	FOCUS 1.5 (95)	Bracken 2.2 (99)	MetaPalette 1.0.0 (110)	MetaPalette 1.0.0 (110)	LSHVec gsa (104)	MetaPhyler 1.25 (106)	FOCUS cami1 (17)	MetaPalette 1.0.0 (554)
18	MetaPalette 1.0.0 (122)	NBC++ (106)	NBC++ (120)	LSHVec gsa (112)	MetaPalette 1.0.0 (122)	NBC++ (112)	FOCUS 1.5 (18)	NBC++ (588)
