	Completenesssuperkingdom	Completenessphylum	Completenessclass	Completenessorder	Completenessfamily	Completenessgenus	Completenessspecies	Completenessavg	Completenessstrain	Puritysuperkingdom	Purityphylum	Purityclass	Purityorder	Purityfamily	Puritygenus	Purityspecies	Purityavg	Puritystrain	F1 scoresuperkingdom	F1 scorephylum	F1 scoreclass	F1 scoreorder	F1 scorefamily	F1 scoregenus	F1 scorespecies	F1 scoreavg	F1 scorestrain	L1 norm errorsuperkingdom	L1 norm errorphylum	L1 norm errorclass	L1 norm errororder	L1 norm errorfamily	L1 norm errorgenus	L1 norm errorspecies	L1 norm erroravg	L1 norm errorstrain	Bray-Curtis distancesuperkingdom	Bray-Curtis distancephylum	Bray-Curtis distanceclass	Bray-Curtis distanceorder	Bray-Curtis distancefamily	Bray-Curtis distancegenus	Bray-Curtis distancespecies	Bray-Curtis distanceavg	Bray-Curtis distancestrain	Shannon equitabilitysuperkingdom	Shannon equitabilityphylum	Shannon equitabilityclass	Shannon equitabilityorder	Shannon equitabilityfamily	Shannon equitabilitygenus	Shannon equitabilityspecies	Shannon equitabilityavg	Shannon equitabilitystrain	Weighted UniFrac error
Bracken 2.2	100.0	86.9	96.5	97.1	97.6	95.6	94.4	95.4	0.0	66.7	75.2	56.5	56.3	48.5	42.4	26.1	53.1	0.0	80.0	80.5	71.2	71.1	64.7	58.5	40.7	68.2		0.11	0.17	0.19	0.31	0.36	0.37	0.51	0.29		0.05	0.09	0.1	0.16	0.19	0.19	0.27	0.15		0.3	0.1	0.08	0.07	0.06	0.08	0.01	0.1		3.21
CCMetagen 1.1.3	100.0	50.4	61.0	52.2	46.0	36.9	28.0	53.5	0.0	66.7	84.6	85.8	89.8	85.7	87.2	42.3	77.4	0.0	80.0	62.8	71.2	65.9	59.8	51.8	33.6	63.3		0.19	0.28	0.39	0.69	0.74	0.82	1.06	0.59		0.09	0.14	0.2	0.36	0.39	0.42	0.58	0.31		0.38	0.07	0.06	0.0	0.01	0.0	0.14	0.09		5.5
Centrifuge 1.0.4 beta	100.0	89.4	93.4	94.1	94.7	92.9	88.7	93.3	0.0	66.7	91.1	82.8	83.0	79.6	80.1	67.7	78.7	0.0	80.0	90.2	87.7	88.1	86.5	86.0	76.7	85.4		0.1	0.1	0.14	0.31	0.34	0.37	0.48	0.26		0.05	0.05	0.07	0.16	0.19	0.19	0.28	0.14		0.23	0.07	0.07	0.07	0.06	0.06	0.02	0.08		3.26
DUDes 0.08	100.0	53.3	70.7	59.9	54.8	43.1	30.8	59.0	0.0	100.0	100.0	95.4	98.3	97.5	97.6	87.1	96.6	0.0	100.0	69.0	81.1	74.4	70.2	59.8	45.5	73.2		0.02	0.15	0.17	0.31	0.36	0.42	0.51	0.28		0.01	0.07	0.09	0.16	0.19	0.21	0.28	0.14		0.03	0.02	0.01	0.0	0.01	0.03	0.12	0.03		3.17
DUDes cami1	100.0	80.8	89.0	75.5	78.4	70.6	56.7	78.7	0.0	100.0	98.9	95.2	85.8	75.5	66.6	45.4	81.1	0.0	100.0	88.9	91.9	80.3	76.9	68.5	50.3	79.9		0.03	0.15	0.21	0.44	0.48	0.55	0.73	0.37	1.75	0.01	0.08	0.11	0.23	0.25	0.28	0.39	0.19	1.0	0.03	0.01	0.02	0.02	0.05	0.05	0.01	0.03	0.22	4.45
FOCUS 1.5	100.0	62.9	54.9	59.7	51.3	35.1	20.5	54.9	0.0	100.0	70.2	64.6	67.2	58.8	44.0	32.5	62.5	0.0	100.0	66.1	59.3	63.2	54.7	39.0	25.1	58.5		0.06	0.27	0.27	0.63	0.76	1.0	1.32	0.62	1.54	0.03	0.13	0.15	0.32	0.41	0.5	0.73	0.32	1.0	0.12	0.09	0.01	0.07	0.05	0.1	0.14	0.08	0.25	6.35
FOCUS cami1	100.0	70.0	66.3	64.3	58.0	41.0	24.4	60.6	0.0	100.0	68.3	66.4	64.2	50.6	36.5	19.3	57.9	0.0	100.0	69.0	66.3	64.2	54.0	38.6	21.5	59.2		0.09	0.2	0.27	0.58	0.71	0.86	1.28	0.57	1.75	0.05	0.1	0.14	0.3	0.38	0.45	0.69	0.3	1.0	0.16	0.02	0.02	0.03	0.03	0.02	0.17	0.06	0.1	6.07
LSHVec gsa	50.0	64.0	64.7	65.4	63.2	55.7	39.2	57.5	0.0	100.0	100.0	73.3	84.1	85.1	91.5	68.4	86.1	0.0	66.7	78.0	68.8	73.6	72.6	69.3	49.8	68.9		0.22	0.28	0.4	0.76	0.85	0.95	1.27	0.68		0.11	0.14	0.2	0.39	0.43	0.48	0.68	0.35		0.51	0.02	0.03	0.05	0.08	0.13	0.27	0.16		5.87
LSHVec illumina	50.0	60.8	64.9	73.1	73.6	51.8	25.8	57.1	0.0	100.0	8.2	5.3	9.0	9.4	6.2	2.4	20.1	0.0	66.7	14.4	9.7	15.8	16.5	11.1	4.4	29.7		0.23	0.5	0.61	0.99	1.16	1.44	1.79	0.96		0.11	0.25	0.31	0.5	0.59	0.73	0.96	0.49		0.51	0.09	0.1	0.07	0.04	0.1	0.28	0.17		7.94
LSHVec pacbio	50.0	34.3	46.6	43.6	34.0	17.0	8.7	33.5	0.0	100.0	80.0	65.8	67.8	51.1	27.9	15.8	58.3	0.0	66.7	47.4	54.2	52.6	40.3	20.7	10.9	42.5		0.23	0.39	0.51	0.84	1.02	1.31	1.52	0.83		0.11	0.2	0.26	0.43	0.52	0.66	0.81	0.43		0.51	0.12	0.15	0.13	0.14	0.16	0.25	0.21		7.0
Metalign 0.6.2	100.0	72.5	81.0	70.8	63.2	55.2	47.6	70.0	0.0	50.0	93.6	92.4	94.6	89.9	93.0	31.1	77.8	0.0	66.7	81.5	86.2	80.9	74.1	69.1	37.5	73.7		0.09	0.16	0.2	0.29	0.37	0.4	0.59	0.3	1.99	0.05	0.08	0.1	0.15	0.2	0.2	0.32	0.16	1.0	0.33	0.04	0.02	0.02	0.03	0.05	0.06	0.08	0.04	4.32
Metalign 0.6.2 avg	100.0	80.0	91.2	88.9	86.8	77.9	68.0	84.7	0.0	50.0	95.2	91.2	93.5	91.5	93.4	34.5	78.5	0.0	66.7	87.0	91.2	91.1	89.1	84.9	45.8	81.5		0.09	0.16	0.19	0.28	0.36	0.37	0.56	0.29	1.99	0.04	0.08	0.1	0.14	0.19	0.19	0.3	0.15	1.0	0.33	0.07	0.06	0.03	0.02	0.01	0.02	0.08	0.06	4.22
MetaPalette 1.0.0	50.0	33.8	41.7	38.1	32.0	24.7	14.7	33.6	0.0	100.0	100.0	97.1	98.6	98.4	95.4	82.1	95.9	0.0	66.7	49.8	57.6	54.7	48.0	38.6	23.4	49.7		0.25	0.34	0.46	0.74	0.79	0.88	0.82	0.61	1.09	0.14	0.18	0.25	0.41	0.45	0.51	0.79	0.39	1.0	0.51	0.03	0.01	0.03	0.03	0.11	0.44	0.17	0.64	5.73
MetaPhlAn 2.9.22	100.0	88.3	88.1	91.3	91.5	89.8	85.0	90.6	0.0	100.0	99.5	93.8	96.5	95.9	96.2	79.1	94.4	0.0	100.0	93.5	90.9	93.8	93.6	92.8	82.0	92.5		0.03	0.11	0.12	0.26	0.28	0.32	0.39	0.22		0.02	0.05	0.06	0.13	0.15	0.16	0.21	0.11		0.04	0.02	0.0	0.03	0.03	0.01	0.06	0.03		2.69
MetaPhlAn cami1	100.0	84.3	90.0	86.8	78.1	71.0	60.1	81.5	0.0	100.0	100.0	96.6	94.1	94.5	97.2	87.6	95.7	0.0	100.0	91.4	93.2	90.3	85.5	82.0	71.3	88.0		0.05	0.15	0.25	0.41	0.47	0.5	0.6	0.35	1.58	0.02	0.07	0.13	0.21	0.25	0.25	0.33	0.18	1.0	0.06	0.0	0.03	0.04	0.04	0.04	0.02	0.03	0.29	4.19
MetaPhyler 1.25	100.0	69.6	60.5	63.0	60.3	29.9	0.0	54.8	0.0	100.0	96.0	89.2	76.6	71.5	73.7	0.0	72.4	0.0	100.0	80.6	72.1	69.1	65.4	42.5		62.4		0.22	0.18	0.25	0.59	0.67	0.77		0.45		0.12	0.09	0.15	0.34	0.43	0.52		0.27		0.09	0.05	0.09	0.12	0.23	0.31		0.15		5.36
mOTUs 2.0.1_1	100.0	79.9	78.2	91.2	86.7	77.9	0.0	73.4	0.0	100.0	100.0	92.2	98.6	97.0	97.3	0.0	83.6	0.0	100.0	88.8	84.6	94.7	91.5	86.5		78.2		0.03	0.15	0.2	0.26	0.3	0.37		0.22		0.02	0.07	0.1	0.13	0.16	0.19		0.11		0.03	0.06	0.04	0.01	0.01	0.02		0.03		3.42
mOTUs 2.5.1_10	100.0	95.7	100.0	98.5	97.4	97.4	93.6	97.5	0.0	100.0	100.0	94.8	96.9	93.7	94.1	60.3	91.4	0.0	100.0	97.8	97.3	97.7	95.5	95.7	73.3	94.4		0.02	0.04	0.05	0.1	0.13	0.13	0.34	0.12		0.01	0.02	0.03	0.05	0.07	0.07	0.18	0.06		0.03	0.0	0.0	0.0	0.0	0.0	0.08	0.02		2.13
mOTUs 2.5.1_11	100.0	95.7	100.0	98.5	97.4	97.4	93.6	97.5	0.0	100.0	100.0	94.8	96.9	93.7	94.1	60.3	91.4	0.0	100.0	97.8	97.3	97.7	95.5	95.7	73.3	94.4		0.02	0.04	0.07	0.13	0.16	0.14	0.34	0.13		0.01	0.02	0.04	0.06	0.08	0.07	0.18	0.07		0.03	0.0	0.01	0.02	0.03	0.01	0.08	0.03		2.22
mOTUs 2.5.1_2	100.0	95.7	100.0	98.5	96.8	96.5	80.9	95.5	0.0	100.0	100.0	94.8	96.9	93.7	95.8	89.4	95.8	0.0	100.0	97.8	97.3	97.7	95.2	96.2	84.9	95.6		0.02	0.04	0.05	0.1	0.13	0.13	0.25	0.1		0.01	0.02	0.03	0.06	0.07	0.07	0.15	0.06		0.03	0.0	0.0	0.01	0.02	0.01	0.05	0.02		1.86
mOTUs 2.5.1_3	100.0	95.7	100.0	98.5	96.8	96.5	80.9	95.5	0.0	100.0	100.0	94.8	96.9	93.7	95.8	89.4	95.8	0.0	100.0	97.8	97.3	97.7	95.2	96.2	84.9	95.6		0.02	0.04	0.07	0.14	0.18	0.16	0.43	0.15		0.01	0.02	0.04	0.07	0.09	0.08	0.23	0.08		0.03	0.0	0.01	0.02	0.02	0.01	0.07	0.02		2.17
mOTUs 2.5.1_4	100.0	95.7	100.0	98.5	97.4	97.7	94.0	97.6	0.0	100.0	100.0	94.8	96.9	93.6	93.2	55.2	90.5	0.0	100.0	97.8	97.3	97.7	95.5	95.4	69.5	93.9		0.02	0.04	0.05	0.1	0.13	0.13	0.34	0.12		0.01	0.02	0.02	0.05	0.07	0.07	0.18	0.06		0.02	0.0	0.0	0.0	0.0	0.0	0.07	0.02		2.1
mOTUs 2.5.1_5	100.0	95.7	100.0	98.5	97.4	97.7	94.0	97.6	0.0	100.0	100.0	94.8	96.9	93.6	93.2	55.2	90.5	0.0	100.0	97.8	97.3	97.7	95.5	95.4	69.5	93.9		0.02	0.04	0.07	0.12	0.16	0.14	0.34	0.13		0.01	0.02	0.04	0.06	0.08	0.07	0.18	0.07		0.02	0.0	0.01	0.02	0.03	0.01	0.07	0.02		2.19
mOTUs 2.5.1_6	100.0	95.7	100.0	98.7	97.6	98.2	94.5	97.8	0.0	100.0	98.1	93.6	94.0	87.3	82.7	39.2	85.0	0.0	100.0	96.8	96.7	96.3	92.2	89.8	55.3	90.9		0.01	0.04	0.05	0.1	0.13	0.13	0.36	0.12		0.01	0.02	0.02	0.05	0.07	0.07	0.19	0.06		0.02	0.0	0.0	0.01	0.0	0.0	0.05	0.01		2.13
mOTUs 2.5.1_7	100.0	95.7	100.0	98.7	97.6	98.2	94.5	97.8	0.0	100.0	98.1	93.6	94.0	87.3	82.7	39.2	85.0	0.0	100.0	96.8	96.7	96.3	92.2	89.8	55.3	90.9		0.01	0.04	0.07	0.12	0.15	0.14	0.36	0.13		0.01	0.02	0.04	0.06	0.08	0.07	0.19	0.07		0.02	0.0	0.01	0.02	0.03	0.0	0.05	0.02		2.26
mOTUs 2.5.1_8	100.0	94.7	99.3	96.9	95.4	93.9	77.1	93.9	0.0	100.0	100.0	95.1	96.9	93.9	96.1	91.6	96.2	0.0	100.0	97.3	97.1	96.9	94.7	95.0	83.7	95.1		0.02	0.04	0.05	0.11	0.14	0.15	0.26	0.11		0.01	0.02	0.03	0.06	0.08	0.07	0.16	0.06		0.03	0.0	0.0	0.01	0.02	0.01	0.04	0.02		1.91
mOTUs 2.5.1_9	100.0	94.7	99.3	96.9	95.4	93.9	77.1	93.9	0.0	100.0	100.0	95.1	96.9	93.9	96.1	91.6	96.2	0.0	100.0	97.3	97.1	96.9	94.7	95.0	83.7	95.1		0.02	0.04	0.08	0.15	0.19	0.17	0.44	0.15		0.01	0.02	0.04	0.08	0.1	0.08	0.23	0.08		0.03	0.0	0.01	0.02	0.02	0.01	0.08	0.02		2.22
mOTUs cami1	100.0	81.8	85.1	83.8	75.7	64.0	51.6	77.4	0.0	100.0	99.4	99.6	91.5	86.9	78.4	50.2	86.6	0.0	100.0	89.7	91.7	87.5	80.9	70.4	50.9	81.7		0.14	0.24	0.29	0.56	0.72	0.86	0.98	0.54		0.07	0.12	0.15	0.3	0.39	0.43	0.52	0.28		0.17	0.09	0.04	0.03	0.07	0.06	0.01	0.07		5.76
NBC++	50.0	76.1	74.0	81.9	86.9	83.6	78.2	75.8	0.0	100.0	43.3	31.3	37.4	28.5	15.9	6.5	37.5	0.0	66.7	55.1	44.0	51.3	42.9	26.6	11.9	50.2		0.23	0.31	0.37	0.65	0.73	0.78	0.88	0.57		0.11	0.16	0.19	0.34	0.38	0.4	0.47	0.29		0.51	0.16	0.13	0.1	0.11	0.16	0.09	0.18		5.17
TIPP 4.3.10	100.0	79.9	83.4	73.1	75.4	56.7	35.1	71.9	0.0	100.0	63.1	51.1	51.9	39.2	23.1	12.3	48.7	0.0	100.0	70.3	63.3	60.7	51.6	32.8	18.2	58.1		0.06	0.18	0.36	0.7	0.81	1.01	1.31	0.64		0.03	0.09	0.19	0.37	0.44	0.52	0.71	0.34		0.04	0.02	0.08	0.09	0.12	0.1	0.01	0.07		5.98
TIPP cami1	100.0	79.9	86.8	89.9	80.3	59.1	37.7	76.2	0.0	100.0	62.9	50.3	50.0	38.9	24.5	13.3	48.5	0.0	100.0	70.2	63.7	64.2	52.3	34.6	19.6	59.3		0.03	0.16	0.21	0.55	0.66	0.81	1.22	0.52		0.01	0.08	0.11	0.29	0.36	0.42	0.66	0.28		0.04	0.02	0.06	0.07	0.08	0.07	0.05	0.05		4.83
Average	92.1	74.1	77.7	76.6	73.4	63.3	47.1	72.0	0.0	92.1	86.7	79.3	79.7	74.6	70.4	44.4	75.3	0.0	89.8	77.8	76.2	75.6	70.3	61.0	44.2	71.3		0.1	0.19	0.25	0.48	0.55	0.64	0.83	0.43	1.62	0.05	0.1	0.13	0.25	0.3	0.34	0.47	0.23	1.0	0.19	0.05	0.04	0.05	0.06	0.07	0.1	0.08	0.26	4.58
Standard error of the mean	4.3	3.5	3.7	3.9	4.3	5.4	6.8	3.9	0.0	3.7	4.0	4.6	4.4	5.3	6.7	7.3	4.3	0.0	3.3	3.2	3.5	3.3	3.9	5.2	5.7	3.2		0.02	0.02	0.02	0.05	0.05	0.06	0.09	0.04	0.12	0.01	0.01	0.01	0.02	0.03	0.03	0.05	0.02	0.0	0.04	0.01	0.01	0.01	0.01	0.02	0.03	0.01	0.08	0.3
Variance	350.9	238.7	255.0	292.5	353.8	544.3	881.5	287.4	0.0	258.0	303.8	407.2	374.6	537.4	861.2	1004.4	348.6	0.0	203.9	188.9	227.7	210.3	289.8	519.4	547.2	197.4		0.01	0.01	0.01	0.04	0.05	0.07	0.13	0.03	0.09	0.0	0.0	0.0	0.01	0.01	0.02	0.04	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.04	1.77
