	Completenesssuperkingdom	Completenessphylum	Completenessclass	Completenessorder	Completenessfamily	Completenessgenus	Completenessspecies	Completenessavg	Completenessstrain	Puritysuperkingdom	Purityphylum	Purityclass	Purityorder	Purityfamily	Puritygenus	Purityspecies	Purityavg	Puritystrain	F1 scoresuperkingdom	F1 scorephylum	F1 scoreclass	F1 scoreorder	F1 scorefamily	F1 scoregenus	F1 scorespecies	F1 scoreavg	F1 scorestrain	L1 norm errorsuperkingdom	L1 norm errorphylum	L1 norm errorclass	L1 norm errororder	L1 norm errorfamily	L1 norm errorgenus	L1 norm errorspecies	L1 norm erroravg	L1 norm errorstrain	Bray-Curtis distancesuperkingdom	Bray-Curtis distancephylum	Bray-Curtis distanceclass	Bray-Curtis distanceorder	Bray-Curtis distancefamily	Bray-Curtis distancegenus	Bray-Curtis distancespecies	Bray-Curtis distanceavg	Bray-Curtis distancestrain	Shannon equitabilitysuperkingdom	Shannon equitabilityphylum	Shannon equitabilityclass	Shannon equitabilityorder	Shannon equitabilityfamily	Shannon equitabilitygenus	Shannon equitabilityspecies	Shannon equitabilityavg	Shannon equitabilitystrain	Weighted UniFrac error
Bracken 2.2	100.0	40.0	65.4	71.3	78.0	84.0	93.5	76.0	0.0	100.0	100.0	92.7	96.0	94.5	93.1	63.5	91.4	0.0	100.0	57.0	76.6	81.8	85.5	88.3	75.3	83.0		0.11	0.18	0.18	0.32	0.37	0.37	0.52	0.29		0.05	0.09	0.09	0.16	0.18	0.19	0.26	0.15		0.18	0.04	0.02	0.03	0.02	0.01	0.0	0.05		3.2
CCMetagen 1.1.3	100.0	39.3	49.3	44.0	38.5	31.8	26.6	47.1	0.0	93.3	95.5	92.1	92.0	86.0	86.8	42.9	84.1	0.0	96.0	55.3	63.9	59.4	53.1	46.5	32.7	60.4		0.18	0.28	0.39	0.73	0.79	0.85	1.16	0.63		0.09	0.14	0.19	0.37	0.4	0.43	0.58	0.31		0.36	0.03	0.04	0.03	0.03	0.03	0.08	0.09		5.73
Centrifuge 1.0.4 beta	100.0	50.7	65.4	69.5	76.2	79.5	81.6	74.7	0.0	100.0	100.0	98.0	97.1	94.6	94.3	78.6	94.7	0.0	100.0	67.1	78.3	81.0	84.4	86.3	80.0	83.5		0.11	0.15	0.17	0.33	0.38	0.4	0.55	0.3		0.05	0.07	0.09	0.16	0.19	0.2	0.28	0.15		0.18	0.02	0.02	0.03	0.02	0.01	0.03	0.04		3.26
DUDes 0.08	100.0	41.1	54.5	45.3	41.2	35.4	27.5	49.3	0.0	100.0	100.0	99.3	97.7	98.2	99.3	89.0	97.6	0.0	100.0	57.8	70.1	61.8	58.0	52.2	41.9	65.5		0.02	0.15	0.16	0.33	0.38	0.43	0.48	0.28		0.01	0.08	0.08	0.17	0.19	0.21	0.24	0.14		0.03	0.06	0.04	0.04	0.05	0.04	0.06	0.05		3.17
DUDes cami1	100.0	54.7	65.5	57.4	55.6	54.6	53.2	63.0	0.0	100.0	100.0	97.9	95.6	94.5	97.5	90.2	96.5	0.0	100.0	70.5	78.4	71.7	70.0	70.0	66.9	76.2		0.03	0.15	0.22	0.46	0.51	0.55	0.72	0.38	1.99	0.01	0.08	0.11	0.23	0.26	0.27	0.36	0.19	1.0	0.03	0.04	0.02	0.04	0.03	0.01	0.02	0.03	0.0	4.73
FOCUS 1.5	100.0	54.5	49.1	51.6	44.3	31.3	18.6	49.9	0.0	100.0	82.0	71.6	70.5	60.8	46.9	34.7	66.7	0.0	100.0	65.4	58.2	59.5	51.2	37.5	24.2	57.1		0.09	0.3	0.27	0.65	0.81	0.99	1.45	0.65	1.99	0.05	0.15	0.14	0.32	0.41	0.5	0.73	0.33	1.0	0.15	0.12	0.05	0.09	0.08	0.08	0.11	0.1	0.09	7.03
FOCUS cami1	100.0	53.7	55.3	55.9	50.9	37.3	22.7	53.7	0.0	100.0	81.5	74.0	72.1	56.5	40.8	21.8	63.8	0.0	100.0	64.6	63.2	63.0	53.5	38.9	22.2	58.3		0.09	0.2	0.28	0.6	0.76	0.89	1.39	0.6	1.99	0.05	0.1	0.14	0.3	0.38	0.45	0.7	0.3	1.0	0.16	0.08	0.06	0.07	0.07	0.07	0.1	0.09	0.1	6.52
LSHVec gsa	50.0	52.0	58.8	63.0	61.0	54.2	38.5	53.9	0.0	100.0	100.0	74.1	86.4	85.6	91.9	68.5	86.6	0.0	66.7	68.4	65.6	72.9	71.2	68.2	49.3	66.5		0.22	0.28	0.41	0.76	0.85	0.95	1.34	0.69		0.11	0.14	0.21	0.38	0.43	0.48	0.67	0.35		0.51	0.04	0.03	0.03	0.05	0.12	0.18	0.14		5.98
LSHVec illumina	50.0	58.8	64.2	71.7	73.0	51.2	25.6	56.4	0.0	100.0	12.1	6.3	9.9	10.0	6.4	2.5	21.0	0.0	66.7	19.9	11.3	17.1	17.5	11.3	4.5	30.6		0.23	0.49	0.63	1.0	1.18	1.45	1.91	0.98		0.11	0.25	0.32	0.5	0.59	0.73	0.96	0.49		0.51	0.07	0.11	0.09	0.01	0.08	0.2	0.15		8.15
LSHVec pacbio	50.0	28.0	43.5	41.4	32.9	16.8	8.5	31.6	0.0	100.0	79.1	68.5	68.6	51.7	28.1	15.8	58.8	0.0	66.7	41.1	53.0	51.3	39.7	20.6	10.7	41.1		0.23	0.39	0.52	0.86	1.05	1.32	1.63	0.86		0.11	0.2	0.26	0.43	0.53	0.66	0.82	0.43		0.51	0.16	0.15	0.12	0.11	0.14	0.16	0.19		7.19
