Completeness	Purity	F1 score	L1 norm error	Bray-Curtis distance	Shannon equitability	Weighted UniFrac error	sum
mOTUs 2.5.1_2 (11)	DUDes 0.08 (13)	mOTUs 2.5.1_2 (4)	mOTUs 2.5.1_2 (2)	mOTUs 2.5.1_2 (1)	MetaPhlAn cami1 (21)	mOTUs 2.5.1_2 (0)	mOTUs 2.5.1_2 (81)
Bracken 2.2 (23)	MetaPhlAn cami1 (16)	Centrifuge 1.0.4 beta (21)	MetaPhlAn 2.9.22 (9)	MetaPhlAn 2.9.22 (9)	MetaPhlAn 2.9.22 (26)	MetaPhlAn 2.9.22 (1)	MetaPhlAn 2.9.22 (124)
Centrifuge 1.0.4 beta (26)	mOTUs cami1 (20)	MetaPhlAn 2.9.22 (24)	DUDes 0.08 (22)	DUDes 0.08 (24)	Bracken 2.2 (35)	DUDes 0.08 (2)	Centrifuge 1.0.4 beta (196)
TIPP cami1 (27)	MetaPalette 1.0.0 (20)	MetaPhlAn cami1 (25)	mOTUs 2.0.1_1 (32)	Centrifuge 1.0.4 beta (30)	mOTUs 2.5.1_2 (38)	Bracken 2.2 (3)	MetaPhlAn cami1 (196)
TIPP 4.3.10 (33)	MetaPhlAn 2.9.22 (22)	Bracken 2.2 (29)	Centrifuge 1.0.4 beta (35)	Bracken 2.2 (32)	mOTUs 2.0.1_1 (39)	Centrifuge 1.0.4 beta (4)	Bracken 2.2 (209)
MetaPhlAn 2.9.22 (33)	mOTUs 2.5.1_2 (25)	mOTUs cami1 (35)	Bracken 2.2 (38)	mOTUs 2.0.1_1 (34)	DUDes cami1 (41)	mOTUs 2.0.1_1 (5)	mOTUs 2.0.1_1 (229)
MetaPhlAn cami1 (38)	Metalign 0.6.2 avg (27)	DUDes cami1 (37)	Metalign 0.6.2 avg (42)	Metalign 0.6.2 avg (40)	Centrifuge 1.0.4 beta (41)	Metalign 0.6.2 avg (6)	DUDes cami1 (250)
mOTUs cami1 (44)	mOTUs 2.0.1_1 (32)	mOTUs 2.0.1_1 (40)	DUDes cami1 (43)	DUDes cami1 (41)	Metalign 0.6.2 avg (43)	MetaPhlAn cami1 (7)	Metalign 0.6.2 avg (265)
mOTUs 2.0.1_1 (47)	DUDes cami1 (33)	Metalign 0.6.2 avg (51)	MetaPhlAn cami1 (45)	MetaPhlAn cami1 (44)	TIPP cami1 (60)	DUDes cami1 (8)	DUDes 0.08 (290)
DUDes cami1 (47)	Centrifuge 1.0.4 beta (39)	TIPP cami1 (58)	TIPP cami1 (53)	TIPP cami1 (51)	TIPP 4.3.10 (61)	NBC++ (9)	mOTUs cami1 (337)
Metalign 0.6.2 avg (56)	MetaPhyler 1.25 (40)	LSHVec gsa (67)	FOCUS cami1 (79)	FOCUS cami1 (77)	mOTUs cami1 (61)	MetaPhyler 1.25 (10)	TIPP cami1 (343)
NBC++ (67)	Bracken 2.2 (49)	TIPP 4.3.10 (67)	mOTUs cami1 (82)	mOTUs cami1 (81)	CCMetagen 1.1.3 (65)	CCMetagen 1.1.3 (11)	TIPP 4.3.10 (451)
FOCUS cami1 (70)	LSHVec gsa (63)	DUDes 0.08 (75)	NBC++ (87)	NBC++ (86)	MetaPhyler 1.25 (65)	TIPP cami1 (12)	NBC++ (471)
LSHVec gsa (71)	NBC++ (78)	NBC++ (78)	TIPP 4.3.10 (89)	TIPP 4.3.10 (87)	NBC++ (66)	LSHVec gsa (13)	MetaPhyler 1.25 (479)
FOCUS 1.5 (80)	TIPP cami1 (82)	MetaPhyler 1.25 (82)	FOCUS 1.5 (91)	FOCUS 1.5 (91)	DUDes 0.08 (69)	mOTUs cami1 (14)	LSHVec gsa (506)
DUDes 0.08 (85)	FOCUS 1.5 (95)	FOCUS cami1 (84)	CCMetagen 1.1.3 (93)	CCMetagen 1.1.3 (91)	MetaPalette 1.0.0 (75)	FOCUS cami1 (15)	FOCUS cami1 (520)
MetaPhyler 1.25 (92)	CCMetagen 1.1.3 (95)	FOCUS 1.5 (88)	MetaPhyler 1.25 (94)	MetaPhyler 1.25 (96)	LSHVec gsa (82)	FOCUS 1.5 (16)	CCMetagen 1.1.3 (551)
CCMetagen 1.1.3 (94)	FOCUS cami1 (96)	CCMetagen 1.1.3 (102)	LSHVec gsa (105)	LSHVec gsa (105)	FOCUS cami1 (99)	MetaPalette 1.0.0 (17)	FOCUS 1.5 (564)
MetaPalette 1.0.0 (122)	TIPP 4.3.10 (96)	MetaPalette 1.0.0 (119)	MetaPalette 1.0.0 (122)	MetaPalette 1.0.0 (121)	FOCUS 1.5 (103)	TIPP 4.3.10 (18)	MetaPalette 1.0.0 (596)
