Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	0	-	0	1584791	0	0	0	0	0
GCA_000012325.1_crisprs	-	120434	-	758238	5373173	629390	114654	56491	662585	0
GCA_000012885.1_crisprs	-	152562	-	0	3665852	90815	182892	50405	0	0
GCA_000012985.1_crisprs	-	145864	-	0	7215228	60780	0	156385	95253	0
GCA_000014865.1_crisprs	-	52937	-	606109	4719539	882960	1010566	338068	465206	0
GCA_000014885.1_crisprs	-	176172	-	0	5396452	0	0	0	64738	0
GCA_000015145.1_crisprs	0	2432046	0	776721	1667163	266645	3736443	7286997	-	1667163
GCA_000016425.1_crisprs	-	220870	-	0	5183322	107331	0	52601	57927	0
GCA_000019185.1_crisprs	-	0	-	129546	5226895	0	299374	0	0	0
GCA_000020525.1_crisprs	-	208818	-	1612829	3293431	1690220	1536717	802163	593948	50698
GCA_000148645.1_crisprs	-	675376	-	167029	4279149	66508	222120	66341	236292	805128
GCA_000192865.1_crisprs	-	271428	-	715096	4684311	834489	743381	396596	371708	0
GCA_000195335.1_crisprs	0	119776	-	670193	2269117	739111	715382	481843	987916	52820
GCA_000211475.1_crisprs	0	142244	-	1233921	1861292	891581	2085856	560810	475637	568045
GCA_000212355.1_crisprs	-	0	-	847780	3389983	198036	113468	280460	190198	0
GCA_000214665.1_crisprs	0	0	-	1163172	5051673	1059974	1282040	0	989129	2581202
GCA_000221185.1_crisprs	-	0	-	0	2011287	0	0	0	136325	0
GCA_000227745.2_crisprs	-	0	-	0	5017042	204776	257712	54612	380564	0
GCA_000299395.1_crisprs	-	0	-	390831	1690869	187636	790038	377329	235228	0
GCA_000299995.1_crisprs	-	0	-	0	4480493	0	0	-	0	0
GCA_000307105.1_crisprs	0	121008	-	1733750	5197896	2541353	2220491	407302	911169	907922
GCA_000332115.1_crisprs	-	0	-	65860	3914609	191383	188442	323167	72798	0
GCA_000348785.1_crisprs	0	208600	-	657555	4830178	535080	1907490	240219	626167	1730957
GCA_000473245.1_crisprs	-	1080880	-	0	4884705	409801	0	381527	152387	0
GCA_000590925.1_crisprs	-	109800	-	111634	3555091	127600	128288	191257	106155	0
GCA_000591035.1_crisprs	-	101484	-	122467	1595975	307639	203734	108667	0	0
GCA_000626635.1_crisprs	-	0	-	137138	5132065	66378	235844	76823	65484	0
GCA_000725425.1_crisprs	424122	2022878	-	2707560	1859369	1912003	4558984	8381890	1513471	1854709
GCA_000830985.1_crisprs	-	0	-	0	3975877	0	0	0	0	0
GCA_001430865.1_crisprs	-	0	-	1445497	2884284	1479597	382492	764306	341863	0
