Assembly	A_STAR	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
# misassemblies	0	0	0	0	0	0	0	0
  # contig misassemblies	0	0	0	0	0	0	0	0
    # c. relocations	0	0	0	0	0	0	0	0
    # c. translocations	0	0	0	0	0	0	0	0
    # c. inversions	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0
# misassembled contigs	0	0	0	0	0	0	0	0
Misassembled contigs length	0	0	0	0	0	0	0	0
# possibly misassembled contigs	1	1	0	3	5	0	2	1
    # possible misassemblies	1	1	0	3	7	0	3	1
# local misassemblies	0	0	0	0	1	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0
# unaligned mis. contigs	1	2	1	2	1	1	0	1
# mismatches	10	12	7	38	32	9	6	15
# indels	2	0	0	0	0	0	0	0
    # indels (<= 5 bp)	0	0	0	0	0	0	0	0
    # indels (> 5 bp)	2	0	0	0	0	0	0	0
Indels length	60	0	0	0	0	0	0	0
