	Accuracy (bp)	Accuracy (bp) (unfiltered)	Accuracy (seq)	Accuracy (seq) (unfiltered)	Adjusted Rand index (bp)	Adjusted Rand index (bp) (unfiltered)	Adjusted Rand index (seq)	Adjusted Rand index (seq) (unfiltered)	Average completeness (bp)	Average completeness (bp) (unfiltered)	Average completeness (seq)	Average completeness (seq) (unfiltered)	Average purity (bp)	Average purity (bp) (unfiltered)	Average purity (seq)	Average purity (seq) (unfiltered)	CAMI 1 F1 score (bp)	CAMI 1 F1 score (bp) (unfiltered)	CAMI 1 F1 score (seq)	CAMI 1 F1 score (seq) (unfiltered)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (bp) (unfiltered)	CAMI 1 average completeness (seq)	CAMI 1 average completeness (seq) (unfiltered)	CAMI 1 std error of av. completeness (bp)	CAMI 1 std error of av. completeness (bp) (unfiltered)	CAMI 1 std error of av. completeness (seq)	CAMI 1 std error of av. completeness (seq) (unfiltered)	Completeness (bp)	Completeness (bp) (unfiltered)	Completeness (seq)	Completeness (seq) (unfiltered)	F1 score (bp)	F1 score (bp) (unfiltered)	F1 score (seq)	F1 score (seq) (unfiltered)	F1 score for sample (bp)	F1 score for sample (bp) (unfiltered)	F1 score for sample (seq)	F1 score for sample (seq) (unfiltered)	Misclassification rate (bp)	Misclassification rate (bp) (unfiltered)	Misclassification rate (seq)	Misclassification rate (seq) (unfiltered)	Percentage of binned bp	Percentage of binned bp (unfiltered)	Percentage of binned sequences	Percentage of binned sequences (unfiltered)	Purity (bp)	Purity (bp) (unfiltered)	Purity (seq)	Purity (seq) (unfiltered)	Rand index (bp)	Rand index (bp) (unfiltered)	Rand index (seq)	Rand index (seq) (unfiltered)	Sample	Std error of av. completeness (bp)	Std error of av. completeness (bp) (unfiltered)	Std error of av. completeness (seq)	Std error of av. completeness (seq) (unfiltered)	Std error of av. purity (bp)	Std error of av. purity (bp) (unfiltered)	Std error of av. purity (seq)	Std error of av. purity (seq) (unfiltered)	Tool	UniFrac (bp)	UniFrac (bp) (unfiltered)	UniFrac (seq)	UniFrac (seq) (unfiltered)	avg_precision_bp_var	avg_precision_bp_var (unfiltered)	avg_recall_bp_var	avg_recall_bp_var (unfiltered)	avg_recall_bp_var_cami1	avg_recall_bp_var_cami1 (unfiltered)	binning type	rank
0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_0									Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	class
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	order
4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	family
5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	genus
6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gold standard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	species
7	0.9830343185891318	0.9830343185891318	0.9830343185891318	0.9830343185891318	0.0	0.0	0.0	0.0	0.9830343185891318	0.9830343185891318	0.9830343185891318	0.9830343185891318	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9830343185891318	0.9830343185891318	0.9830343185891318	0.9830343185891318	0.9914445850725676	0.9914445850725676	0.9914445850725676	0.9914445850725676	0.9914445850725676	0.9914445850725676	0.9914445850725676	0.9914445850725676	0.0	0.0	0.0	0.0	0.9830343185891318	0.9830343185891318	0.9830343185891318	0.9830343185891318	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	strmgCAMI2_short_read_sample_0									Ganon 0.1.4	1.1183332207968637	1.1129797580687195	1.1183332207968637	1.1129797580687195	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
8	0.9373070536345254	0.9373313961499457	0.9373070536345254	0.9373313961499457	0.9997607288359672	0.9997381588639112	0.9997607288222586	0.9997381588489078	0.34077960694784304	0.8936010987124401	0.34077960694784304	0.8936010987124401	0.9999372671026978	0.47049534308804	0.9999372671026978	0.47049534308804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9373070536345254	0.9373313961499457	0.9373070536345254	0.9373313961499457	0.5083224287709116	0.6164302502946548	0.5083224287709116	0.6164302502946548	0.9676106084733174	0.9676190771652992	0.9676106084733174	0.9676190771652992	6.091520283157959e-05	7.0530882748554e-05	6.091520283157959e-05	7.0530882748554e-05	0.9373641533620544	0.9373975116239268	0.9373641533620544	0.9373975116239268	0.9999390847971684	0.9999294691172514	0.9999390847971684	0.9999294691172514	0.9998835450934612	0.9998725570704756	0.9998835450841896	0.9998725570603292	strmgCAMI2_short_read_sample_0	0.16646889548835486	0.02274573499302197	0.16646889548835486	0.02274573499302197	7.204751416732212e-06	0.17991185024532397	7.204751416732212e-06	0.17991185024532397	Ganon 0.1.4	1.1183332207968637	1.1129797580687195	1.1183332207968637	1.1129797580687195	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
9	0.8662160897114856	0.8662610181813045	0.8662160897114856	0.8662610181813045	0.9997819386468028	0.9996623503428408	0.9997819386321112	0.9996623503200858	0.15422624230889145	0.704039361740264	0.15422624230889145	0.704039361740264	0.9999449660593164	0.2497631887524942	0.9999449660593164	0.2497631887524942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8662160897114856	0.8662610181813045	0.8662160897114856	0.8662610181813045	0.26723549073634706	0.3687201631085473	0.26723549073634706	0.3687201631085473	0.928288527367274	0.9282845809731664	0.928288527367274	0.9282845809731664	5.6201097239694235e-05	0.00012522310786067248	5.6201097239694235e-05	0.00012522310786067248	0.8662647747423262	0.8663695076636099	0.8662647747423262	0.8663695076636099	0.9999437989027604	0.9998747768921392	0.9999437989027604	0.9998747768921392	0.99989260060751	0.9998336923131852	0.9998926005982574	0.9998336922988597	strmgCAMI2_short_read_sample_0	0.08331936924180164	0.16373191302038365	0.08331936924180164	0.16373191302038365	6.1492322835152415e-06	0.10089620496757916	6.1492322835152415e-06	0.10089620496757916	Ganon 0.1.4	1.1183332207968637	1.1129797580687195	1.1183332207968637	1.1129797580687195	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	class
10	0.8490681399598469	0.8491127679047841	0.8490681399598469	0.8491127679047841	0.9998191290558188	0.9995148344659188	0.99981912904212	0.999514834429161	0.08935831751046451	0.7296205283162901	0.08935831751046451	0.7296205283162901	0.999802660454676	0.1398076220967177	0.999802660454676	0.1398076220967177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8490681399598469	0.8491127679047841	0.8490681399598469	0.8491127679047841	0.16405413963256313	0.2346519630136081	0.16405413963256313	0.2346519630136081	0.9183455871388634	0.9183103530874718	0.9183455871388634	0.9183103530874718	6.759925322286087e-05	0.00021301933858197675	6.759925322286087e-05	0.00021301933858197675	0.8491255402122577	0.8492936838835868	0.8491255402122577	0.8492936838835868	0.9999324007467773	0.999786980661418	0.9999324007467773	0.999786980661418	0.9999100634170474	0.9997587455868432	0.9999100634091428	0.9997587455656436	strmgCAMI2_short_read_sample_0	0.04289953641998268	0.13635485544896553	0.04289953641998268	0.13635485544896553	0.00015359442844091725	0.054703941648616666	0.00015359442844091725	0.054703941648616666	Ganon 0.1.4	1.1183332207968637	1.1129797580687195	1.1183332207968637	1.1129797580687195	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	order
11	0.8321670437546873	0.8358983887210019	0.8321670437546873	0.8358983887210019	0.9998852526487534	0.9993677700759288	0.999885252639302	0.9993677700230882	0.06583515337350708	0.8472557612421446	0.06583515337350708	0.8472557612421446	0.9968562892375146	0.11662732294206388	0.9968562892375146	0.11662732294206388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8321670437546873	0.8358983887210019	0.8321670437546873	0.8358983887210019	0.12351315548763457	0.2050314460379668	0.12351315548763457	0.2050314460379668	0.9082898349839696	0.9103738733170872	0.9082898349839696	0.9103738733170872	0.00025843153189764045	0.0005816088313957968	0.00025843153189764045	0.0005816088313957968	0.8323821575507874	0.8363848375289543	0.8323821575507874	0.8363848375289543	0.9997415684681024	0.9994183911686042	0.9997415684681024	0.9994183911686042	0.999942730305962	0.9996842273586533	0.9999427303008253	0.9996842273304654	strmgCAMI2_short_read_sample_0	0.026029252051704883	0.015022350718076024	0.026029252051704883	0.015022350718076024	0.0021645157712299736	0.0367731660849147	0.0021645157712299736	0.0367731660849147	Ganon 0.1.4	1.1183332207968637	1.1129797580687195	1.1183332207968637	1.1129797580687195	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	family
12	0.5362679007587035	0.5367528482523082	0.5362679007587035	0.5367528482523082	0.9963373351090956	0.9924659152573672	0.9963373333912235	0.9924659117162252	0.03662171471939387	0.651858709742038	0.03662171471939387	0.651858709742038	0.996389087026095	0.06536438529579107	0.996389087026095	0.06536438529579107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5362679007587035	0.5367528482523082	0.5362679007587035	0.5367528482523082	0.07064684480148767	0.11881475696135654	0.07064684480148767	0.11881475696135654	0.6976688808280627	0.6974020681725952	0.6976688808280627	0.6974020681725952	0.0019460093775770515	0.004709026262748273	0.0019460093775770515	0.004709026262748273	0.5373135179032421	0.5392923902814438	0.5373135179032421	0.5392923902814438	0.998053990622423	0.9952909737372516	0.998053990622423	0.9952909737372516	0.9986526521740312	0.9972367675452812	0.998652651971222	0.9972367671308732	strmgCAMI2_short_read_sample_0	0.01257132114700984	0.08262377420220826	0.01257132114700984	0.08262377420220826	0.0014324186011429685	0.018715122538445855	0.0014324186011429685	0.018715122538445855	Ganon 0.1.4	1.1183332207968637	1.1129797580687195	1.1183332207968637	1.1129797580687195	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	genus
13	0.344797023075726	0.3450887186335611	0.344797023075726	0.3450887186335611	0.98834235209024	0.983281024396126	0.9883423462037956	0.983281015837746	0.004114631788923536	0.2957382214500344	0.004114631788923536	0.2957382214500344	0.4690427333218141	0.016746522406956083	0.4690427333218141	0.016746522406956083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.344797023075726	0.3450887186335611	0.344797023075726	0.3450887186335611	0.008157700939254489	0.03169810270400213	0.008157700939254489	0.03169810270400213	0.5102349805544353	0.5093415200664033	0.5102349805544353	0.5093415200664033	0.019132365689596864	0.028024878976383727	0.019132365689596864	0.028024878976383727	0.3515224797055667	0.35503863336557195	0.3515224797055667	0.35503863336557195	0.9808676343104032	0.9719751210236164	0.9808676343104032	0.9719751210236164	0.9949849249150544	0.9928715855234868	0.9949849237603624	0.9928715838984652	strmgCAMI2_short_read_sample_0	0.0013336800146183725	0.059876258301857374	0.0013336800146183725	0.059876258301857374	0.0996253904006854	0.00393382342396592	0.0996253904006854	0.00393382342396592	Ganon 0.1.4	1.1183332207968637	1.1129797580687195	1.1183332207968637	1.1129797580687195	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	species
14	0.9706928135334768	0.9706928135334768	0.9706928135334768	0.9706928135334768	0.0	0.0	0.0	0.0	0.24267320338336926	0.9706928135334768	0.24267320338336926	0.9706928135334768	1.0	0.25	1.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9706928135334768	0.9706928135334768	0.9706928135334768	0.9706928135334768	0.39056640591050656	0.3975991350041876	0.39056640591050656	0.3975991350041876	0.985128485644612	0.9849891302122844	0.985128485644612	0.9849891302122844	0.0	0.00028714738073387647	0.0	0.00028714738073387647	0.9706928135334768	0.970971625492504	0.9706928135334768	0.970971625492504	1.0	0.999712852619266	1.0	0.999712852619266	1.0	0.9994258256391948	1.0	0.9994258255950632	strmgCAMI2_short_read_sample_0	0.2426732033833693		0.2426732033833693			0.25		0.25	Kraken	1.0684533915711931	1.064598098067464	1.0684533915711931	1.064598098067464	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
15	0.9677826057100029	0.9678113058362082	0.9677826057100029	0.9678113058362082	0.9988979846303532	0.9985853768257956	0.9988979845713726	0.9985853767500144	0.059167504863550685	0.8416750486355069	0.059167504863550685	0.8416750486355069	0.9986840549110696	0.08349716370428882	0.9986840549110696	0.08349716370428882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9677826057100029	0.9678113058362082	0.9677826057100029	0.9678113058362082	0.11171632376983126	0.15192302229657276	0.11171632376983126	0.15192302229657276	0.983441511741078	0.9833167012298394	0.983441511741078	0.9833167012298394	0.00038452029172941765	0.0006729872908968204	0.00038452029172941765	0.0006729872908968204	0.9681548809072484	0.9684630691734648	0.9681548809072484	0.9684630691734648	0.9996154797082706	0.9993270127091032	0.9996154797082706	0.9993270127091032	0.9994669284067236	0.9993155597255556	0.999466928365632	0.9993155596728128	strmgCAMI2_short_read_sample_0	0.035287543565706014	0.14401763071909374	0.035287543565706014	0.14401763071909374	0.0009398988062989783	0.042603312246544435	0.0009398988062989783	0.042603312246544435	Kraken	1.0684533915711931	1.064598098067464	1.0684533915711931	1.064598098067464	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
16	0.9655685637750612	0.96562731638944	0.9655685637750612	0.96562731638944	0.9992963917236092	0.9984899156662396	0.9992963916859364	0.9984899155851724	0.030544301800412794	0.6850342623783716	0.030544301800412794	0.6850342623783716	0.9996640574134537	0.04691341624176218	0.9996640574134537	0.04691341624176218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9655685637750612	0.96562731638944	0.9655685637750612	0.96562731638944	0.059277408100166636	0.08781310038829618	0.059277408100166636	0.08781310038829618	0.9823692713604204	0.9819999509479238	0.9823692713604204	0.9819999509479238	0.00023500980141011318	0.0010626278930806476	0.00023500980141011318	0.0010626278930806476	0.9657955351919896	0.9666545104352006	0.9657955351919896	0.9666545104352006	0.99976499019859	0.9989373721069194	0.99976499019859	0.9989373721069194	0.9996597742436732	0.9992693417610692	0.9996597742173824	0.9992693417046586	strmgCAMI2_short_read_sample_0	0.018467416744934174	0.1906099391450347	0.018467416744934174	0.1906099391450347	8.687262135327774e-05	0.02271977903421966	8.687262135327774e-05	0.02271977903421966	Kraken	1.0684533915711931	1.064598098067464	1.0684533915711931	1.064598098067464	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	class
17	0.9626989268106212	0.9627574540313384	0.9626989268106212	0.9627574540313384	0.9995500122381136	0.997812467480681	0.9995500122119682	0.9978124673531537	0.01973108476023907	0.7312554770717977	0.01973108476023907	0.7312554770717977	0.9989039626810896	0.030960695285546708	0.9989039626810896	0.030960695285546708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9626989268106212	0.9627574540313384	0.9626989268106212	0.9627574540313384	0.038697782497287364	0.05940618638800747	0.038697782497287364	0.05940618638800747	0.9808718173694888	0.9802595184978062	0.9808718173694888	0.9802595184978062	0.00025599117661379006	0.001590291113419573	0.00025599117661379006	0.001590291113419573	0.9629454323448621	0.9642909573715972	0.9629454323448621	0.9642909573715972	0.9997440088233862	0.9984097088865804	0.9997440088233862	0.9984097088865804	0.9997796114948808	0.998927896253188	0.9997796114778	0.9989278961702136	strmgCAMI2_short_read_sample_0	0.010218607521230598	0.1624695114179166	0.010218607521230598	0.1624695114179166	0.000847523643584112	0.013035634332775908	0.000847523643584112	0.013035634332775908	Kraken	1.0684533915711931	1.064598098067464	1.0684533915711931	1.064598098067464	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	order
18	0.9512636469860845	0.9532589740109162	0.9512636469860845	0.9532589740109162	0.9998168594828074	0.9957033296110384	0.9998168594711616	0.9957033293345002	0.012192115817456006	0.7384146949655856	0.012192115817456006	0.7384146949655856	0.9913743399116518	0.024161812438976683	0.9913743399116518	0.024161812438976683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9512636469860845	0.9532589740109162	0.9512636469860845	0.9532589740109162	0.024087992781455587	0.04679251770465941	0.024087992781455587	0.04679251770465941	0.974767671664184	0.9745737594730683	0.974767671664184	0.9745737594730683	0.00053739350645432	0.00313646088620112	0.00053739350645432	0.00313646088620112	0.951775124757734	0.9562582405796016	0.951775124757734	0.9562582405796016	0.9994626064935456	0.9968635391137988	0.9994626064935456	0.9968635391137988	0.9999094311608326	0.9978715731999434	0.999909431153728	0.9978715730337636	strmgCAMI2_short_read_sample_0	0.005534531794777878	0.11988747475929258	0.005534531794777878	0.11988747475929258	0.008177174468513295	0.007967158442337058	0.008177174468513295	0.007967158442337058	Kraken	1.0684533915711931	1.064598098067464	1.0684533915711931	1.064598098067464	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	family
19	0.608962637384827	0.6100024735904728	0.608962637384827	0.6100024735904728	0.925309503972587	0.9162814019142788	0.9253094761768216	0.916281370573808	0.005777052683435703	0.6176288965855571	0.005777052683435703	0.6176288965855571	0.5112087432438773	0.009479486306442004	0.5112087432438773	0.009479486306442004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.608962637384827	0.6100024735904728	0.608962637384827	0.6100024735904728	0.0114249941302761	0.018672385276195518	0.0114249941302761	0.018672385276195518	0.7449032749563054	0.7433766521129657	0.7449032749563054	0.7433766521129657	0.04102079164820816	0.0486053780469794	0.04102079164820816	0.0486053780469794	0.6350113037710774	0.6411666195235171	0.6350113037710774	0.6411666195235171	0.9589792083517918	0.9513946219530206	0.9589792083517918	0.9513946219530206	0.9716156858075043	0.968425704243488	0.9716156821923068	0.9684257002606024	strmgCAMI2_short_read_sample_0	0.00204695552332901	0.09603297555801243	0.00204695552332901	0.09603297555801243	0.12770681726465785	0.002849752121878781	0.12770681726465785	0.002849752121878781	Kraken	1.0684533915711931	1.064598098067464	1.0684533915711931	1.064598098067464	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	genus
20	0.483784252839754	0.4838368069276881	0.483784252839754	0.4838368069276881	0.9007228039698051	0.8937026458891525	0.9007227635567426	0.893702602234166	0.0023189453774020486	0.38610870595962826	0.0023189453774020486	0.38610870595962826	0.09925573498915682	0.0033785539634750483	0.09925573498915682	0.0033785539634750483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.483784252839754	0.4838368069276881	0.483784252839754	0.4838368069276881	0.004532007917782742	0.00669849431845175	0.004532007917782742	0.00669849431845175	0.6317632242671248	0.6296376115122759	0.6317632242671248	0.6296376115122759	0.08983831898590744	0.09878874035887496	0.08983831898590744	0.09878874035887496	0.5315366081999043	0.536873903595433	0.5315366081999043	0.536873903595433	0.9101616810140926	0.901211259641125	0.9101616810140926	0.901211259641125	0.960638778593446	0.9582150149016528	0.9606387725999908	0.9582150086023888	strmgCAMI2_short_read_sample_0	0.0007374233608891682	0.08619415351812118	0.0007374233608891682	0.08619415351812118	0.027605018695956385	0.0009504267008545203	0.027605018695956385	0.0009504267008545203	Kraken	1.0684533915711931	1.064598098067464	1.0684533915711931	1.064598098067464	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	species
21	0.9448755473872892	0.9448755473872892	0.9448755473872892	0.9448755473872892	0.0	-1.1379771576929646e-12	0.0	0.0	0.2362188868468223	0.9448755473872892	0.2362188868468223	0.9448755473872892	1.0	0.25	1.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9448755473872892	0.9448755473872892	0.9448755473872892	0.9448755473872892	0.3821635300352628	0.3953865946346257	0.3821635300352628	0.3953865946346257	0.9716565655387236	0.9715968878675824	0.9716565655387236	0.9715968878675824	0.0	0.00012641192781603916	0.0	0.00012641192781603916	0.9448755473872892	0.944995006027778	0.9448755473872892	0.944995006027778	1.0	0.9998735880721841	1.0	0.9998735880721841	1.0	0.9997472065864126	1.0	0.9997472065664484	strmgCAMI2_short_read_sample_0	0.2362188868468223		0.2362188868468223			0.25		0.25	Kraken 0.10.5-beta	1.1473578042461186	1.1233555556070995	1.1473578042461186	1.1233555556070995	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	superkingdom
22	0.9344509402897629	0.9422597788166924	0.9344509402897629	0.9422597788166924	0.9995808257063884	0.9994801820168367	0.9995808256842398	0.9994801819884558	0.05171459366593043	0.8023435847641992	0.05171459366593043	0.8023435847641992	0.9998761075852314	0.09806418587734388	0.9998761075852314	0.09806418587734388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9344509402897629	0.9422597788166924	0.9344509402897629	0.9422597788166924	0.09834279926309923	0.17476786184941584	0.09834279926309923	0.17476786184941584	0.9660606100148518	0.9701914654159988	0.9660606100148518	0.9701914654159988	0.000116327379815373	0.00017028526848272832	0.000116327379815373	0.00017028526848272832	0.9345596551657296	0.9424202591035372	0.9345596551657296	0.9424202591035372	0.9998836726201846	0.9998297147315172	0.9998836726201846	0.9998297147315172	0.9997991017671364	0.9997488719350698	0.9997991017510932	0.9997488719151832	strmgCAMI2_short_read_sample_0	0.03605683898234156	0.16640841578718754	0.03605683898234156	0.16640841578718754	1.6762515611501442e-05	0.04775875341911919	1.6762515611501442e-05	0.04775875341911919	Kraken 0.10.5-beta	1.1473578042461186	1.1233555556070995	1.1473578042461186	1.1233555556070995	0.0	0.0	0.0	0.0	0.0	0.0	taxonomic	phylum
