	0
('10394.H1.70etoh.amb.fresh.II', '10394.H1.70etoh.amb.1week.II')	0.14029552872088621
('10394.H1.70etoh.amb.fresh.II', '10394.H1.95etoh.amb.1week.II')	0.06690551201615658
('10394.H1.70etoh.amb.fresh.II', '10394.H1.70etoh.heat.1week.II')	0.13127375486997175
('10394.H1.70etoh.amb.fresh.II', '10394.H1.95etoh.4C.1week.II')	0.05397623579844831
('10394.H1.70etoh.amb.fresh.II', '10394.H1.70etoh.4C.1week.II')	0.10101263026275915
('10394.H1.70etoh.amb.fresh.II', '10394.H1.95etoh.amb.fresh.II')	0.059038512752208665
('10394.H1.70etoh.amb.fresh.II', '10394.H1.95etoh.heat.1week.II')	0.04875362806080977
('10394.H1.70etoh.amb.fresh.II', '10394.H1.FTA.amb.fresh.II')	0.06552786706243037
('10394.H1.70etoh.amb.fresh.II', '10394.H1.None.20C.1week.II')	0.04178440139988185
('10394.H1.70etoh.amb.fresh.II', '10394.H1.None.amb.1week.II')	0.06372071941515671
('10394.H1.70etoh.amb.fresh.II', '10394.H1.Omni.amb.fresh.II')	0.05193372292807713
('10394.H1.70etoh.amb.fresh.II', '10394.H1.None.heat.1week.II')	0.10643351332769534
('10394.H1.70etoh.amb.fresh.II', '10394.H1.None.amb.fresh.II')	0.041394867055793254
('10394.H1.70etoh.amb.fresh.II', '10394.H1.RNA.4C.1week.II')	0.07460963802388541
('10394.H1.70etoh.amb.fresh.II', '10394.H1.RNA.amb.1week.II')	0.07684403504237686
('10394.H1.70etoh.amb.fresh.II', '10394.H1.RNA.amb.fresh.II')	0.056317397695821246
('10394.H1.70etoh.amb.fresh.II', '10394.H1.rep1.amb.fresh.II')	0.03905917051740867
('10394.H1.70etoh.amb.fresh.II', '10394.H1.rep3.amb.fresh.II')	0.03984370627160354
('10394.H1.70etoh.amb.fresh.II', '10394.H1.rep2.amb.fresh.II')	0.03821437146783711
('10394.H1.70etoh.amb.fresh.II', '10394.H1.rep4.amb.fresh.II')	0.03748881231394065
('10394.H1.70etoh.amb.fresh.II', '10394.H1.RNA.heat.1week.II')	0.09282349228075912
('10394.H1.70etoh.amb.fresh.II', '10394.H1.rep5.amb.fresh.II')	0.04568565590077637
('10394.H1.70etoh.amb.fresh.II', '10394.H1.70etoh.freezethaw.1week.II')	0.4086881145700482
('10394.H1.70etoh.amb.fresh.II', '10394.H1.95etoh.freezethaw.1week.II')	0.3915927713964898
('10394.H1.70etoh.amb.fresh.II', '10394.H1.FTA.amb.1week.II')	0.3811268482345265
