"Genome"	"coverage"
"1_S1_contigs"	5.5402204694866
"10_S10_contigs"	1.85148661588582
"10_S9_contigs"	15.4748147622683
"11_S11_contigs"	598.23860580436
"12_S1_contigs"	28.79608171913
"12_S12_contigs"	17.0727411636499
"13_S13_contigs"	6.8542103494487
"14_S2_contigs"	10.4263891795533
"15_S3_contigs"	1.3306446614268
"18_S4_contigs"	3.9676954515232
"19_S5_contigs"	23.169461748701
"2_S2_contigs"	6.0914883516706
"2_S8_contigs"	6.8866037375959
"20_S10_contigs"	4.6443069650284
"26_S2_contigs"	17.5545890761502
"3_S3_contigs"	5.5105073266247
"33_S3_contigs"	0.59909583196472
"35_S4_contigs"	2.5705088036859
"38_S5_contigs"	4.3343980617995
"4_S4_contigs"	8.8713704534913
"5_S5_contigs"	1.89782959389897
"6_S6_contigs"	12.2154369663654
"8_S8_contigs"	58.16315241027
"9_S9_contigs"	70.960482782136
"A_2013_70_F524_1_S1_contigs"	2.4846211257757
"A_2013_70_F524_2_S2_contigs"	10.7378615419909
"A_2014_70_F537_S3_contigs"	3.4160260473524
"A_H_1309_4_4_S6_contigs"	20.564240712303
"A_H_1309_5_2_S7_contigs"	7.992579336801
"A_H130426_2_S6_contigs"	4.8952688628533
"A_H1309_1_3_S8_contigs"	2.7001254389181
"A_H1309_4_1_S7_contigs"	8.8326072600776
"A_H1309_4_3_S10_contigs"	2.9755897460795
"A_H1309_5II_S9_contigs"	11.064466648942
"A_Hdes_10_S9_contigs"	1.5717305662606
"A_Hdes_11_S10_contigs"	10.9276340395479
"A_Hdes_12_S11_contigs"	8.7135933811606
"A_Hdes_19_S12_contigs"	10.6463818188585
"A_Hdes_20_1_S13_contigs"	18.8915613702568
"A_Hdes_3_S8_contigs"	6.8377967416799
"A1_S1_contigs"	2.3074292858811
"A15_S15_contigs"	2.6173600513136
"A16_S16_contigs"	1.52376873148755
"A2_S2_contigs"	2.8874184936496
"A22_S22_contigs"	1.94832629965882
"A25_S9_contigs"	1.62381557357387
"A3_S3_contigs"	88.122592375365
"A4_S4_contigs"	14.993157814787
"A5_S5_contigs"	7.1417949683113
"A6_S6_contigs"	58.479045134954
"A7_S7_contigs"	10.6200215499405
"A8_S8_contigs"	7.4453894441247
"A9_2_S2_contigs"	7.779670981448
"Acidobacteria_bacterium_Mor1_genomic"	5.9449176949011
"Aciduliprofundum_boonei_T469_genomic"	10.9389082036551
"Aciduliprofundum_sp_MAR08_339_genomic"	14.5649162091954
"Acinetobacter_venetianus_VE_C3_genomic"	24.090906243919
"Actinoalloteichus_hymeniacidonis_strain_HPA177_DSM_45092_genomic"	2.8000469999973
"Actinoalloteichus_sp_ADI127_7_genomic"	12.2113476542096
"Actinoalloteichus_sp_GBA129_24_genomic"	1.68147188340332
"Aeromonas_salmonicida_subsp_salmonicida_A449_genomic"	49.365215055325
"Aeropyrum_camini_SY1_JCM_12091_genomic"	39.91130298025
"Aeropyrum_pernix_K1_genomic"	2.9097021795272
"Agarivorans_gilvus_strain_WH0801_genomic"	10.912615832871
"Agrococcus_jejuensis_strain_DSM_22002_genomic"	4.7850607275408
"Alcanivorax_borkumensis_SK2_genomic"	2.8330115533594
"Alcanivorax_dieselolei_B5_genomic"	0.76253230372768
"Alcanivorax_sp_W11_5_genomic"	5.1644063421703
"Algibacter_sp_HZ22_genomic"	87.277104494748
"Aliivibrio_salmonicida_LFI1238_genomic"	8.2103288879367
"Aliivibrio_wodanis_genomic"	11.6634193626555
"alpha_proteobacterium_HIMB5_genomic"	19.9780159811465
"alpha_proteobacterium_HIMB59_genomic"	6.8356291060753
"Altererythrobacter_atlanticus_strain_26DY36_genomic"	1.82835147233604
"Altererythrobacter_dongtanensis_strain_KCTC_22672_genomic"	3.9587994135132
"Altererythrobacter_epoxidivorans_CGMCC_17731_genomic"	5.1989034034537
"Altererythrobacter_ishigakiensis_strain_NBRC_107699_genomic"	7.6253235348171
"Altererythrobacter_marensis_strain_KCTC_22370_genomic"	9.6298106018015
"Altererythrobacter_namhicola_strain_JCM_16345_genomic"	17.0909672489909
"Alteromonas_australica_DE170_genomic"	10.9900537816571
"Alteromonas_australica_H_17_genomic"	2.9887742252497
