Assemblies	A-STAR_contig_hybrid	A-STAR_scaffold_hybrid	ABySS_short	HipMer_cgraph-ono_short	HipMer_cgraph_short	HipMer_Metagenome_short	Miniasm_GATB_hybrid	Megahit_v1.1.4-2_short	Megahit_v1.1.2_short	metaSPAdes_v3.13.0_short	metaSPAdes_v3.13.1_short	Ray-Meta_short	SPAdes_v3.14-dev_short	Flye_long	Megahit_V1.2.7-inhouse_short	metaSPAdes_v3.13.1-inhouse_short	OPERA-MS-inhouse_hybrid	pooled_short_gsa	pooled_long_gsa	pooled_hybrid_gsa
10_S10_contigs	26.911	26.660	0.117	31.353	30.866	28.371	11.566	27.697	27.165	18.979	20.429	13.960	20.294	0.0	24.562	22.773	22.016	32.699	44.874	49.673
10_S9_contigs	92.243	92.432	0.0	28.253	27.332	20.481	68.166	74.322	89.839	77.967	78.266	0.892	17.141	0.0	89.749	57.367	65.633	99.753	98.943	99.899
11_S11_contigs	97.791	97.800	98.520	97.063	98.064	98.928	93.470	94.615	97.635	97.084	97.365	94.763	97.282	0.272	93.475	97.440	8.650	99.977	99.922	99.977
12_S12_contigs	6.672	7.928	0.524	4.174	4.096	3.069	4.460	6.470	6.637	2.633	1.930	1.210	2.694	0.0	5.399	2.470	5.126	76.868	68.333	82.101
12_S1_contigs	55.400	55.030	0.0	60.234	59.520	50.510	37.812	55.167	67.119	28.065	27.875	12.877	17.169	0.0	56.051	35.597	47.660	99.885	98.827	99.907
13_S13_contigs	42.649	42.709	0.0	0.462	0.462	0.084	3.553	24.548	26.892	20.936	20.913	0.0	2.518	0.0	38.948	15.854	29.334	91.398	95.077	99.554
14_S2_contigs	8.920	7.958	0.366	2.474	2.114	1.642	2.702	6.335	7.435	2.377	2.501	0.450	1.507	0.0	6.464	1.964	5.584	96.715	98.186	99.822
15_S3_contigs	23.385	22.816	18.281	20.938	23.486	19.138	9.893	14.123	18.451	23.568	20.513	13.878	29.459	0.0	14.674	23.210	5.135	38.974	43.999	40.369
18_S4_contigs	18.689	20.935	0.041	19.510	19.241	15.934	7.122	16.656	21.283	11.429	11.737	4.822	5.242	0.0	17.747	11.822	18.488	48.268	50.007	53.398
19_S5_contigs	18.700	16.446	0.0	20.418	19.505	15.059	10.077	18.563	21.798	11.404	11.103	4.999	4.975	0.0	19.145	11.137	16.674	83.330	87.073	96.695
1_S1_contigs	6.569	8.220	0.119	9.752	8.683	7.076	4.397	7.392	9.351	7.225	6.524	4.269	4.007	0.0	6.439	7.340	4.636	52.967	51.880	68.075
20_S10_contigs	10.511	10.470	0.0	0.021	0.021	0.0	0.251	6.977	6.571	3.486	3.466	0.0	1.274	0.0	9.145	2.598	7.479	73.866	87.569	96.861
26_S2_contigs	92.881	93.022	0.0	44.238	42.969	34.469	81.195	81.581	92.522	85.343	85.450	2.403	29.792	0.0	92.000	74.663	73.924	99.747	98.151	99.816
2_S2_contigs	8.281	8.242	0.281	8.798	7.738	6.720	4.025	9.603	12.007	4.789	5.962	3.919	4.268	0.0	6.436	7.058	4.066	55.753	62.589	64.057
2_S8_contigs	32.645	32.585	0.012	0.235	0.208	0.082	2.830	17.672	23.507	12.727	12.790	0.0	0.811	0.0	27.939	9.226	24.208	91.492	95.291	99.533
33_S3_contigs	0.077	0.080	0.0	0.0	0.0	0.053	0.312	0.0	0.0	0.057	0.086	0.020	0.0	0.0	0.038	0.056	0.063	1.835	24.527	26.692
35_S4_contigs	2.627	2.390	0.0	0.156	0.138	0.056	0.478	1.849	2.261	1.081	1.028	0.0	0.185	0.0	1.914	0.683	1.886	36.837	69.846	82.416
38_S5_contigs	10.078	9.620	0.0	0.556	0.583	0.264	2.927	6.292	8.616	6.100	5.929	0.002	1.805	0.0	7.756	4.326	5.943	68.765	86.346	96.402
3_S3_contigs	9.024	7.238	0.201	8.839	9.017	6.767	6.525	8.096	9.154	5.562	5.309	3.648	4.028	0.0	8.114	7.046	5.138	55.088	66.401	61.020
4_S4_contigs	8.605	8.623	0.310	1.820	1.871	1.362	2.326	6.065	6.995	3.124	3.590	0.794	1.850	0.0	6.927	3.057	5.679	84.417	94.124	98.793
5_S5_contigs	5.251	4.828	0.208	1.327	1.599	0.961	1.193	3.750	3.718	1.676	1.624	0.563	1.300	0.0	3.398	1.905	2.694	26.796	49.676	58.898
6_S6_contigs	8.559	7.426	7.321	10.567	11.045	11.247	5.905	5.862	7.401	7.662	9.166	7.079	3.732	0.0	5.955	11.852	2.178	56.269	61.091	64.755
8_S8_contigs	25.974	26.780	0.101	30.836	32.479	29.634	13.757	25.475	34.519	19.771	18.564	15.424	18.599	0.0	23.340	23.014	22.270	72.096	82.364	80.663
9_S9_contigs	26.095	28.210	13.173	22.405	16.525	20.237	21.782	25.932	25.145	11.878	12.076	20.033	17.472	0.0	14.785	11.516	22.562	99.860	99.239	99.846
A_2013_70_F524_1_S1_contigs	20.925	21.285	0.259	2.622	3.371	3.348	2.458	5.657	3.709	1.173	1.083	0.731	3.150	0.0	4.375	4.933	1.922	57.626	65.071	58.258
A_2013_70_F524_2_S2_contigs	19.621	17.323	0.365	4.265	2.679	2.943	2.142	3.810	0.886	2.448	2.992	3.578	3.305	0.0	8.386	1.633	1.061	57.067	66.766	80.638
A_2014_70_F537_S3_contigs	16.771	17.373	0.356	1.635	2.120	3.558	2.739	1.940	2.092	1.990	1.665	2.640	2.264	0.0	3.282	4.232	1.512	50.673	54.905	65.579
A_H_1309_4_4_S6_contigs	26.348	26.686	15.711	25.821	22.468	17.832	19.178	19.693	23.826	24.191	24.832	15.361	33.370	0.0	14.901	26.600	8.703	95.983	92.379	97.534
A_H_1309_5_2_S7_contigs	9.502	8.606	0.591	2.222	1.802	1.415	2.627	5.897	5.973	4.145	3.451	1.425	1.769	0.0	6.863	2.400	7.043	86.757	94.489	98.440
A_H130426_2_S6_contigs	11.385	9.786	0.003	0.759	0.691	0.305	2.046	6.620	10.517	4.114	3.866	0.049	1.019	0.0	9.592	2.580	9.758	74.674	88.381	97.224
A_H1309_1_3_S8_contigs	3.459	4.011	0.636	1.862	2.048	1.121	1.849	3.021	3.878	1.634	0.892	2.326	1.391	0.0	2.311	1.233	2.642	33.028	68.279	77.252
A_H1309_4_1_S7_contigs	14.038	13.945	0.013	1.447	1.179	0.544	3.298	10.313	12.889	5.297	5.207	0.173	0.693	0.0	13.229	3.954	10.619	96.564	97.221	99.723
A_H1309_4_3_S10_contigs	18.794	17.976	13.614	16.882	15.427	18.670	11.345	17.125	16.342	14.890	16.938	14.623	10.137	0.0	13.223	17.404	4.499	35.306	47.687	48.404
A_H1309_5II_S9_contigs	8.970	8.668	0.136	2.449	1.655	0.758	2.909	7.292	7.871	2.807	2.729	0.351	0.879	0.0	8.497	2.560	7.670	98.601	97.108	99.649
A_Hdes_10_S9_contigs	6.657	6.203	0.044	7.747	7.826	6.100	2.529	6.645	7.322	2.792	2.408	2.875	2.046	0.0	6.123	3.337	5.072	37.466	45.356	39.261
A_Hdes_11_S10_contigs	10.300	10.757	0.271	2.689	2.394	1.726	3.478	8.194	9.387	4.244	4.134	0.571	1.620	0.0	9.900	3.616	5.985	97.366	97.539	99.808
A_Hdes_12_S11_contigs	9.185	9.663	0.040	8.404	9.147	7.789	5.083	6.910	9.187	3.625	4.252	2.164	2.788	0.0	7.652	4.117	7.587	48.283	64.537	79.955
A_Hdes_19_S12_contigs	9.163	9.375	0.972	2.102	2.255	1.736	4.627	6.337	6.050	4.242	4.495	2.567	1.463	0.0	6.687	4.105	4.742	95.354	96.252	99.324
A_Hdes_20_1_S13_contigs	9.660	9.208	0.091	9.815	9.332	7.309	5.758	9.474	12.444	4.875	5.026	3.235	3.226	0.0	9.337	5.403	8.465	81.220	73.685	89.126
