	CAMI 1 average completeness (bp)rank	Average purity (bp)rank	Adjusted Rand index (bp)rank	Percentage of binned bprank	sum
0	CONCOCT 0.4.1 (G2) (0)	Vamb fa045c0 (J1) (0)	MetaWRAP 1.2.3 (D1) (0)	SolidBin 1.3 (H3) (0)	CONCOCT 0.4.1 (G2) (25)
1	MetaBinner 1.0 (B1) (1)	Autometa cami2-03e0d77 (C2) (1)	UltraBinner 1.0 (E2) (1)	SolidBin 1.3 (H2) (0)	MetaBinner 1.0 (B3) (30)
2	MetaBinner 1.0 (B2) (1)	LSHVec cami2 (I1) (2)	UltraBinner 1.0 (E1) (2)	SolidBin 1.3 (H1) (0)	UltraBinner 1.0 (E2) (31)
3	MetaBinner 1.0 (B3) (3)	UltraBinner 1.0 (E2) (3)	UltraBinner 1.0 (E3) (3)	MetaBinner 1.0 (B1) (3)	MetaBinner 1.0 (B1) (33)
4	SolidBin 1.3 (H3) (4)	MetaBAT 2.13-33 (A2) (4)	MetaBAT 2.13-33 (A2) (4)	MetaBinner 1.0 (B2) (3)	MetaBinner 1.0 (B2) (33)
5	SolidBin 1.3 (H2) (5)	MetaBAT 2.13-33 (A1) (5)	MetaBAT 2.13-33 (A1) (5)	MetaBinner 1.0 (B3) (3)	MetaBinner 1.0 (B4) (34)
6	MetaBinner 1.0 (B4) (6)	UltraBinner 1.0 (E1) (6)	MaxBin 2.0.2 (F2) (6)	MetaBinner 1.0 (B4) (3)	UltraBinner 1.0 (E3) (35)
7	UltraBinner 1.0 (E3) (7)	UltraBinner 1.0 (E3) (7)	MaxBin 2.2.7 (F1) (7)	CONCOCT 0.4.1 (G2) (7)	SolidBin 1.3 (H3) (36)
8	UltraBinner 1.0 (E2) (8)	MetaWRAP 1.2.3 (D1) (8)	CONCOCT 0.4.1 (G2) (8)	CONCOCT 1.1.0 (G1) (7)	SolidBin 1.3 (H2) (36)
9	UltraBinner 1.0 (E1) (9)	MaxBin 2.0.2 (F2) (9)	MetaBinner 1.0 (B3) (9)	LSHVec cami2 (I1) (9)	UltraBinner 1.0 (E1) (38)
10	SolidBin 1.3 (H1) (10)	CONCOCT 0.4.1 (G2) (10)	SolidBin 1.3 (H2) (10)	Vamb fa045c0 (J1) (10)	MetaWRAP 1.2.3 (D1) (39)
11	MetaWRAP 1.2.3 (D1) (11)	Autometa cami2-03e0d77 (C1) (11)	MetaBinner 1.0 (B4) (11)	Autometa cami2-03e0d77 (C1) (11)	MetaBAT 2.13-33 (A2) (40)
12	MetaBAT 0.25.4 (A3) (12)	MaxBin 2.2.7 (F1) (12)	SolidBin 1.3 (H3) (12)	Autometa cami2-03e0d77 (C2) (11)	MetaBAT 2.13-33 (A1) (42)
13	MaxBin 2.2.7 (F1) (13)	MetaBAT 0.25.4 (A3) (13)	MetaBinner 1.0 (B2) (13)	MetaBAT 0.25.4 (A3) (13)	SolidBin 1.3 (H1) (44)
14	CONCOCT 1.1.0 (G1) (14)	MetaBinner 1.0 (B4) (14)	MetaBinner 1.0 (B1) (13)	MaxBin 2.2.7 (F1) (14)	MaxBin 2.2.7 (F1) (46)
15	MetaBAT 2.13-33 (A2) (15)	MetaBinner 1.0 (B3) (15)	SolidBin 1.3 (H1) (15)	MaxBin 2.0.2 (F2) (15)	MaxBin 2.0.2 (F2) (47)
16	MetaBAT 2.13-33 (A1) (16)	MetaBinner 1.0 (B2) (16)	Vamb fa045c0 (J1) (16)	MetaBAT 2.13-33 (A1) (16)	Vamb fa045c0 (J1) (47)
17	MaxBin 2.0.2 (F2) (17)	MetaBinner 1.0 (B1) (16)	CONCOCT 1.1.0 (G1) (17)	MetaBAT 2.13-33 (A2) (17)	LSHVec cami2 (I1) (49)
18	Autometa cami2-03e0d77 (C2) (18)	CONCOCT 1.1.0 (G1) (18)	LSHVec cami2 (I1) (18)	UltraBinner 1.0 (E3) (18)	Autometa cami2-03e0d77 (C2) (51)
19	Autometa cami2-03e0d77 (C1) (19)	SolidBin 1.3 (H1) (19)	MetaBAT 0.25.4 (A3) (19)	UltraBinner 1.0 (E2) (19)	CONCOCT 1.1.0 (G1) (56)
20	LSHVec cami2 (I1) (20)	SolidBin 1.3 (H3) (20)	Autometa cami2-03e0d77 (C1) (20)	MetaWRAP 1.2.3 (D1) (20)	MetaBAT 0.25.4 (A3) (57)
21	Vamb fa045c0 (J1) (21)	SolidBin 1.3 (H2) (21)	Autometa cami2-03e0d77 (C2) (21)	UltraBinner 1.0 (E1) (21)	Autometa cami2-03e0d77 (C1) (61)
