Completeness	Purity	F1 score	L1 norm error	Bray-Curtis distance	Shannon equitability	Weighted UniFrac error	sum
TIPP 4.3.10 (4)	LSHVec gsa (6)	Centrifuge 1.0.4 beta (9)	mOTUs cami1 (4)	mOTUs cami1 (6)	DUDes 0.08 (9)	MetaPhlAn 2.9.22 (0)	mOTUs cami1 (179)
TIPP cami1 (6)	Metalign 0.6.2 (9)	Bracken 2.2 (20)	MetaPhlAn 2.9.22 (21)	MetaPhlAn 2.9.22 (18)	Centrifuge 1.0.4 beta (24)	LSHVec gsa (1)	Centrifuge 1.0.4 beta (185)
FOCUS cami1 (18)	mOTUs cami1 (10)	MetaPhyler 1.25 (29)	mOTUs 2.0.1_1 (26)	mOTUs 2.0.1_1 (23)	Bracken 2.2 (28)	mOTUs cami1 (2)	MetaPhlAn 2.9.22 (205)
Centrifuge 1.0.4 beta (21)	DUDes 0.08 (11)	MetaPhlAn 2.9.22 (30)	TIPP cami1 (27)	TIPP cami1 (26)	FOCUS cami1 (30)	mOTUs 2.0.1_1 (3)	mOTUs 2.0.1_1 (211)
FOCUS 1.5 (26)	MetaPhlAn cami1 (12)	mOTUs cami1 (30)	LSHVec gsa (29)	LSHVec gsa (30)	TIPP 4.3.10 (30)	MetaPhyler 1.25 (4)	MetaPhyler 1.25 (224)
Bracken 2.2 (27)	MetaPhlAn 2.9.22 (14)	mOTUs 2.0.1_1 (32)	MetaPhyler 1.25 (31)	MetaPhyler 1.25 (30)	FOCUS 1.5 (37)	Centrifuge 1.0.4 beta (5)	Bracken 2.2 (253)
mOTUs 2.5.1_6 (28)	mOTUs 2.0.1_1 (17)	DUDes 0.08 (34)	DUDes cami1 (36)	MetaPhlAn cami1 (33)	TIPP cami1 (42)	TIPP cami1 (6)	TIPP cami1 (257)
MetaPhyler 1.25 (49)	DUDes cami1 (19)	DUDes cami1 (35)	MetaPhlAn cami1 (37)	DUDes cami1 (36)	Metalign 0.6.2 (46)	DUDes cami1 (7)	DUDes cami1 (273)
MetaPhlAn 2.9.22 (56)	MetaPhyler 1.25 (30)	MetaPhlAn cami1 (50)	Centrifuge 1.0.4 beta (40)	Centrifuge 1.0.4 beta (41)	mOTUs 2.5.1_6 (49)	MetaPhlAn cami1 (8)	MetaPhlAn cami1 (285)
mOTUs 2.0.1_1 (56)	Bracken 2.2 (44)	mOTUs 2.5.1_6 (51)	Metalign 0.6.2 (57)	Metalign 0.6.2 (57)	MetaPhyler 1.25 (51)	Bracken 2.2 (9)	DUDes 0.08 (309)
DUDes cami1 (57)	Centrifuge 1.0.4 beta (45)	Metalign 0.6.2 (59)	mOTUs 2.5.1_6 (57)	mOTUs 2.5.1_6 (58)	CCMetagen 1.1.3 (53)	CCMetagen 1.1.3 (10)	mOTUs 2.5.1_6 (316)
mOTUs cami1 (58)	mOTUs 2.5.1_6 (57)	TIPP cami1 (65)	TIPP 4.3.10 (59)	TIPP 4.3.10 (59)	mOTUs 2.0.1_1 (54)	Metalign 0.6.2 (11)	LSHVec gsa (317)
DUDes 0.08 (65)	CCMetagen 1.1.3 (77)	LSHVec gsa (67)	Bracken 2.2 (63)	Bracken 2.2 (62)	MetaPhlAn 2.9.22 (66)	DUDes 0.08 (12)	Metalign 0.6.2 (325)
MetaPhlAn cami1 (77)	TIPP cami1 (85)	CCMetagen 1.1.3 (76)	CCMetagen 1.1.3 (75)	CCMetagen 1.1.3 (74)	MetaPhlAn cami1 (68)	FOCUS cami1 (13)	TIPP 4.3.10 (334)
CCMetagen 1.1.3 (77)	TIPP 4.3.10 (90)	TIPP 4.3.10 (77)	DUDes 0.08 (89)	DUDes 0.08 (89)	mOTUs cami1 (69)	FOCUS 1.5 (14)	CCMetagen 1.1.3 (442)
Metalign 0.6.2 (86)	FOCUS cami1 (97)	FOCUS cami1 (92)	FOCUS cami1 (98)	FOCUS cami1 (97)	DUDes cami1 (83)	TIPP 4.3.10 (15)	FOCUS cami1 (445)
LSHVec gsa (91)	FOCUS 1.5 (98)	FOCUS 1.5 (98)	FOCUS 1.5 (101)	FOCUS 1.5 (101)	LSHVec gsa (93)	mOTUs 2.5.1_6 (16)	FOCUS 1.5 (475)
