	CAMI 1 average completeness (bp)rank	Average purity (bp)rank	Adjusted Rand index (bp)rank	Percentage of binned bprank	sum
0	MetaWRAP 1.2.3 (D1) (0)	Vamb fa045c0 (J1) (0)	MetaBAT 2.13-33 (A2) (0)	MetaWRAP 1.2.3 (D1) (0)	MetaBinner 1.0 (B8) (18)
1	MetaBinner 1.0 (B8) (1)	Autometa cami2-146383e (C2) (1)	UltraBinner 1.0 (E2) (1)	MetaBinner 1.0 (B5) (1)	CONCOCT 1.1.0 (G1) (19)
2	CONCOCT 1.1.0 (G1) (2)	MetaBAT 2.13-33 (A2) (2)	MetaBAT 2.13-33 (A1) (2)	MetaBinner 1.0 (B9) (2)	UltraBinner 1.0 (E2) (23)
3	UltraBinner 1.0 (E1) (3)	MetaBAT 2.13-33 (A1) (3)	UltraBinner 1.0 (E1) (3)	CONCOCT 1.1.0 (G1) (2)	UltraBinner 1.0 (E1) (24)
4	MetaBinner 1.0 (B7) (4)	UltraBinner 1.0 (E2) (4)	Vamb fa045c0 (J1) (4)	MetaBinner 1.0 (B2) (2)	MetaWRAP 1.2.3 (D1) (24)
5	UltraBinner 1.0 (E2) (5)	MetaBAT 0.25.4 (A3) (5)	MetaBinner 1.0 (B8) (5)	MetaBinner 1.0 (B3) (2)	CONCOCT 0.4.1 (G2) (30)
6	MetaBinner 1.0 (B3) (6)	UltraBinner 1.0 (E1) (6)	MetaBinner 1.0 (B2) (6)	MetaBinner 1.0 (B4) (2)	MetaBinner 1.0 (B3) (32)
7	CONCOCT 0.4.1 (G2) (7)	CONCOCT 1.1.0 (G1) (7)	MetaBAT 0.25.4 (A3) (7)	MetaBinner 1.0 (B7) (2)	MetaBinner 1.0 (B7) (32)
8	MetaBinner 1.0 (B9) (8)	CONCOCT 0.4.1 (G2) (8)	CONCOCT 1.1.0 (G1) (8)	MetaBinner 1.0 (B8) (2)	MetaBinner 1.0 (B2) (34)
9	MetaBinner 1.0 (B4) (9)	MetaWRAP 1.2.3 (D1) (9)	MaxBin 2.0.2 (F2) (9)	CONCOCT 0.4.1 (G2) (2)	MetaBAT 2.13-33 (A1) (35)
10	MetaBinner 1.0 (B2) (10)	MetaBinner 1.0 (B8) (10)	MetaBinner 1.0 (B3) (10)	MaxBin 2.0.2 (F2) (10)	MetaBinner 1.0 (B9) (35)
11	MetaBinner 1.0 (B5) (11)	MetaBinner 1.0 (B4) (11)	MaxBin 2.2.7 (F1) (11)	MaxBin 2.2.7 (F1) (11)	MetaBAT 2.13-33 (A2) (35)
12	MaxBin 2.0.2 (F2) (12)	MetaBinner 1.0 (B7) (12)	MetaBinner 1.0 (B9) (12)	UltraBinner 1.0 (E1) (12)	Vamb fa045c0 (J1) (36)
13	MaxBin 2.2.7 (F1) (13)	MetaBinner 1.0 (B9) (13)	CONCOCT 0.4.1 (G2) (13)	UltraBinner 1.0 (E2) (13)	MetaBinner 1.0 (B4) (38)
14	MetaBAT 2.13-33 (A1) (14)	MetaBinner 1.0 (B3) (14)	MetaBinner 1.0 (B7) (14)	Vamb fa045c0 (J1) (14)	MetaBAT 0.25.4 (A3) (45)
15	MetaBAT 2.13-33 (A2) (15)	MaxBin 2.0.2 (F2) (15)	MetaWRAP 1.2.3 (D1) (15)	Autometa cami2-146383e (C2) (15)	MaxBin 2.0.2 (F2) (46)
16	MetaBAT 0.25.4 (A3) (16)	MetaBinner 1.0 (B2) (16)	MetaBinner 1.0 (B4) (16)	MetaBAT 2.13-33 (A1) (16)	MetaBinner 1.0 (B5) (47)
17	Autometa cami2-146383e (C2) (17)	MaxBin 2.2.7 (F1) (17)	MetaBinner 1.0 (B5) (17)	MetaBAT 0.25.4 (A3) (17)	Autometa cami2-146383e (C2) (51)
18	Vamb fa045c0 (J1) (18)	MetaBinner 1.0 (B5) (18)	Autometa cami2-146383e (C2) (18)	MetaBAT 2.13-33 (A2) (18)	MaxBin 2.2.7 (F1) (52)
